task,supervision_level,fold,noise_level,accuracy,f1
face,0.5,1,original,0.684931506849315,0.6719833337665416
face,0.5,2,original,0.6472602739726028,0.6409364430329154
face,0.1,1,original,0.6476190476190476,0.6357200923718933
face,0.1,2,original,0.660952380952381,0.6476718103450869
face,0.1,3,original,0.6647619047619048,0.6573805885787226
face,0.1,4,original,0.6457142857142857,0.6345263266547737
face,0.1,5,original,0.6653992395437263,0.6525606723212112
face,0.1,6,original,0.6825095057034221,0.6723351072063115
face,0.1,7,original,0.6482889733840305,0.6366318386917791
face,0.1,8,original,0.6634980988593155,0.6538364798069797
face,0.1,9,original,0.6463878326996197,0.6350802935430939
face,0.1,10,original,0.6806083650190115,0.6741056775684576
face,0.9,1,original,0.7457627118644068,0.7441141339446423
face,0.9,2,original,0.6610169491525424,0.6537184512714445
face,0.9,3,original,0.6440677966101694,0.6165926644490951
face,0.9,4,original,0.7288135593220338,0.7268195413758723
face,0.9,5,original,0.5862068965517241,0.5860440225231514
face,0.9,6,original,0.5344827586206896,0.5235816502166086
face,0.9,7,original,0.7758620689655172,0.7577177187916283
face,0.9,8,original,0.7241379310344828,0.7207642931780863
face,0.9,9,original,0.7586206896551724,0.7641494664853954
face,0.9,10,original,0.5862068965517241,0.5828796128251663
face,0.2,1,original,0.6873661670235546,0.6812712276142258
face,0.2,2,original,0.6573875802997858,0.6452313254737345
face,0.2,3,original,0.6445396145610278,0.6336705461548715
face,0.2,4,original,0.6680942184154176,0.6540018781197098
face,0.2,5,original,0.6709401709401709,0.6624780587888066
face,0.8,1,original,0.6410256410256411,0.6243833467983998
face,0.8,2,original,0.6923076923076923,0.6881113821769738
face,0.8,3,original,0.7350427350427351,0.7325316958761106
face,0.8,4,original,0.6666666666666666,0.6622205085362982
face,0.8,5,original,0.6551724137931034,0.6401401564537158
face,0.5,1,original,0.684931506849315,0.6719833337665416
face,0.5,2,original,0.6472602739726028,0.6409364430329154
face,0.0,0,original,0.6472602739726028,0.634594107897159
face,0.2,1,0.35,0.25,0.1
face,0.0,0,0.35,0.25,0.1
