task,supervision_level,fold,noise_level,accuracy,f1
face,0.5,1,original,0.636986301369863,0.6135244321172998
face,0.5,2,original,0.6335616438356164,0.6168397785727645
face,0.1,1,original,0.6285714285714286,0.6094455210187066
face,0.1,2,original,0.6361904761904762,0.6148569918645017
face,0.1,3,original,0.6438095238095238,0.6264723083473823
face,0.1,4,original,0.6247619047619047,0.6056289964344754
face,0.1,5,original,0.6387832699619772,0.6199811448705328
face,0.1,6,original,0.6425855513307985,0.6198118992275777
face,0.1,7,original,0.6330798479087453,0.6131574800900317
face,0.1,8,original,0.6349809885931559,0.6171461893947062
face,0.1,9,original,0.6311787072243346,0.6117720656333479
face,0.1,10,original,0.6406844106463878,0.6249600972601315
face,0.9,1,original,0.711864406779661,0.7050510475408195
face,0.9,2,original,0.6440677966101694,0.6295070132505196
face,0.9,3,original,0.6610169491525424,0.6286265427320523
face,0.9,4,original,0.7288135593220338,0.7235306792364635
face,0.9,5,original,0.5689655172413793,0.5384658691062632
face,0.9,6,original,0.5344827586206896,0.5209895052473763
face,0.9,7,original,0.7068965517241379,0.6989070312973378
face,0.9,8,original,0.6379310344827587,0.6172569823685442
face,0.9,9,original,0.7068965517241379,0.6883819628647216
face,0.9,10,original,0.5172413793103449,0.47814384775562196
face,0.2,1,original,0.6488222698072805,0.6336571707775195
face,0.2,2,original,0.6316916488222698,0.6136122394982271
face,0.2,3,original,0.6274089935760171,0.6075044837235398
face,0.2,4,original,0.6316916488222698,0.6098677725054616
face,0.2,5,original,0.6452991452991453,0.6287202754534438
face,0.8,1,original,0.5982905982905983,0.5648446924173555
face,0.8,2,original,0.6495726495726496,0.6283255330078072
face,0.8,3,original,0.6666666666666666,0.6548455589109954
face,0.8,4,original,0.6752136752136753,0.6657111004937093
face,0.8,5,original,0.6120689655172413,0.587989453479009
face,0.5,1,original,0.6404109589041096,0.6189327865791726
face,0.5,2,original,0.6335616438356164,0.6172780923591586
face,0.0,0,original,0.6335616438356164,0.6146517096927431
face,0.2,1,0.35,0.4434931506849315,0.44343152823165316
face,0.0,0,0.35,0.4486301369863014,0.4487740707568294
