Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
A1BHMDRWW9ZYSO	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	5.16%	5.16%	21.21%	21.21%	21.21%	21.21%	140.0000	0.0000
A1C0Z73809FFDZ	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	7.80%	7.80%	22.58%	22.58%	22.58%	22.58%	56.0000	0.0000
A1KAXCLAH6UVMS	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	64.81%	64.81%	65.93%	65.93%	65.93%	65.93%	4.0000	0.0000
A1KZOLS51I9SS7	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	2.09%	2.09%	9.31%	9.31%	9.31%	9.31%	40.0000	0.0000
A1PAR1TMKFPKQE	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	4.00%	4.00%	19.20%	19.20%	19.20%	19.20%	320.0000	0.0000
A1VW9W0DWXCPYE	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	4.08%	4.08%	18.21%	18.21%	18.21%	18.21%	92.0000	0.0000
A2AM6H3R1LSM9S	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	0.57%	0.57%	7.86%	7.86%	7.86%	7.86%	103.0000	0.0000
A2BERTY629PZDT	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	7.59%	7.59%	18.56%	18.56%	18.56%	18.56%	48.0000	0.0000
A2F0X4LN9N4O4C	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	1.12%	1.12%	8.34%	8.34%	8.34%	8.34%	16.0000	0.0000
A2H321P1NSEW35	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	1.24%	1.24%	11.86%	11.86%	11.86%	11.86%	219.0000	0.0000
A2UFD1I8ZO1V4G	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	-0.09%	-0.09%	7.72%	7.72%	7.72%	7.72%	583.0000	0.0000
A2V3P1XE33NYC3	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	2.23%	2.23%	15.73%	15.73%	15.73%	15.73%	583.0000	0.0000
A356EVHB3TU90R	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	11.88%	11.88%	24.26%	24.26%	24.26%	24.26%	16.0000	0.0000
A36JZTUKQVV5S5	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	13.72%	13.72%	22.30%	22.30%	22.30%	22.30%	28.0000	0.0000
A3E157ZN8XPUKJ	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	3.74%	3.74%	19.92%	19.92%	19.92%	19.92%	384.0000	0.0000
A3GLUDQZGEJL5G	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	9.41%	9.41%	19.75%	19.75%	19.75%	19.75%	32.0000	0.0000
A3KAJ085J9OR0Z	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	20.80%	20.80%	34.07%	34.07%	34.07%	34.07%	20.0000	0.0000
A3NU1SQPI1NXY4	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	-0.33%	-0.33%	4.90%	4.90%	4.90%	4.90%	580.0000	0.0000
A3UX2FXA3NMJCS	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	41.48%	41.48%	54.77%	54.77%	54.77%	54.77%	12.0000	0.0000
A53VNQRRFQ785	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	9.04%	9.04%	19.37%	19.37%	19.37%	19.37%	28.0000	0.0000
AD317NO9623GZ	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	3.79%	3.79%	20.21%	20.21%	20.21%	20.21%	581.0000	0.0000
AKBP92VUQ7G3	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	-0.05%	-0.05%	7.21%	7.21%	7.21%	7.21%	584.0000	0.0000
AM2W23THD4CI7	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	2.72%	2.72%	12.60%	12.60%	12.60%	12.60%	123.0000	0.0000
AORFXVSW8DDHP	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	32.57%	32.57%	33.18%	33.18%	33.18%	33.18%	4.0000	0.0000
ATQWZNGQCN1RA	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	-0.22%	-0.22%	7.12%	7.12%	7.12%	7.12%	582.0000	0.0000
AWRAXV1RIYR0M	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	3.51%	3.51%	17.50%	17.50%	17.50%	17.50%	44.0000	0.0000
AY5QPUSEADPBG	-1.08%	-1.08%	0.00%	0.00%	0.00%	0.00%	28.27%	28.27%	39.27%	39.27%	39.27%	39.27%	20.0000	0.0000
