question,worker,answer
"'EWA BEACH, HAWAII - 2000",Contributor#5512121:CapitalBot,14650.0
"'EWA GENTRY, HAWAII - 2000",Contributor#5512121:CapitalBot,4939.0
"'EWA VILLAGES, HAWAII - 2000",Contributor#5512121:CapitalBot,4741.0
'S-HERTOGENBOSCH - 2007,Contributor#231599:Eubot,135596.0
"'ĀHUIMANU, HAWAI'I - 2000",Contributor#5512121:CapitalBot,8506.0
A BAÑA - 2004,Contributor#404042:Kungfuadam,4888.0
"A CAPELA, GALICIA - 2005",Contributor#276893:Dannycas,1515.0
A CORUÑA - 2005,Contributor#0(213.60.124.196),243349.0
A LARACHA - 2004,Contributor#276893:Dannycas,10800.0
AA EN HUNZE - 2007,Contributor#231599:Eubot,25549.0
AALBORG - 2006,Contributor#1758851:Kirjapan,121540.0
AALBURG - 2007,Contributor#231599:Eubot,12300.0
AALSMEER - 2007,Contributor#231599:Eubot,25041.0
AALTEN - 2007,Contributor#231599:Eubot,27593.0
"AASTAD TOWNSHIP, OTTER TAIL COUNTY, MINNESOTA - 2000",Contributor#5512121:CapitalBot,187.0
ABABUJ - 2004,Contributor#3729068:BOTijo,89.0
ABADAN - 2005,Contributor#141421:Jheald,415139.0
ABADES - 2004,Contributor#3729068:BOTijo,888.0
ABAJAS - 2004,Contributor#3729068:BOTijo,41.0
ABANCAY - 1999,Contributor#107928:Darwinek,44571.0
ABANCAY - 2007,Contributor#2459299:Ericbronder,57750.0
ABANTO - 2004,Contributor#3729068:BOTijo,155.0
ABARCA DE CAMPOS - 2004,Contributor#3729068:BOTijo,47.0
"ABBEVILLE, ALABAMA - 2000",Contributor#596812:Salmar,2987.0
"ABBEVILLE, ALABAMA - 2000",Contributor#988917:CapitalR,2987.0
"ABBEVILLE, MISSISSIPPI - 2000",Contributor#5512121:CapitalBot,423.0
"ABBEVILLE, SOUTH CAROLINA - 2000",Contributor#5512121:CapitalBot,5840.0
"ABBEYDALE, CALGARY - 2006",Contributor#889409:Qyd,6012.0
"ABBOT, MAINE - 2000",Contributor#5512121:CapitalBot,630.0
"ABBOTSFORD, BRITISH COLUMBIA - 2006",Contributor#0(142.30.91.136),123875.0
"ABBOTSFORD, BRITISH COLUMBIA - 2006",Contributor#1019695:Thricecube,123864.0
"ABBOTSFORD, BRITISH COLUMBIA - 2006",Contributor#2868942:Guyzero,123864.0
"ABBOTSFORD, WISCONSIN - 2000",Contributor#5512121:CapitalBot,1956.0
"ABBOTT, TEXAS - 2000",Contributor#5512121:CapitalBot,300.0
ABBOTTABAD - 2006,Contributor#0(202.125.143.69),881000.0
ABBOTTABAD - 2006,Contributor#0(74.121.89.136),1692140.5
