question,truth
"CLEVELAND, OHIO - 2000",478403
"GARY, INDIANA - 2000",102746
"FLINT, MICHIGAN - 2000",124943
"COMPTON, CALIFORNIA - 2000",93493
"WASHINGTON, DISTRICT OF COLUMBIA - 2005",582049
"PLANO, TEXAS - 2000",222030
"BURLINGTON, WISCONSIN - 2000",9936
"MINNEAPOLIS, MINNESOTA - 2000",382618
"BUFFALO, NEW YORK - 2000",292648
"BOSTON, MASSACHUSETTS - 2005",596638
"CINCINNATI, OHIO - 2005",331310
"HOUSTON, TEXAS - 2005",2076189
"JACKSON, MISSISSIPPI - 2000",184256
"LANSING, MICHIGAN - 2000",119128
"ST. LOUIS, MISSOURI - 2005",352572
"ST. LOUIS, MISSOURI - 2006",353837
"SALT LAKE CITY, UTAH - 2000",181743
"FREDERICKSBURG, VIRGINIA - 2000",19279
"CAMDEN, NEW JERSEY - 2000",79904
"CHATTANOOGA, TENNESSEE - 2000",155554
"LA QUINTA, CALIFORNIA - 2000",23694
"MUNCIE, INDIANA - 2000",67430
"TELL CITY, INDIANA - 2000",7845
"EVANSVILLE, INDIANA - 2000",121582
"MARSHALLTOWN, IOWA - 2000",26009
"HOLLISTON, MASSACHUSETTS - 2000",13801
"NORTH READING, MASSACHUSETTS - 2000",13837
"WINONA, MINNESOTA - 2000",27069
"SYLVA, NORTH CAROLINA - 2000",2435
"AKRON, OHIO - 2000",217074
"ALLEN, TEXAS - 2000",43554
"RACINE, WISCONSIN - 2000",81855
"ST. JOSEPH, MISSOURI - 2000",73990
"MEDFIELD, MASSACHUSETTS - 2000",12273
"MARBLEHEAD, MASSACHUSETTS - 2000",20377
"RENO, NEVADA - 2000",180480
"BALTIMORE, MARYLAND - 2006",640961
"UTICA, NEW YORK - 2000",60651
"BERKELEY, CALIFORNIA - 2000",102743
"ST. CLOUD, MINNESOTA - 2000",59107
"NEW ORLEANS, LOUISIANA - 2000",484674
"MILWAUKEE, WISCONSIN - 2000",596974
"GRASS VALLEY, OREGON - 2000",171
"CARSON CITY, NEVADA - 2000",52457
"MINNETONKA, MINNESOTA - 2000",51301
"VICKSBURG, MISSISSIPPI - 2000",26407
"INDIANAPOLIS, INDIANA - 2000",791926
"EL MONTE, CALIFORNIA - 2000",115965
"LIMA, OHIO - 2000",40081
"SCRANTON, PENNSYLVANIA - 2000",76415
"LA CROSSE, WISCONSIN - 2000",51818
"ELMIRA, NEW YORK - 2000",30940
"PITTSBURGH, PENNSYLVANIA - 2000",334563
"PORTLAND, MAINE - 2000",64249
"SPRINGFIELD, MASSACHUSETTS - 2000",152082
"LAKE FOREST, CALIFORNIA - 2000",58707
"SAULT STE. MARIE, MICHIGAN - 2000",16542
"PORT JERVIS, NEW YORK - 2000",8860
"GLENS FALLS, NEW YORK - 2000",14354
"ATLANTA, GEORGIA - 2005",483108
"MARQUETTE, MICHIGAN - 2000",19661
"MADISON, WISCONSIN - 2000",208054
"NORFOLK, VIRGINIA - 2000",234403
"VINCENNES, INDIANA - 2000",18701
"FAIRHAVEN, MASSACHUSETTS - 2000",16159
"ROCHESTER, NEW YORK - 2000",219773
"STRASBURG, OHIO - 2000",2310
"MEDFORD, OREGON - 2000",63154
"HOLLAND, MICHIGAN - 2000",35048
"SARTELL, MINNESOTA - 2000",9641
"AUGUSTA, MAINE - 2000",18560
"FREMONT, CALIFORNIA - 2000",203413
"BINGHAMTON, NEW YORK - 2000",47380
"TORRANCE, CALIFORNIA - 2000",137946
"SAN JUAN CAPISTRANO, CALIFORNIA - 2000",33826
"GILROY, CALIFORNIA - 2000",41464
"DOUGLASVILLE, GEORGIA - 2000",20065
"HAVRE DE GRACE, MARYLAND - 2000",11331
"MUSKEGON, MICHIGAN - 2000",40105
"NASHUA, NEW HAMPSHIRE - 2000",86605
"PETERBOROUGH, NEW HAMPSHIRE - 2000",5883
"WENATCHEE, WASHINGTON - 2000",27856
"LITTLE ROCK, ARKANSAS - 2000",183133
