question,worker,answer
5:0@35@wsj/23/wsj_2386@wsj@en@on,A3SVC0WZT6RXIK,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,A3DDC8XOWTIVFR,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,A14X3D8OM037XM,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,A2C7AMSJDELC7S,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,A1COEWJPEK7SLZ,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,A1M0SEWUJYX9K0,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,A11DKC2IJVECXO,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,A10AKCTRPMAQQN,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,AKCPVJ2PBIDHN,1
5:0@35@wsj/23/wsj_2386@wsj@en@on,ARU7VWGSD4JZ2,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,AUAZYGJWM6JLK,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,A1M0SEWUJYX9K0,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,A1COEWJPEK7SLZ,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,AE8AULTREKN53,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,A26A3WWGG1I286,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,A3SVC0WZT6RXIK,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,AKCPVJ2PBIDHN,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,AS51Z6DBWM9JM,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,ARU7VWGSD4JZ2,1
4:0@26@wsj/24/wsj_2415@wsj@en@on,A168B0VAQ1RXKB,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,A3SVC0WZT6RXIK,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,A1M0SEWUJYX9K0,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,AKCPVJ2PBIDHN,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,A168B0VAQ1RXKB,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,A10AKCTRPMAQQN,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,A2M5QAJ3DHLJ5K,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,A1K5LBIIANERSY,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,A291KO368YRYCR,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,ARU7VWGSD4JZ2,1
31:0@20@wsj/01/wsj_0111@wsj@en@on,A1KC5ZV1QG0CDI,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,AUAZYGJWM6JLK,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,A1M0SEWUJYX9K0,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,A1COEWJPEK7SLZ,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,AE8AULTREKN53,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,A26A3WWGG1I286,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,A3SVC0WZT6RXIK,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,AKCPVJ2PBIDHN,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,AS51Z6DBWM9JM,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,ARU7VWGSD4JZ2,1
10:0@14@wsj/24/wsj_2438@wsj@en@on,A168B0VAQ1RXKB,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,AUAZYGJWM6JLK,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,A1M0SEWUJYX9K0,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,A1COEWJPEK7SLZ,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,AE8AULTREKN53,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,A26A3WWGG1I286,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,A3SVC0WZT6RXIK,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,AKCPVJ2PBIDHN,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,AS51Z6DBWM9JM,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,ARU7VWGSD4JZ2,1
5:0@1@wsj/24/wsj_2442@wsj@en@on,A168B0VAQ1RXKB,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,A1COEWJPEK7SLZ,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,A3SVC0WZT6RXIK,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,AKCPVJ2PBIDHN,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,A26A3WWGG1I286,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,A1M1KL420Y1O93,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,A10AKCTRPMAQQN,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,A2M5QAJ3DHLJ5K,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,ARU7VWGSD4JZ2,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,AH02ZNR6AGX8J,1
25:0@9@wsj/23/wsj_2308@wsj@en@on,A3JQ6UU1DQCDKL,1
12:0@25@wsj/01/wsj_0112@wsj@en@on,A2M5QAJ3DHLJ5K,3
12:0@25@wsj/01/wsj_0112@wsj@en@on,A1M0SEWUJYX9K0,3
12:0@25@wsj/01/wsj_0112@wsj@en@on,A1COEWJPEK7SLZ,3
12:0@25@wsj/01/wsj_0112@wsj@en@on,A3SVC0WZT6RXIK,3
12:0@25@wsj/01/wsj_0112@wsj@en@on,A10AKCTRPMAQQN,3
12:0@25@wsj/01/wsj_0112@wsj@en@on,AHN23PP23PHZK,3
12:0@25@wsj/01/wsj_0112@wsj@en@on,AKCPVJ2PBIDHN,3
