question,worker,answer
632,1,3
632,3,2
632,5,0
632,9,3
632,13,3
632,29,0
632,37,1
632,43,0
632,65,0
632,105,3
259,1,2
259,7,1
259,9,0
259,13,2
259,34,2
259,37,1
259,56,1
259,58,3
259,62,2
259,98,2
142,1,2
142,9,0
142,10,3
142,16,1
142,20,0
142,21,2
142,22,2
142,37,3
142,52,2
142,86,2
285,1,0
285,16,1
285,25,2
285,27,0
285,50,0
285,56,2
285,57,0
285,63,2
285,70,3
285,85,0
87,1,1
87,8,1
87,14,1
87,16,2
87,28,2
87,31,1
87,34,1
87,39,3
87,43,3
87,69,2
256,1,1
256,8,1
256,13,1
256,14,2
256,20,2
256,22,0
256,31,1
256,35,1
256,44,1
256,53,1
448,1,2
448,3,2
448,13,2
448,17,2
448,20,3
448,35,2
448,37,0
448,43,0
448,50,3
448,58,0
310,1,1
310,13,1
310,22,3
310,23,1
310,27,2
310,34,2
310,36,1
310,43,3
310,45,1
310,63,2
304,1,1
304,2,2
304,16,1
304,17,1
304,23,2
304,29,1
304,31,2
304,61,0
304,90,1
304,97,1
185,1,3
185,12,2
185,20,1
185,21,3
185,25,3
185,31,2
185,35,3
185,43,2
185,55,3
185,60,3
162,1,1
162,9,2
162,16,1
162,27,1
162,29,2
162,31,1
162,42,1
162,48,3
162,58,0
162,85,3
179,1,2
179,9,2
179,20,2
179,23,3
179,31,2
179,34,2
179,42,2
179,48,1
179,54,0
179,65,0
116,1,3
116,12,0
116,13,2
116,14,0
116,17,3
116,23,3
116,35,3
116,40,3
116,47,0
116,61,2
419,1,3
419,9,3
419,21,3
419,34,0
419,35,0
419,43,2
419,44,0
419,49,0
419,54,3
419,69,1
317,1,3
317,2,1
317,3,3
317,10,0
317,13,3
317,16,3
317,22,2
317,34,0
317,37,2
317,62,3
482,1,3
482,5,3
482,10,3
482,16,3
482,35,3
482,39,3
482,40,1
482,43,2
482,54,2
482,88,3
42,1,0
42,10,3
42,11,0
42,12,2
42,16,2
42,35,0
42,40,0
42,43,2
42,58,0
42,65,0
229,1,0
229,9,1
229,13,2
229,23,3
229,34,0
229,37,1
229,40,3
229,43,0
229,51,0
229,55,0
110,1,2
110,3,2
110,9,1
110,21,2
110,22,3
110,35,2
110,45,2
110,55,2
110,56,2
110,61,2
335,1,0
335,9,0
335,16,0
335,20,2
335,21,3
335,28,3
335,35,0
335,36,3
335,37,3
335,61,0
617,1,2
617,10,1
617,19,2
617,21,2
617,31,1
617,34,2
617,35,1
617,39,2
617,43,1
617,58,3
242,1,2
242,3,2
242,8,1
242,13,3
242,31,2
242,34,3
242,35,3
242,37,0
242,40,1
242,43,1
126,1,2
126,9,2
126,11,0
126,16,2
126,19,2
126,22,2
126,39,0
126,47,1
126,55,2
126,66,2
590,1,0
590,3,0
590,12,0
590,13,2
590,15,0
590,16,0
590,20,3
590,56,0
590,60,0
590,76,0
525,1,1
525,3,0
525,13,2
525,19,1
525,31,1
525,40,0
525,53,1
525,56,1
525,60,1
525,65,1
653,1,3
653,11,3
653,13,3
653,21,3
653,22,3
653,25,1
653,29,2
653,55,3
653,59,2
653,61,3
197,1,3
197,9,0
197,11,3
197,17,3
197,23,1
197,32,2
197,37,0
197,56,3
197,90,3
197,91,3
263,1,0
263,13,0
263,16,0
263,20,0
263,37,2
263,40,0
263,41,2
263,43,0
263,62,0
263,81,2
402,1,1
402,2,1
402,9,2
402,10,1
402,13,1
402,15,1
402,18,1
402,30,1
402,41,3
402,55,1
595,1,3
595,12,0
595,13,3
595,20,3
595,21,3
595,32,0
595,35,3
595,50,3
595,58,1
595,59,3
125,1,0
125,15,0
125,16,2
125,22,0
125,28,3
125,30,0
125,39,0
125,47,0
125,50,0
125,81,2
283,1,0
283,2,0
283,13,0
283,17,0
283,21,0
283,31,0
283,41,0
283,55,1
283,76,0
283,90,0
23,1,0
23,3,2
23,10,0
23,13,0
23,20,2
23,36,0
23,39,3
23,48,2
23,55,0
23,64,0
223,1,2
223,2,2
223,3,2
223,6,2
223,9,2
223,20,0
223,29,3
223,31,3
223,35,2
223,45,1
398,1,1
398,10,1
398,13,1
398,25,3
398,35,1
398,40,2
398,47,1
398,51,2
398,53,1
398,91,0
323,1,2
323,3,2
323,12,0
323,25,2
323,27,0
323,31,2
323,34,1
323,37,0
323,39,2
323,40,1
147,1,3
147,2,3
147,3,3
147,5,0
147,37,1
147,40,1
147,47,2
147,61,2
147,76,1
147,77,3
730,1,2
730,3,3
730,9,2
730,11,2
730,14,2
730,20,2
730,25,1
730,34,1
730,53,1
730,73,0
268,1,2
268,5,2
268,9,3
268,10,2
268,21,2
268,23,1
268,27,2
268,37,0
268,40,2
268,55,2
71,1,2
71,13,2
71,15,2
71,34,2
71,35,3
71,47,0
71,51,2
71,54,1
71,55,2
71,66,2
311,1,3
311,9,3
311,15,2
311,28,3
311,34,2
311,35,2
311,37,3
311,58,2
311,87,3
311,101,3
202,1,2
202,10,2
202,12,0
202,22,1
202,23,1
202,31,2
202,34,1
202,39,2
202,43,0
202,51,2
369,1,2
369,5,3
369,14,2
369,16,1
369,23,1
369,34,2
369,35,0
369,37,1
369,85,3
369,88,3
287,1,0
287,3,0
287,9,0
287,11,0
287,20,2
287,22,0
287,29,0
287,43,3
287,58,1
287,90,2
155,1,2
155,2,2
155,3,2
155,4,0
155,10,3
155,15,3
155,22,3
155,23,2
155,40,2
155,61,3
301,1,3
301,3,3
301,5,0
301,10,0
301,13,0
301,31,3
301,35,3
301,39,2
301,55,3
301,56,0
220,1,0
220,3,0
220,5,0
220,21,3
220,23,0
220,44,3
220,47,1
220,57,0
220,61,1
220,76,2
211,1,0
211,3,1
211,13,0
211,19,0
211,37,2
211,40,0
211,44,2
211,54,0
211,57,0
211,89,0
568,1,2
568,14,2
568,20,1
568,40,3
568,43,1
568,54,0
568,56,2
568,61,2
568,63,2
568,89,3
530,1,3
530,3,3
530,9,3
530,13,1
530,15,3
530,16,0
530,22,0
530,37,3
530,53,3
530,55,3
628,1,0
628,8,0
628,13,0
628,16,0
628,20,3
628,29,3
628,34,0
628,35,3
628,53,3
628,66,2
678,1,3
678,13,2
678,16,1
678,20,0
678,22,0
678,25,3
678,34,3
678,43,1
678,54,3
678,88,2
292,1,2
292,10,2
292,13,2
292,19,0
292,21,2
292,28,2
292,35,2
292,52,2
292,73,0
292,99,2
451,1,3
451,13,3
451,16,1
451,31,2
451,35,2
451,36,3
451,37,3
451,43,3
451,62,3
451,94,2
148,1,2
148,3,0
148,9,2
148,20,1
148,22,1
148,29,1
148,35,2
148,40,2
148,43,2
148,51,1
553,1,2
553,2,2
553,5,1
553,28,1
553,43,3
553,44,1
553,50,0
553,54,2
553,61,2
553,99,2
57,1,3
57,5,0
57,8,3
57,37,2
57,43,3
57,45,3
57,47,3
57,49,2
57,52,2
57,80,0
222,1,2
222,9,3
222,10,2
222,13,2
222,16,2
222,20,1
222,34,3
222,41,3
222,54,1
222,72,1
518,1,2
518,2,1
518,9,2
518,11,2
518,13,2
518,16,0
518,19,2
518,31,2
518,53,0
518,65,2
1,1,3
1,2,1
1,3,3
1,4,3
1,5,1
1,6,1
1,7,3
1,8,2
1,9,0
1,10,3
347,1,1
347,3,1
347,8,3
347,10,1
347,12,3
347,34,1
347,44,3
347,47,2
347,50,1
347,61,0
46,1,0
46,2,3
46,7,1
46,9,3
46,16,1
46,23,0
46,37,3
46,40,3
46,43,3
46,47,0
183,1,3
183,25,2
183,29,3
183,31,3
183,33,3
183,34,1
183,37,1
183,55,3
183,75,1
183,95,3
452,1,2
452,2,2
452,9,2
452,16,2
452,25,1
452,28,1
452,29,0
452,31,2
452,37,3
452,56,0
41,1,2
41,16,2
41,30,2
41,31,1
41,34,0
41,35,0
41,49,2
41,72,2
41,74,2
41,75,2
679,1,0
679,6,1
679,10,1
679,16,0
679,19,0
679,34,3
679,37,0
679,59,0
679,61,1
679,66,0
88,1,1
88,9,3
88,10,1
88,16,2
88,19,2
88,21,1
88,37,0
88,42,0
88,51,3
88,55,1
84,1,0
84,14,0
84,16,2
84,17,0
84,20,0
84,22,0
84,25,0
84,35,0
84,40,3
84,56,0
426,1,1
426,9,1
426,13,1
426,28,3
426,34,1
426,35,3
426,37,1
426,40,3
426,54,0
426,58,3
505,1,1
505,12,1
505,17,2
505,20,2
505,32,2
505,39,0
505,40,1
505,52,1
505,60,0
505,96,2
611,1,3
611,11,3
611,13,1
611,17,1
611,21,1
611,22,3
611,34,3
611,37,1
611,43,2
611,56,3
383,1,1
383,10,1
383,34,1
383,39,1
383,40,2
383,44,1
