question,worker,answer
102,0,1
102,1,0
102,2,0
102,3,1
102,4,1
102,5,0
102,6,0
102,7,0
102,8,0
102,9,1
102,10,0
102,11,1
102,12,1
102,13,1
102,14,0
102,15,0
102,16,0
102,17,0
102,18,1
102,19,1
102,20,1
102,21,1
102,22,0
102,23,1
102,24,1
102,25,0
102,26,1
102,27,1
102,28,0
102,29,0
102,30,0
102,31,0
102,32,1
102,33,1
102,34,1
102,35,0
102,36,1
102,37,0
102,38,1
81,0,1
81,1,0
81,2,0
81,3,0
81,4,0
81,5,1
81,6,0
81,7,0
81,8,1
81,9,1
81,10,1
81,11,0
81,12,1
81,13,1
81,14,1
81,15,1
81,16,1
81,17,1
81,18,0
81,19,0
81,20,0
81,21,1
81,22,1
81,23,1
81,24,1
81,25,1
81,26,0
81,27,0
81,28,1
81,29,0
81,30,1
81,31,1
81,32,0
81,33,0
81,34,0
81,35,0
81,36,0
81,37,0
81,38,1
101,0,1
101,1,1
101,2,0
101,3,1
101,4,0
101,5,1
101,6,1
101,7,1
101,8,1
101,9,0
101,10,0
101,11,1
101,12,1
101,13,0
101,14,1
101,15,0
101,16,0
101,17,1
101,18,1
101,19,0
101,20,1
101,21,0
101,22,0
101,23,0
101,24,0
101,25,1
101,26,0
101,27,0
101,28,0
101,29,0
101,30,1
101,31,0
101,32,1
101,33,1
101,34,1
101,35,0
101,36,0
101,37,0
101,38,1
2,0,0
2,1,1
2,2,0
2,3,0
2,4,1
2,5,0
2,6,0
2,7,0
2,8,1
2,9,1
2,10,1
2,11,0
2,12,0
2,13,0
2,14,1
2,15,0
2,16,0
2,17,0
2,18,1
2,19,1
2,20,1
2,21,0
2,22,1
2,23,1
2,24,0
2,25,0
2,26,1
2,27,0
2,28,1
2,29,1
2,30,1
2,31,0
2,32,1
2,33,0
2,34,1
2,35,1
2,36,0
2,37,0
2,38,0
6,0,0
6,1,0
6,2,1
6,3,1
6,4,1
6,5,0
6,6,0
6,7,0
6,8,1
6,9,0
6,10,0
6,11,1
6,12,1
6,13,0
6,14,0
6,15,1
6,16,0
6,17,0
6,18,1
6,19,0
6,20,0
6,21,1
6,22,1
6,23,1
6,24,0
6,25,0
6,26,1
6,27,0
6,28,0
6,29,1
6,30,1
6,31,0
6,32,0
6,33,0
6,34,1
6,35,0
6,36,0
6,37,0
6,38,0
53,0,0
53,1,0
53,2,0
53,3,0
53,4,0
53,5,1
53,6,0
53,7,1
53,8,1
53,9,1
53,10,0
53,11,1
53,12,0
53,13,0
53,14,0
53,15,0
53,16,0
53,17,0
53,18,0
53,19,1
53,20,1
53,21,0
53,22,0
53,23,1
53,24,1
53,25,0
53,26,0
53,27,0
53,28,0
53,29,0
53,30,1
53,31,0
53,32,0
53,33,1
53,34,0
53,35,0
53,36,1
53,37,1
53,38,0
82,0,1
82,1,0
82,2,1
82,3,1
82,4,0
82,5,1
82,6,0
82,7,1
82,8,0
82,9,1
82,10,1
82,11,1
82,12,0
82,13,0
82,14,1
82,15,0
82,16,1
82,17,0
82,18,0
82,19,1
82,20,0
82,21,1
82,22,0
82,23,0
82,24,1
82,25,1
82,26,0
82,27,1
82,28,0
82,29,1
82,30,0
82,31,1
82,32,0
82,33,0
82,34,1
82,35,1
82,36,0
82,37,1
82,38,0
27,0,1
27,1,1
27,2,0
27,3,0
27,4,0
27,5,1
27,6,1
27,7,0
27,8,1
27,9,0
27,10,1
27,11,1
27,12,0
27,13,1
27,14,1
27,15,0
27,16,0
27,17,1
27,18,0
27,19,1
27,20,0
27,21,0
27,22,1
27,23,0
27,24,1
27,25,1
27,26,0
27,27,0
27,28,0
27,29,1
27,30,1
27,31,1
27,32,0
27,33,1
27,34,0
27,35,1
27,36,0
27,37,1
27,38,0
17,0,0
17,1,1
17,2,1
17,3,0
17,4,0
17,5,1
17,6,1
17,7,0
17,8,0
17,9,1
17,10,0
17,11,1
17,12,0
17,13,1
17,14,0
17,15,0
17,16,1
17,17,1
17,18,1
17,19,0
17,20,1
17,21,0
17,22,1
17,23,1
17,24,1
17,25,0
17,26,1
17,27,0
17,28,1
17,29,1
17,30,0
17,31,0
17,32,0
17,33,0
17,34,0
17,35,1
17,36,0
17,37,0
17,38,1
71,0,1
71,1,0
71,2,1
71,3,0
71,4,1
71,5,1
71,6,1
71,7,1
71,8,1
71,9,0
71,10,1
71,11,0
71,12,1
71,13,0
71,14,0
71,15,1
71,16,1
71,17,0
71,18,1
71,19,0
71,20,1
71,21,1
71,22,0
71,23,1
71,24,0
71,25,0
71,26,1
71,27,0
71,28,1
71,29,0
71,30,0
71,31,1
71,32,1
71,33,1
71,34,0
71,35,1
71,36,0
71,37,1
71,38,1
66,0,0
66,1,0
66,2,1
66,3,1
66,4,1
66,5,0
66,6,0
66,7,0
66,8,0
66,9,0
66,10,0
66,11,0
66,12,1
66,13,1
66,14,0
66,15,1
66,16,1
66,17,1
66,18,1
66,19,0
66,20,1
66,21,0
66,22,0
66,23,0
66,24,1
66,25,1
66,26,1
66,27,1
66,28,0
66,29,0
66,30,0
66,31,1
66,32,1
66,33,0
66,34,1
66,35,1
66,36,0
66,37,0
66,38,0
49,0,1
49,1,0
49,2,1
49,3,1
49,4,0
49,5,0
49,6,1
49,7,0
49,8,1
49,9,1
49,10,0
49,11,1
49,12,0
49,13,0
49,14,1
49,15,0
49,16,1
49,17,0
49,18,1
49,19,1
49,20,1
49,21,0
49,22,0
49,23,1
49,24,0
49,25,1
49,26,0
49,27,0
49,28,0
49,29,1
49,30,1
49,31,1
49,32,1
49,33,0
49,34,1
49,35,1
49,36,1
49,37,0
49,38,0
85,0,1
85,1,0
85,2,1
85,3,1
85,4,0
85,5,1
85,6,1
85,7,0
85,8,1
85,9,0
85,10,0
85,11,0
85,12,0
85,13,0
85,14,1
85,15,0
85,16,1
85,17,0
85,18,1
85,19,0
85,20,0
85,21,1
85,22,1
85,23,1
85,24,1
85,25,0
85,26,1
85,27,0
85,28,0
85,29,0
85,30,0
85,31,1
85,32,0
85,33,0
85,34,1
85,35,1
85,36,0
85,37,1
85,38,1
76,0,1
76,1,1
76,2,1
76,3,1
76,4,1
76,5,0
76,6,0
76,7,1
76,8,1
76,9,0
76,10,1
76,11,0
76,12,0
76,13,0
76,14,1
76,15,1
76,16,1
76,17,1
76,18,0
76,19,0
76,20,0
76,21,1
76,22,0
76,23,1
76,24,1
76,25,1
76,26,0
76,27,1
76,28,0
76,29,1
76,30,0
76,31,1
76,32,0
76,33,1
76,34,1
76,35,0
76,36,1
76,37,0
76,38,1
94,0,1
94,1,0
94,2,1
94,3,1
94,4,1
94,5,1
94,6,1
94,7,0
94,8,1
94,9,1
94,10,1
94,11,1
94,12,0
94,13,1
94,14,0
94,15,0
94,16,1
94,17,0
94,18,0
94,19,0
94,20,0
94,21,1
94,22,1
94,23,1
94,24,0
94,25,0
94,26,1
94,27,1
94,28,1
94,29,1
94,30,1
94,31,1
94,32,0
94,33,0
94,34,0
94,35,1
94,36,1
94,37,1
94,38,0
75,0,1
75,1,1
75,2,1
75,3,1
75,4,1
75,5,1
75,6,0
75,7,0
75,8,0
75,9,0
75,10,1
75,11,0
75,12,1
75,13,1
75,14,1
75,15,0
75,16,1
75,17,0
75,18,0
75,19,1
75,20,1
75,21,1
75,22,1
75,23,1
75,24,0
75,25,0
75,26,1
75,27,0
75,28,0
75,29,0
75,30,1
75,31,1
75,32,1
75,33,1
75,34,1
75,35,1
75,36,1
75,37,1
75,38,0
14,0,0
14,1,0
14,2,1
14,3,0
14,4,1
14,5,0
14,6,0
14,7,1
14,8,0
14,9,0
14,10,0
14,11,1
14,12,0
14,13,0
14,14,1
14,15,1
14,16,1
14,17,0
14,18,1
14,19,1
14,20,1
14,21,0
14,22,0
14,23,0
14,24,0
14,25,1
14,26,1
14,27,0
14,28,0
14,29,1
14,30,1
14,31,0
14,32,0
14,33,1
14,34,0
14,35,1
14,36,0
14,37,0
14,38,1
55,0,1
55,1,0
55,2,0
55,3,1
55,4,1
55,5,0
55,6,1
55,7,1
55,8,1
55,9,0
55,10,0
55,11,1
55,12,0
55,13,0
55,14,0
55,15,1
55,16,0
55,17,1
55,18,1
55,19,1
55,20,1
55,21,0
55,22,0
55,23,0
55,24,0
55,25,1
55,26,1
55,27,0
55,28,1
55,29,1
55,30,1
55,31,1
55,32,1
55,33,1
55,34,0
55,35,1
55,36,1
55,37,1
55,38,1
11,0,0
11,1,1
11,2,0
11,3,0
11,4,1
11,5,0
11,6,0
11,7,0
11,8,0
11,9,1
11,10,0
11,11,1
11,12,0
11,13,1
11,14,0
11,15,1
11,16,0
11,17,0
11,18,1
11,19,1
11,20,0
11,21,0
11,22,1
11,23,0
11,24,0
11,25,1
11,26,1
11,27,1
11,28,0
11,29,1
11,30,1
11,31,0
11,32,1
11,33,0
11,34,1
11,35,0
11,36,1
11,37,0
11,38,0
59,0,1
59,1,1
59,2,1
59,3,1
59,4,0
59,5,1
59,6,1
59,7,0
59,8,1
59,9,0
59,10,1
59,11,1
59,12,1
59,13,1
59,14,0
59,15,0
59,16,0
59,17,0
59,18,0
59,19,1
59,20,0
59,21,0
59,22,1
59,23,1
59,24,1
59,25,1
59,26,1
59,27,0
59,28,1
59,29,1
59,30,1
59,31,1
59,32,1
59,33,1
59,34,1
59,35,0
59,36,1
59,37,1
59,38,0
97,0,1
97,1,1
97,2,1
97,3,1
97,4,0
97,5,1
97,6,1
97,7,0
97,8,0
97,9,0
97,10,1
97,11,1
97,12,0
97,13,1
97,14,0
97,15,1
97,16,0
97,17,1
97,18,1
97,19,1
97,20,1
97,21,0
97,22,1
97,23,1
97,24,1
97,25,0
97,26,1
97,27,0
97,28,1
97,29,1
97,30,1
97,31,1
97,32,0
97,33,1
97,34,0
97,35,0
97,36,0
97,37,1
97,38,0
46,0,0
46,1,0
46,2,0
46,3,1
46,4,0
46,5,0
46,6,0
46,7,1
46,8,0
46,9,0
46,10,1
46,11,1
46,12,0
46,13,0
46,14,0
46,15,0
46,16,1
46,17,0
46,18,1
46,19,1
46,20,0
46,21,0
46,22,0
46,23,0
46,24,0
46,25,1
46,26,0
46,27,0
46,28,1
46,29,1
46,30,1
46,31,1
46,32,0
46,33,0
46,34,1
46,35,0
46,36,0
46,37,1
46,38,1
60,0,0
60,1,0
60,2,0
60,3,1
60,4,1
60,5,1
60,6,1
60,7,1
60,8,0
60,9,0
60,10,0
60,11,1
60,12,0
60,13,0
60,14,1
60,15,1
60,16,0
60,17,0
60,18,0
60,19,1
60,20,0
60,21,1
60,22,0
60,23,1
60,24,0
60,25,1
60,26,1
60,27,0
60,28,0
60,29,1
60,30,0
60,31,1
60,32,1
60,33,0
60,34,1
60,35,0
60,36,1
60,37,0
60,38,1
57,0,0
57,1,0
57,2,0
57,3,1
57,4,0
57,5,0
57,6,0
57,7,0
57,8,0
57,9,0
57,10,1
57,11,1
57,12,1
57,13,1
57,14,0
57,15,1
57,16,0
57,17,1
57,18,1
57,19,1
57,20,0
57,21,0
57,22,0
57,23,1
57,24,0
57,25,1
57,26,0
57,27,0
57,28,1
57,29,0
57,30,0
57,31,1
57,32,1
57,33,0
57,34,0
57,35,1
57,36,0
57,37,0
57,38,1
37,0,0
37,1,1
37,2,0
37,3,0
37,4,0
37,5,0
37,6,1
37,7,1
37,8,0
37,9,0
37,10,0
37,11,0
37,12,1
37,13,0
37,14,0
37,15,0
37,16,1
37,17,1
37,18,0
37,19,0
37,20,0
