question,truth
http://0800-horoscope.com,G
http://18games.net,X
http://1pixelout.net,G
http://1porno.com/004/teens/index.html,X
http://1stpussy.com/005/16/index.html,X
http://3x-pix.com,X
http://4d.com,G
http://4neurons.com,G
http://4-panama-city-beach-condo.com/index.htm,G
http://4whw.8m.net/,X
http://6lyrics.com,G
http://6t9u.com,X
http://79.170.40.167/micromin.net/downloads/index.php?=&=http://nickscipio.com/pod/2008/11/08_helicoptersex.html,G
http://991.com,G
http://9dir.com,G
http://a2phone.com,G
http://aarpmagazine.org,G
http://ablelinks.com,G
http://accurint.com,P
http://acehardwaresuperstore.com,G
http://activeboard.com,G
http://adameve.com,X
http://adc.gsfc.nasa.gov/,G
http://add2dir.info,G
http://adonomics.com,G
http://adultdvdemart.com,X
http://adult-porn-sites.net/shemale-comics/,X
http://adultswim.co.uk,P
http://advogato.org,G
http://aetna.com,G
http://affiliateguide.com,G
http://affiliatemarketingreviewer.com,G
http://allbetsareoff.com,G
http://AllHiphop.com,G
http://alpha-cow.com/sites/amateur/julia/,X
http://alphawomen.com,P
http://amateur18s.adultbouncer.com/,X
http://analogx.com,G
http://ancestorsites.com,G
http://andhrapradesh.com,G
http://animea.net,G
http://anything-asian.net,P
http://AOL.com,G
http://Apartmentguide.com,G
http://Apartments.com,G
http://apolloguide.com/mov_revtemp.asp?cid=950,G
http://apprupt.com,G
http://aquatapes.com,X
http://ar.geocities.com/hentsen/index.html,X
http://arcspace.com,G
http://aresearchguide.com,G
http://army.mod.uk,G
http://articlegold.com,G
http://articlemajoris.com,G
http://articlesandauthors.com,P
http://asandboxgreeting.com,G
http://AsianAve.com,P
http://asiatos.com,X
http://askganesha.com,G
http://Autotrader.com,G
http://autumntree.info,G
http://avert.org,P
http://avonarticles.com,G
http://azureuswiki.com,G
http://babepedia.com,R
http://babyboomerlifeboat.com,G
http://backseatcuddler.com/2007/04/09/lauren-conrad-and-jason-wahler-sex-tape/,R
http://backseatcuddler.com/2007/09/08/vanessa-hudgens-sexy-naughty-and-nude/,P
http://backseatcuddler.com/2008/01/05/adriana-lima-latest-sex-tape-scandal/,P
http://backseatcuddler.com/2008/01/05/adriana-lima-latest-sex-tape-scandal/adriana-lima-sex-tape/,R
http://backseatcuddler.com/2008/01/13/tiffany-new-york-pollard-has-a-sex-tape/,R
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/,R
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,P
http://backseatcuddler.com/2008/03/04/victoria-pratt-sci-fis-sexy-pin-up/,P
http://backseatcuddler.com/2008/03/13/miley-cyrus-bff-mandy-jiroux-has-sexy-myspace-pictures/mandy-jiroux-2/,R
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/,X
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-2/,P
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,R
http://backseatcuddler.com/2008/04/15/marilyn-monroe-sex-tape-sells-for-15-million-photos/,P
http://backseatcuddler.com/2008/06/29/new-miley-cyrus-pictures-not-naked-but-still-sexy/,P
http://backseatcuddler.com/2008/07/13/sex-and-the-city-sequel-in-the-works/,P
http://backseatcuddler.com/2008/08/23/vanessa-hudgens%e2%80%99-sexy-naughty-photo-shoot%e2%80%a6/,R
http://backseatcuddler.com/2008/09/16/megan-fox-reveals-bisexual-past-current-girl-crushes/,P
http://backseatcuddler.com/2008/10/05/megan-fox-is-the-sexiest-fakest-woman-in-the-world/megan-fox-fake/,P
http://backseatcuddler.com/2008/11/16/2008-victorias-secret-fashion-show-rocks-%e2%80%93-sexy-angels%e2%80%99-photos/,R
http://backseatcuddler.com/2008/11/16/2008-victorias-secret-fashion-show-rocks-%e2%80%93-sexy-angels%e2%80%99-photos/full_victorias_secret_show_02_wenn2175462/,R
http://backseatcuddler.com/2008/11/16/2008-victorias-secret-fashion-show-rocks-%e2%80%93-sexy-angels%e2%80%99-photos/full_victorias_secret_show_07_wenn2175461/,P
http://backseatcuddler.com/2008/11/16/2008-victorias-secret-fashion-show-rocks-%e2%80%93-sexy-angels%e2%80%99-photos/full_victorias_secret_show_08_wenn2175497/,P
http://backseatcuddler.com/2008/12/02/super-sexy-flirting-w-forty/,P
http://badlefthook.com,G
http://baitbus.com,X
http://bajajuae.com,G
http://bat5.com,X
http://bearshare.com,G
http://Beatlesarama.com,G
http://beextraordinaryquiz.com,G
http://bellacor.com,G
http://bestfreewaredownload.com,G
http://bestseoservices.com,G
http://bestshowticketslasvegas.com,G
http://bestwestern.com,G
http://betinternet.com,G
http://betonline.com,G
http://bfgtech.com,G
http://binglee.com.au,G
http://birdmovies.com,X
http://bitscreens.com,R
http://bjsbrewhouse.com,G
http://blacklistednews.com,G
