question,answer
81993820,3
81994547,3
81994569,3
81994619,0
81994623,2
81994657,4
81994737,3
81994871,0
81995233,2
81995294,0
81995317,0
81995385,2
81995507,0
81995587,3
81995666,2
81995718,2
81995828,0
81995838,1
81995977,3
81996080,1
81996092,0
81996415,2
81996499,0
81996542,2
81996571,1
81996585,0
81996594,1
81996695,2
81996764,0
81996938,3
81996945,3
81996997,1
82509276,1
82509278,3
82509298,3
82509310,3
82509602,0
82509653,1
82509678,0
82509691,2
82510059,3
82510064,1
82510137,3
82510163,1
82510199,3
82510201,1
82510207,1
82510259,1
82510298,3
82510416,0
82510452,2
82510492,4
82510693,1
82510755,2
82510796,1
82510997,4
82511036,3
82511191,0
82511193,0
82511269,1
82511345,0
82511565,1
82511751,3
82511766,1
82512042,1
82512093,0
82512099,3
82512145,2
82512212,2
82512299,0
82512344,3
82512438,3
82512461,2
82512578,0
82512623,1
82512662,2
82512797,3
82512854,1
82512916,2
82513014,2
82513064,1
82513136,3
82513289,2
82513444,0
82513470,1
82513588,1
82513626,3
82514466,2
82515092,2
82515186,3
82515898,1
82515944,2
82516003,3
82516074,0
82516283,1
82516547,3
82516549,3
82516646,3
82516750,3
82516775,0
82516918,0
82516994,1
82517281,1
82517296,0
82517329,0
82517414,1
82517573,3
82517602,1
82517625,1
82517629,1
82517646,2
82517760,3
82517839,0
82518022,3
82518099,2
82518151,0
82518158,0
82518284,4
82518322,0
82518378,2
82518429,2
82672758,3
82672807,3
82672831,0
82672973,3
82672977,2
82672991,3
82673563,1
82673621,0
82673737,3
82673764,0
82673777,3
82673786,2
82673833,0
82673954,0
82674035,1
82674083,1
82674199,1
82674219,0
82674290,2
82674474,1
82674497,1
82674499,3
82674566,0
82674634,0
82674902,0
82675151,1
82675510,3
82675594,3
82675630,3
82675706,2
82675810,1
82675851,1
82675864,2
82676148,3
82676265,0
82676313,3
82676348,3
82676412,3
82676486,2
82676543,1
82676609,1
82676738,2
82676801,3
82677093,1
82677133,0
82677172,3
82677176,2
82677284,1
82677848,3
82677993,0
82678038,3
82678213,3
82678292,0
82678393,0
82678469,1
82678490,3
82678499,3
82678736,1
82678878,3
82679055,1
82679243,0
82679458,2
82679485,0
82679560,1
82679653,3
82679677,0
82679834,1
82679835,0
82679850,3
82679887,0
82680063,3
82680080,3
82680253,2
82680378,2
82680423,2
82680424,1
82680469,2
82680470,1
82680870,3
82681022,3
82681076,1
82681107,1
82681160,1
82681227,2
82681415,4
82681477,0
82681805,0
82681854,0
82681996,2
82682106,2
82682153,4
82682352,3
82682363,0
82835486,3
82835535,0
82835536,3
82835571,4
82837138,1
82837194,2
82837247,0
82837308,0
82837312,2
82837330,2
82837331,1
82837376,2
82837658,3
82837743,0
82837785,3
82837899,2
82838018,1
82838077,2
82838136,2
82838193,1
82838269,2
82838312,1
82838802,2
82838854,0
82838894,0
82838938,1
82839115,1
82839379,3
82839413,2
82839436,1
82839573,0
82839684,1
82839711,3
82839829,3
82839844,2
82839959,3
82839983,1
82840011,3
82840144,1
82840157,2
82840428,0
82840462,0
82840508,0
82840644,3
82840755,0
82840779,3
82841006,2
82841168,0
82841404,3
82841468,0
82841589,3
82841631,0
82841658,1
82841690,3
82841713,3
82843258,0
82843268,2
82843564,3
82843728,2
82843785,2
82843839,1
82844095,3
82844107,1
82844287,4
82844291,0
82844422,1
82844485,0
82844546,2
82844564,2
82844619,3
82844697,2
82844705,0
82844714,1
82844735,3
82844765,0
82844934,0
82844981,2
82845119,3
82845186,1
82845268,0
82845272,0
82845277,4
82845290,1
82845308,1
82845437,0
82845501,0
82845610,3
82845874,3
82845937,3
82846065,0
82846118,1
82846571,3
82846618,4
82846910,1
82847055,3
82847304,1
82847369,2
82847436,0
82847466,0
82847475,3
82847538,3
82847641,0
82847678,1
82847776,3
82848494,3
82848803,0
82848964,3
82849021,1
82849163,3
82849206,3
82849272,0
82849313,1
82849547,3
82849685,0
82850000,0
82850069,2
82850122,3
82850303,2
82850414,1
82850521,2
82850583,0
82850609,3
82850752,3
82850978,0
82850992,3
82851186,3
82851542,0
82851559,3
82851599,3
82851664,3
82851670,0
82851968,3
82852118,2
82852227,3
82852328,3
82852342,1
82852373,1
82852510,1
82852542,3
82852668,1
82852809,0
82852894,1
82852921,3
82853071,3
82853084,3
82853085,0
82853149,0
82853150,0
82853187,0
82853245,3
83254598,0
83254794,0
83254916,0
83254924,1
83254939,1
83255051,2
83255088,2
83255121,0
83255142,3
83255316,1
83255367,1
83255476,1
83255486,0
83255526,2
83255547,3
83255882,3
83255916,1
83255937,3
83256060,2
83256065,0
83256123,1
83256193,0
83256253,2
83256366,2
83256415,3
83256440,3
83256570,3
83256679,0
83256806,3
83257037,3
83257052,1
83257061,2
83257131,3
83257167,1
83257174,3
83257196,3
83257336,0
83257628,3
83257650,2
83257763,1
83257918,3
83257925,2
83257950,0
83258038,1
83258131,0
83258314,1
83258489,1
83258553,3
83258590,0
83258604,1
83258608,2
83258613,0
83258702,0
83258944,3
83259127,3
83259244,3
83259537,1
83267294,1
83267573,2
83267635,1
83267942,2
83268246,3
83268278,1
83268301,1
83268482,2
83268491,2
83268587,1
83268638,0
83268730,3
83268737,3
83269010,1
83269109,2
83269115,3
83269180,3
83269290,0
83269437,3
83269499,2
83269511,3
83269519,1
83269583,0
83269748,3
83269790,2
83269935,1
83269981,3
83270091,0
83270140,2
83270141,2
83270454,3
83270494,0
83270521,1
83270648,3
83270696,1
83270768,1
83271279,3
83271356,2
83271419,1
83271502,0
83271979,2
83271996,1
83272067,3
83272072,3
83272186,1
83272206,2
84030148,3
84030151,0
84030164,2
84030311,2
84030355,2
84030372,3
84030639,1
84030673,3
84030784,3
84031114,1
84031161,1
84031434,3
84031506,3
84031618,4
84031932,4
84032036,3
84032046,3
84032624,3
84032685,3
84033089,0
84033317,0
84033426,3
84033718,0
84033731,2
84033733,2
84033936,1
84034023,2
84034398,0
84034442,3
84034447,3
84034550,4
84034743,0
84034749,3
84034752,3
84034760,3
84034785,2
84047254,3
84047275,3
84047300,2
84047381,3
84047815,1
84047934,0
84048054,0
84048095,1
84048109,2
84048180,3
84048182,1
84048187,0
84048241,2
84048359,1
84048364,3
84048438,0
84048462,2
84049186,3
84049308,1
84049338,1
84049369,2
84049378,2
84049530,0
84049696,1
84049718,0
84049777,1
84049900,3
84049993,1
84050095,2
84050258,0
84050322,0
84050364,0
84050420,2
84050466,0
84050482,3
84050868,0
84050878,1
84050968,3
84051155,2
84051178,3
84051181,3
84051249,3
84051273,2
84051300,1
84051334,1
84051508,3
84051602,3
84051653,3
84051784,3
84051926,1
84051941,3
84051983,1
84304127,4
84304530,3
84304558,1
84304614,1
84304741,0
84304871,3
84304907,1
84304976,0
84304985,0
84305046,1
84305051,1
84305178,1
84305262,1
84305417,0
84305541,1
84305604,0
84305736,0
84305899,2
84306146,3
84306204,1
84306221,2
84306277,0
84306362,1
84306382,3
84306400,4
84306519,1
84306829,3
84306860,0
84306933,3
84307023,0
84307215,0
84307329,2
84308244,1
84308252,1
84308263,0
84308267,3
84308352,3
84308406,3
84308499,3
84308521,3
84308560,1
84308648,1
84308663,3
84310393,3
84310560,1
84310764,1
84310768,3
84311025,1
84311097,3
84311133,1
84311137,1
84311142,3
84311166,3
84311234,0
84311517,3
84311584,3
84311591,3
84311599,0
84311715,1
84311760,1
84311778,3
84311956,3
84311981,3
84311983,0
84312057,1
84312401,3
84312474,1
84312565,0
84312586,1
84312699,1
84312749,1
84312991,0
84313039,2
84313129,0
84313204,3
84313212,1
84313352,1
84313551,3
84313575,1
84313582,0
84313769,2
84313808,2
84313924,3
84314069,0
84314150,1
84314215,1
84314324,0
84314377,0
84314382,2
84314399,3
84314450,0
84314754,2
84314756,1
84314858,0
84314916,2
84317373,3
84317392,1
84317524,3
84317684,1
84317743,0
84317772,1
84317814,1
84318003,1
84318040,2
84318062,1
84318134,0
84318238,0
84318290,1
84318313,0
84318394,0
84318783,0
84318790,2
84318849,3
84318962,0
84319101,2
84319228,1
84319348,2
84319495,1
84319654,0
84319703,0
84319723,3
84319756,0
84319834,1
84320081,0
84320229,3
84320238,0
84320252,3
84320333,3
84320461,1
84320492,1
84320701,0
84320716,3
84320750,0
84320961,3
84321017,1
84321176,1
84321217,0
84321254,3
84321454,0
84321540,3
84321548,1
84321613,0
84321802,4
84321854,3
84321911,0
