task,level,fold,noise_level,accuracy,f1
adult_ordinal,0.2,1,0.35,0.9015748031496063,0.9055545172840855
adult_ordinal,0.2,2,0.35,0.9015748031496063,0.9050195799738614
adult_ordinal,0.2,3,0.35,0.9291338582677166,0.9310243742360264
adult_ordinal,0.2,4,0.35,0.8980392156862745,0.9014407505022191
adult_ordinal,0.2,5,0.35,0.9176470588235294,0.920458341354307
adult_ordinal,0.8,1,0.35,0.921875,0.9244229939603106
adult_ordinal,0.8,2,0.35,0.953125,0.953125
adult_ordinal,0.8,3,0.35,0.921875,0.922147124897553
adult_ordinal,0.8,4,0.35,0.9206349206349206,0.9238095238095239
adult_ordinal,0.8,5,0.35,0.9365079365079365,0.9409171075837743
adult_ordinal,0.0,1,0.35,0.89937106918239,0.9033270007147614
adult_ordinal,0.2,1,0.45,0.9094488188976378,0.9125160456930783
adult_ordinal,0.2,2,0.45,0.9212598425196851,0.9237388363292705
adult_ordinal,0.2,3,0.45,0.9173228346456693,0.9193716317933751
adult_ordinal,0.2,4,0.45,0.9176470588235294,0.9202535349651841
adult_ordinal,0.2,5,0.45,0.9215686274509803,0.9234070211945345
adult_ordinal,0.8,1,0.45,0.9375,0.940285441426146
adult_ordinal,0.8,2,0.45,0.921875,0.9249366554054054
adult_ordinal,0.8,3,0.45,0.953125,0.9545876233376234
adult_ordinal,0.8,4,0.45,0.9682539682539683,0.9704789390503675
adult_ordinal,0.8,5,0.45,0.873015873015873,0.8859735605404124
adult_ordinal,0.0,1,0.45,0.9056603773584906,0.9081278878688164
adult_ordinal,0.2,1,0.55,0.9251968503937008,0.9269798386486515
adult_ordinal,0.2,2,0.55,0.9448818897637795,0.9461966438447963
adult_ordinal,0.2,3,0.55,0.937007874015748,0.9380652670375891
adult_ordinal,0.2,4,0.55,0.9294117647058824,0.9309538981390953
adult_ordinal,0.2,5,0.55,0.9372549019607843,0.9382455301496226
adult_ordinal,0.8,1,0.55,0.9375,0.9372899159663866
adult_ordinal,0.8,2,0.55,0.921875,0.9241792206966691
adult_ordinal,0.8,3,0.55,0.90625,0.9118076514643416
adult_ordinal,0.8,4,0.55,0.9682539682539683,0.9681735078560475
adult_ordinal,0.8,5,0.55,0.9206349206349206,0.9253105800724848
adult_ordinal,0.0,1,0.55,0.9371069182389937,0.9381826332002219
adult_ordinal,0.2,1,0.65,0.9448818897637795,0.9461336891921227
adult_ordinal,0.2,2,0.65,0.9488188976377953,0.9505571165952434
adult_ordinal,0.2,3,0.65,0.9448818897637795,0.9461888478210987
adult_ordinal,0.2,4,0.65,0.9372549019607843,0.9382618232585577
adult_ordinal,0.2,5,0.65,0.9333333333333333,0.9354526556017857
adult_ordinal,0.8,1,0.65,0.9375,0.9380487772031889
adult_ordinal,0.8,2,0.65,0.9375,0.9387937595129375
adult_ordinal,0.8,3,0.65,0.921875,0.9238839618076236
adult_ordinal,0.8,4,0.65,0.9523809523809523,0.9528571428571428
adult_ordinal,0.8,5,0.65,0.9682539682539683,0.9704128226633119
adult_ordinal,0.0,1,0.65,0.9465408805031447,0.9475680688673827
adult_ordinal,0.2,1,0.75,0.9645669291338582,0.965243642145134
adult_ordinal,0.2,2,0.75,0.968503937007874,0.9691665763772086
adult_ordinal,0.2,3,0.75,0.9606299212598425,0.9616214663101498
adult_ordinal,0.2,4,0.75,0.9725490196078431,0.9729961621290293
adult_ordinal,0.2,5,0.75,0.9725490196078431,0.9728230552253843
adult_ordinal,0.8,1,0.75,0.984375,0.9845452069716776
adult_ordinal,0.8,2,0.75,0.984375,0.9847916666666666
adult_ordinal,0.8,3,0.75,1.0,1.0
adult_ordinal,0.8,4,0.75,0.9523809523809523,0.9533257747543462
adult_ordinal,0.8,5,0.75,0.9365079365079365,0.9386621315192742
adult_ordinal,0.0,1,0.75,0.9685534591194969,0.9691745286196146
adult_ordinal,0.2,1,0.85,0.9960629921259843,0.996093636997038
adult_ordinal,0.2,2,0.85,0.9921259842519685,0.9921562553655956
adult_ordinal,0.2,3,0.85,0.9921259842519685,0.9921576059686399
adult_ordinal,0.2,4,0.85,0.9921568627450981,0.9921865671051643
adult_ordinal,0.2,5,0.85,0.996078431372549,0.9960932863562857
adult_ordinal,0.8,1,0.85,0.984375,0.9846230158730158
adult_ordinal,0.8,2,0.85,1.0,1.0
adult_ordinal,0.8,3,0.85,1.0,1.0
adult_ordinal,0.8,4,0.85,1.0,1.0
adult_ordinal,0.8,5,0.85,0.9841269841269841,0.9847397655616834
adult_ordinal,0.0,1,0.85,0.9937106918238994,0.9937302096688626
adult_ordinal,0.2,1,0.95,1.0,1.0
adult_ordinal,0.2,2,0.95,1.0,1.0
adult_ordinal,0.2,3,0.95,1.0,1.0
adult_ordinal,0.2,4,0.95,1.0,1.0
adult_ordinal,0.2,5,0.95,1.0,1.0
adult_ordinal,0.8,1,0.95,1.0,1.0
adult_ordinal,0.8,2,0.95,1.0,1.0
adult_ordinal,0.8,3,0.95,1.0,1.0
adult_ordinal,0.8,4,0.95,1.0,1.0
adult_ordinal,0.8,5,0.95,1.0,1.0
adult_ordinal,0.0,1,0.95,1.0,1.0
