task,level,fold,noise_level,accuracy,f1
face,0.2,1,0.35,0.3618843683083512,0.3577623521541444
face,0.2,2,0.35,0.42184154175588867,0.41607380095081664
face,0.2,3,0.35,0.3426124197002141,0.3305060026395012
face,0.2,4,0.35,0.4004282655246253,0.38911733696380224
face,0.2,5,0.35,0.34615384615384615,0.3435889530203147
face,0.8,1,0.35,0.4188034188034188,0.4164019670081295
face,0.8,2,0.35,0.4700854700854701,0.46933700323530836
face,0.8,3,0.35,0.38461538461538464,0.3857361213830268
face,0.8,4,0.35,0.4700854700854701,0.4686118479221928
face,0.8,5,0.35,0.4224137931034483,0.42598358261885394
face,0.0,1,0.35,0.25,0.1
face,0.2,1,0.45,0.7002141327623126,0.6999056496417855
face,0.2,2,0.45,0.6788008565310493,0.6783959930358531
face,0.2,3,0.45,0.7301927194860813,0.730143390399533
face,0.2,4,0.45,0.7130620985010707,0.712819019029709
face,0.2,5,0.45,0.7136752136752137,0.7140904531209722
face,0.8,1,0.45,0.6581196581196581,0.6573033316806962
face,0.8,2,0.45,0.7777777777777778,0.7789145011367232
face,0.8,3,0.45,0.6837606837606838,0.6838852505519173
face,0.8,4,0.45,0.7435897435897436,0.7449871047660628
face,0.8,5,0.45,0.7327586206896551,0.7335717986254063
face,0.0,1,0.45,0.25,0.1
face,0.2,1,0.55,0.8394004282655246,0.8394641744656796
face,0.2,2,0.55,0.8329764453961456,0.8333030885928937
face,0.2,3,0.55,0.8436830835117773,0.8433554464200227
face,0.2,4,0.55,0.8351177730192719,0.8353498881042178
face,0.2,5,0.55,0.844017094017094,0.8440415110592285
face,0.8,1,0.55,0.8717948717948718,0.8723001417916671
face,0.8,2,0.55,0.8632478632478633,0.8642039302416661
face,0.8,3,0.55,0.7863247863247863,0.7854318972930354
face,0.8,4,0.55,0.8888888888888888,0.8885775842140791
face,0.8,5,0.55,0.8620689655172413,0.861999299357479
face,0.0,1,0.55,0.827054794520548,0.8268279237846643
face,0.2,1,0.65,0.9122055674518201,0.9121684384655128
face,0.2,2,0.65,0.9336188436830836,0.9335695834623312
face,0.2,3,0.65,0.9271948608137045,0.9271512902307234
face,0.2,4,0.65,0.9207708779443254,0.9208409917895134
face,0.2,5,0.65,0.9273504273504274,0.9273491981971447
face,0.8,1,0.65,0.9743589743589743,0.9746711378290326
face,0.8,2,0.65,0.905982905982906,0.9059174237160187
face,0.8,3,0.65,0.8974358974358975,0.896955896095903
face,0.8,4,0.65,0.905982905982906,0.906094077236388
face,0.8,5,0.65,0.9310344827586207,0.9310983397190294
face,0.0,1,0.65,0.922945205479452,0.9229461664175553
face,0.2,1,0.75,0.9957173447537473,0.995707558511833
face,0.2,2,0.75,0.9935760171306209,0.9935666157246829
face,0.2,3,0.75,0.9935760171306209,0.993566038605475
face,0.2,4,0.75,0.9957173447537473,0.9957174662107603
face,0.2,5,0.75,0.9957264957264957,0.9957262864502685
face,0.8,1,0.75,0.9914529914529915,0.9914507674070515
face,0.8,2,0.75,1.0,1.0
face,0.8,3,0.75,1.0,1.0
face,0.8,4,0.75,0.9914529914529915,0.9914298992313177
face,0.8,5,0.75,0.9913793103448276,0.9913689281413087
face,0.0,1,0.75,0.9948630136986302,0.9948570892415233
face,0.2,1,0.85,1.0,1.0
face,0.2,2,0.85,1.0,1.0
face,0.2,3,0.85,1.0,1.0
face,0.2,4,0.85,1.0,1.0
face,0.2,5,0.85,1.0,1.0
face,0.8,1,0.85,1.0,1.0
face,0.8,2,0.85,1.0,1.0
face,0.8,3,0.85,1.0,1.0
face,0.8,4,0.85,1.0,1.0
face,0.8,5,0.85,1.0,1.0
face,0.0,1,0.85,1.0,1.0
face,0.2,1,0.95,1.0,1.0
face,0.2,2,0.95,1.0,1.0
face,0.2,3,0.95,1.0,1.0
face,0.2,4,0.95,1.0,1.0
face,0.2,5,0.95,1.0,1.0
face,0.8,1,0.95,1.0,1.0
face,0.8,2,0.95,1.0,1.0
face,0.8,3,0.95,1.0,1.0
face,0.8,4,0.95,1.0,1.0
face,0.8,5,0.95,1.0,1.0
face,0.0,1,0.95,1.0,1.0
