task,level,fold,noise_level,accuracy,f1
waterbird,0.2,1,0.35,0.011627906976744186,0.012563485699010963
waterbird,0.2,2,0.35,0.0,0.0
waterbird,0.2,3,0.35,0.011627906976744186,0.010425020048115475
waterbird,0.2,4,0.35,0.011494252873563218,0.013061650992685475
waterbird,0.2,5,0.35,0.022988505747126436,0.022988505747126436
waterbird,0.8,1,0.35,1.0,1.0
waterbird,0.8,2,0.35,1.0,1.0
waterbird,0.8,3,0.35,1.0,1.0
waterbird,0.8,4,0.35,0.9523809523809523,0.9523809523809523
waterbird,0.8,5,0.35,1.0,1.0
waterbird,0.0,1,0.35,0.009259259259259259,0.00815494393476045
waterbird,0.2,1,0.45,0.011627906976744186,0.012563485699010963
waterbird,0.2,2,0.45,0.0,0.0
waterbird,0.2,3,0.45,0.023255813953488372,0.024841437632135307
waterbird,0.2,4,0.45,0.011494252873563218,0.013061650992685475
waterbird,0.2,5,0.45,0.022988505747126436,0.02531318610357742
waterbird,0.8,1,0.45,1.0,1.0
waterbird,0.8,2,0.45,0.9545454545454546,0.9548325358851675
waterbird,0.8,3,0.45,1.0,1.0
waterbird,0.8,4,0.45,1.0,1.0
waterbird,0.8,5,0.45,1.0,1.0
waterbird,0.0,1,0.45,0.009259259259259259,0.010193679918450561
waterbird,0.2,1,0.55,0.9767441860465116,0.9767441860465116
waterbird,0.2,2,0.55,0.9883720930232558,0.9883577866442004
waterbird,0.2,3,0.55,0.9883720930232558,0.9883577866442004
waterbird,0.2,4,0.55,0.9770114942528736,0.9770114942528736
waterbird,0.2,5,0.55,0.9885057471264368,0.9885211364059567
waterbird,0.8,1,0.55,1.0,1.0
waterbird,0.8,2,0.55,1.0,1.0
waterbird,0.8,3,0.55,0.9545454545454546,0.9548325358851675
waterbird,0.8,4,0.55,1.0,1.0
waterbird,0.8,5,0.55,0.9523809523809523,0.9521630162362429
waterbird,0.0,1,0.55,0.009259259259259259,0.00815494393476045
waterbird,0.2,1,0.65,1.0,1.0
waterbird,0.2,2,0.65,1.0,1.0
waterbird,0.2,3,0.65,1.0,1.0
waterbird,0.2,4,0.65,1.0,1.0
waterbird,0.2,5,0.65,1.0,1.0
waterbird,0.8,1,0.65,1.0,1.0
waterbird,0.8,2,0.65,1.0,1.0
waterbird,0.8,3,0.65,1.0,1.0
waterbird,0.8,4,0.65,1.0,1.0
waterbird,0.8,5,0.65,1.0,1.0
waterbird,0.0,1,0.65,1.0,1.0
waterbird,0.2,1,0.75,1.0,1.0
waterbird,0.2,2,0.75,1.0,1.0
waterbird,0.2,3,0.75,1.0,1.0
waterbird,0.2,4,0.75,1.0,1.0
waterbird,0.2,5,0.75,1.0,1.0
waterbird,0.8,1,0.75,1.0,1.0
waterbird,0.8,2,0.75,1.0,1.0
waterbird,0.8,3,0.75,1.0,1.0
waterbird,0.8,4,0.75,1.0,1.0
waterbird,0.8,5,0.75,1.0,1.0
waterbird,0.0,1,0.75,1.0,1.0
waterbird,0.2,1,0.85,1.0,1.0
waterbird,0.2,2,0.85,1.0,1.0
waterbird,0.2,3,0.85,1.0,1.0
waterbird,0.2,4,0.85,1.0,1.0
waterbird,0.2,5,0.85,1.0,1.0
waterbird,0.8,1,0.85,1.0,1.0
waterbird,0.8,2,0.85,1.0,1.0
waterbird,0.8,3,0.85,1.0,1.0
waterbird,0.8,4,0.85,1.0,1.0
waterbird,0.8,5,0.85,1.0,1.0
waterbird,0.0,1,0.85,1.0,1.0
waterbird,0.2,1,0.95,1.0,1.0
waterbird,0.2,2,0.95,1.0,1.0
waterbird,0.2,3,0.95,1.0,1.0
waterbird,0.2,4,0.95,1.0,1.0
waterbird,0.2,5,0.95,1.0,1.0
waterbird,0.8,1,0.95,1.0,1.0
waterbird,0.8,2,0.95,1.0,1.0
waterbird,0.8,3,0.95,1.0,1.0
waterbird,0.8,4,0.95,1.0,1.0
waterbird,0.8,5,0.95,1.0,1.0
waterbird,0.0,1,0.95,1.0,1.0
