task,level,fold,noise_level,accuracy,f1
adult_ordinal,0.2,1,0.35,0.7992125984251969,0.8036804117845127
adult_ordinal,0.2,2,0.35,0.7874015748031497,0.7930566216151076
adult_ordinal,0.2,3,0.35,0.7952755905511811,0.800232363727171
adult_ordinal,0.2,4,0.35,0.803921568627451,0.8084382589722711
adult_ordinal,0.2,5,0.35,0.796078431372549,0.8020668891257127
adult_ordinal,0.8,1,0.35,0.78125,0.7843806715063522
adult_ordinal,0.8,2,0.35,0.84375,0.8483072916666667
adult_ordinal,0.8,3,0.35,0.828125,0.8291815476190476
adult_ordinal,0.8,4,0.35,0.8412698412698413,0.8463066034494605
adult_ordinal,0.8,5,0.35,0.7777777777777778,0.7829797031477702
adult_ordinal,0.0,1,0.35,0.8238993710691824,0.8274957376158062
adult_ordinal,0.2,1,0.45,0.9212598425196851,0.9219191092133237
adult_ordinal,0.2,2,0.45,0.9173228346456693,0.91797008901158
adult_ordinal,0.2,3,0.45,0.9133858267716536,0.9145983813679123
adult_ordinal,0.2,4,0.45,0.9176470588235294,0.9195292958277175
adult_ordinal,0.2,5,0.45,0.9019607843137255,0.9033463580423629
adult_ordinal,0.8,1,0.45,0.890625,0.8920138888888889
adult_ordinal,0.8,2,0.45,0.890625,0.8945186181927568
adult_ordinal,0.8,3,0.45,0.921875,0.9223025038819875
adult_ordinal,0.8,4,0.45,0.9365079365079365,0.9379509379509379
adult_ordinal,0.8,5,0.45,0.9682539682539683,0.9674053087630508
adult_ordinal,0.0,1,0.45,0.9056603773584906,0.9068153543081322
adult_ordinal,0.2,1,0.55,0.9015748031496063,0.9053470561127707
adult_ordinal,0.2,2,0.55,0.9330708661417323,0.934391218602293
adult_ordinal,0.2,3,0.55,0.9094488188976378,0.9109387616295951
adult_ordinal,0.2,4,0.55,0.9215686274509803,0.9232825834151407
adult_ordinal,0.2,5,0.55,0.9294117647058824,0.9306246333153888
adult_ordinal,0.8,1,0.55,0.96875,0.968459008097166
adult_ordinal,0.8,2,0.55,0.90625,0.9094113160745851
adult_ordinal,0.8,3,0.55,0.921875,0.9236852848594235
adult_ordinal,0.8,4,0.55,0.9523809523809523,0.9529993815708101
adult_ordinal,0.8,5,0.55,0.8888888888888888,0.8965774046519388
adult_ordinal,0.0,1,0.55,0.9213836477987422,0.923077675148411
adult_ordinal,0.2,1,0.65,0.9330708661417323,0.9343322467377824
adult_ordinal,0.2,2,0.65,0.9251968503937008,0.9263789386639961
adult_ordinal,0.2,3,0.65,0.9330708661417323,0.9341588467479475
adult_ordinal,0.2,4,0.65,0.9294117647058824,0.9313505104411496
adult_ordinal,0.2,5,0.65,0.9254901960784314,0.9264411067422635
adult_ordinal,0.8,1,0.65,0.90625,0.9072405329593268
adult_ordinal,0.8,2,0.65,0.953125,0.9541812832653627
adult_ordinal,0.8,3,0.65,0.953125,0.9535416666666666
adult_ordinal,0.8,4,0.65,0.9365079365079365,0.9370748299319728
adult_ordinal,0.8,5,0.65,0.9365079365079365,0.9399681942306108
adult_ordinal,0.0,1,0.65,0.9276729559748428,0.9289451278540906
adult_ordinal,0.2,1,0.75,0.9881889763779528,0.9882473024205307
adult_ordinal,0.2,2,0.75,0.9881889763779528,0.9881584132933332
adult_ordinal,0.2,3,0.75,0.9803149606299213,0.98074065321215
adult_ordinal,0.2,4,0.75,0.9882352941176471,0.9883315703629363
adult_ordinal,0.2,5,0.75,0.9803921568627451,0.980566017328341
adult_ordinal,0.8,1,0.75,1.0,1.0
adult_ordinal,0.8,2,0.75,0.984375,0.9847916666666666
adult_ordinal,0.8,3,0.75,1.0,1.0
adult_ordinal,0.8,4,0.75,0.9682539682539683,0.967642179667496
adult_ordinal,0.8,5,0.75,0.9841269841269841,0.9843633304026395
adult_ordinal,0.0,1,0.75,0.9842767295597484,0.9845380345063898
adult_ordinal,0.2,1,0.85,0.9921259842519685,0.9921517580956495
adult_ordinal,0.2,2,0.85,0.984251968503937,0.9843187031427775
adult_ordinal,0.2,3,0.85,0.9921259842519685,0.9921576059686399
adult_ordinal,0.2,4,0.85,0.9882352941176471,0.9882929873447116
adult_ordinal,0.2,5,0.85,0.9882352941176471,0.9881452023395758
adult_ordinal,0.8,1,0.85,0.984375,0.9846230158730158
adult_ordinal,0.8,2,0.85,1.0,1.0
adult_ordinal,0.8,3,0.85,0.984375,0.984375
adult_ordinal,0.8,4,0.85,1.0,1.0
adult_ordinal,0.8,5,0.85,0.9841269841269841,0.9847397655616834
adult_ordinal,0.0,1,0.85,0.9937106918238994,0.9937250889163988
adult_ordinal,0.2,1,0.95,1.0,1.0
adult_ordinal,0.2,2,0.95,1.0,1.0
adult_ordinal,0.2,3,0.95,1.0,1.0
adult_ordinal,0.2,4,0.95,1.0,1.0
adult_ordinal,0.2,5,0.95,1.0,1.0
adult_ordinal,0.8,1,0.95,1.0,1.0
adult_ordinal,0.8,2,0.95,1.0,1.0
adult_ordinal,0.8,3,0.95,1.0,1.0
adult_ordinal,0.8,4,0.95,1.0,1.0
adult_ordinal,0.8,5,0.95,1.0,1.0
adult_ordinal,0.0,1,0.95,1.0,1.0
