task,level,fold,noise_level,accuracy,f1
face,0.2,1,0.35,0.4539614561027837,0.4538786676189975
face,0.2,2,0.35,0.430406852248394,0.43016990626868423
face,0.2,3,0.35,0.43897216274089934,0.439158471867506
face,0.2,4,0.35,0.4603854389721627,0.4605402133847312
face,0.2,5,0.35,0.42948717948717946,0.430564131592459
face,0.8,1,0.35,0.4188034188034188,0.42224635755042716
face,0.8,2,0.35,0.4444444444444444,0.44713700298255216
face,0.8,3,0.35,0.4358974358974359,0.43640621776214994
face,0.8,4,0.35,0.42735042735042733,0.4215284062342886
face,0.8,5,0.35,0.45689655172413796,0.45839487806173956
face,0.0,1,0.35,0.4297945205479452,0.4302149214087313
face,0.2,1,0.45,0.7173447537473233,0.7173836304731067
face,0.2,2,0.45,0.7002141327623126,0.6999215778067366
face,0.2,3,0.45,0.7194860813704497,0.7194938233198269
face,0.2,4,0.45,0.7301927194860813,0.7299602600459131
face,0.2,5,0.45,0.7393162393162394,0.7392282349587319
face,0.8,1,0.45,0.7094017094017094,0.7093272561817463
face,0.8,2,0.45,0.7948717948717948,0.7954151308723737
face,0.8,3,0.45,0.6581196581196581,0.6586088326203424
face,0.8,4,0.45,0.6923076923076923,0.6922588522588522
face,0.8,5,0.45,0.7241379310344828,0.722614323363788
face,0.0,1,0.45,0.7243150684931506,0.7241321866366728
face,0.2,1,0.55,0.8501070663811563,0.85030972980912
face,0.2,2,0.55,0.8522483940042827,0.8520628535524163
face,0.2,3,0.55,0.860813704496788,0.8609020156183504
face,0.2,4,0.55,0.841541755888651,0.8414088016328617
face,0.2,5,0.55,0.8482905982905983,0.8479501713657941
face,0.8,1,0.55,0.8376068376068376,0.838185261066617
face,0.8,2,0.55,0.8717948717948718,0.8711326187228293
face,0.8,3,0.55,0.7863247863247863,0.7810526315789473
face,0.8,4,0.55,0.8717948717948718,0.8729737663268521
face,0.8,5,0.55,0.8706896551724138,0.8706172124022022
face,0.0,1,0.55,0.8458904109589042,0.8458154575142279
face,0.2,1,0.65,0.9314775160599572,0.93148770449141
face,0.2,2,0.65,0.9271948608137045,0.9273003491722775
face,0.2,3,0.65,0.9336188436830836,0.9334859846696242
face,0.2,4,0.65,0.9293361884368309,0.9292434979199654
face,0.2,5,0.65,0.9273504273504274,0.9273885574666582
face,0.8,1,0.65,0.9743589743589743,0.9746711378290326
face,0.8,2,0.65,0.9230769230769231,0.9229350289459578
face,0.8,3,0.65,0.9145299145299145,0.9142308968304775
face,0.8,4,0.65,0.9145299145299145,0.9145111968004239
face,0.8,5,0.65,0.9224137931034483,0.9224957986920912
face,0.0,1,0.65,0.928082191780822,0.9279776656743557
face,0.2,1,0.75,0.9935760171306209,0.993566508535976
face,0.2,2,0.75,0.9957173447537473,0.9957075858762674
face,0.2,3,0.75,0.9914346895074947,0.9914548947035963
face,0.2,4,0.75,0.9957173447537473,0.9957175736381066
face,0.2,5,0.75,0.9957264957264957,0.9957360492014471
face,0.8,1,0.75,0.9743589743589743,0.9743411680911681
face,0.8,2,0.75,1.0,1.0
face,0.8,3,0.75,1.0,1.0
face,0.8,4,0.75,0.9914529914529915,0.9914298992313177
face,0.8,5,0.75,0.9913793103448276,0.9913689281413087
face,0.0,1,0.75,0.9948630136986302,0.9948629936157247
face,0.2,1,0.85,1.0,1.0
face,0.2,2,0.85,1.0,1.0
face,0.2,3,0.85,1.0,1.0
face,0.2,4,0.85,1.0,1.0
face,0.2,5,0.85,1.0,1.0
face,0.8,1,0.85,1.0,1.0
face,0.8,2,0.85,1.0,1.0
face,0.8,3,0.85,1.0,1.0
face,0.8,4,0.85,1.0,1.0
face,0.8,5,0.85,1.0,1.0
face,0.0,1,0.85,1.0,1.0
face,0.2,1,0.95,1.0,1.0
face,0.2,2,0.95,1.0,1.0
face,0.2,3,0.95,1.0,1.0
face,0.2,4,0.95,1.0,1.0
face,0.2,5,0.95,1.0,1.0
face,0.8,1,0.95,1.0,1.0
face,0.8,2,0.95,1.0,1.0
face,0.8,3,0.95,1.0,1.0
face,0.8,4,0.95,1.0,1.0
face,0.8,5,0.95,1.0,1.0
face,0.0,1,0.95,1.0,1.0
