task,level,fold,noise_level,accuracy,f1
waterbird,0.2,1,0.35,0.011627906976744186,0.010425020048115475
waterbird,0.2,2,0.35,0.023255813953488372,0.023255813953488372
waterbird,0.2,3,0.35,0.023255813953488372,0.023255813953488372
waterbird,0.2,4,0.35,0.011494252873563218,0.013061650992685475
waterbird,0.2,5,0.35,0.022988505747126436,0.022988505747126436
waterbird,0.8,1,0.35,0.045454545454545456,0.05138339920948616
waterbird,0.8,2,0.35,0.0,0.0
waterbird,0.8,3,0.35,0.0,0.0
waterbird,0.8,4,0.35,0.047619047619047616,0.047619047619047616
waterbird,0.8,5,0.35,0.0,0.0
waterbird,0.0,1,0.35,0.018518518518518517,0.018518518518518517
waterbird,0.2,1,0.45,0.1511627906976744,0.15288643468569862
waterbird,0.2,2,0.45,0.11627906976744186,0.11627906976744186
waterbird,0.2,3,0.45,0.1744186046511628,0.175200088054468
waterbird,0.2,4,0.45,0.13793103448275862,0.1404380427103038
waterbird,0.2,5,0.45,0.16091954022988506,0.16291603041836647
waterbird,0.8,1,0.45,0.13636363636363635,0.1274233013363448
waterbird,0.8,2,0.45,0.2727272727272727,0.2787878787878788
waterbird,0.8,3,0.45,0.045454545454545456,0.05138339920948616
waterbird,0.8,4,0.45,0.19047619047619047,0.19047619047619047
waterbird,0.8,5,0.45,0.09523809523809523,0.09523809523809523
waterbird,0.0,1,0.45,0.14814814814814814,0.1496093005526968
waterbird,0.2,1,0.55,0.45348837209302323,0.4528159722774166
waterbird,0.2,2,0.55,0.5348837209302325,0.5294573643410853
waterbird,0.2,3,0.55,0.45348837209302323,0.4528159722774166
waterbird,0.2,4,0.55,0.5057471264367817,0.5077323434948746
waterbird,0.2,5,0.55,0.5057471264367817,0.5064088654561459
waterbird,0.8,1,0.55,0.6363636363636364,0.6363636363636364
waterbird,0.8,2,0.55,0.3181818181818182,0.31112365894974586
waterbird,0.8,3,0.55,0.6363636363636364,0.6363636363636364
waterbird,0.8,4,0.55,0.42857142857142855,0.4126984126984127
waterbird,0.8,5,0.55,0.42857142857142855,0.4206349206349206
waterbird,0.0,1,0.55,0.49074074074074076,0.4901648059542797
waterbird,0.2,1,0.65,0.9883720930232558,0.9883831717423026
waterbird,0.2,2,0.65,0.9883720930232558,0.9883577866442004
waterbird,0.2,3,0.65,0.9767441860465116,0.9767441860465116
waterbird,0.2,4,0.65,0.9770114942528736,0.9770114942528736
waterbird,0.2,5,0.65,0.9770114942528736,0.9770114942528736
waterbird,0.8,1,0.65,0.9545454545454546,0.9540503069914834
waterbird,0.8,2,0.65,0.9545454545454546,0.9548325358851675
waterbird,0.8,3,0.65,1.0,1.0
waterbird,0.8,4,0.65,1.0,1.0
waterbird,0.8,5,0.65,1.0,1.0
waterbird,0.0,1,0.65,0.9814814814814815,0.9814814814814815
waterbird,0.2,1,0.75,1.0,1.0
waterbird,0.2,2,0.75,1.0,1.0
waterbird,0.2,3,0.75,1.0,1.0
waterbird,0.2,4,0.75,1.0,1.0
waterbird,0.2,5,0.75,1.0,1.0
waterbird,0.8,1,0.75,1.0,1.0
waterbird,0.8,2,0.75,1.0,1.0
waterbird,0.8,3,0.75,1.0,1.0
waterbird,0.8,4,0.75,1.0,1.0
waterbird,0.8,5,0.75,1.0,1.0
waterbird,0.0,1,0.75,1.0,1.0
waterbird,0.2,1,0.85,1.0,1.0
waterbird,0.2,2,0.85,1.0,1.0
waterbird,0.2,3,0.85,1.0,1.0
waterbird,0.2,4,0.85,1.0,1.0
waterbird,0.2,5,0.85,1.0,1.0
waterbird,0.8,1,0.85,1.0,1.0
waterbird,0.8,2,0.85,1.0,1.0
waterbird,0.8,3,0.85,1.0,1.0
waterbird,0.8,4,0.85,1.0,1.0
waterbird,0.8,5,0.85,1.0,1.0
waterbird,0.0,1,0.85,1.0,1.0
waterbird,0.2,1,0.95,1.0,1.0
waterbird,0.2,2,0.95,1.0,1.0
waterbird,0.2,3,0.95,1.0,1.0
waterbird,0.2,4,0.95,1.0,1.0
waterbird,0.2,5,0.95,1.0,1.0
waterbird,0.8,1,0.95,1.0,1.0
waterbird,0.8,2,0.95,1.0,1.0
waterbird,0.8,3,0.95,1.0,1.0
waterbird,0.8,4,0.95,1.0,1.0
waterbird,0.8,5,0.95,1.0,1.0
waterbird,0.0,1,0.95,1.0,1.0
