task,supervision_level,fold,noise_level,accuracy,f1
weather_ordinal,0.2,1,0.35,0.4538606403013183,0.4559276927717018
weather_ordinal,0.2,2,0.35,0.4350282485875706,0.43537688006538716
weather_ordinal,0.2,3,0.35,0.4369114877589454,0.43906107359587193
weather_ordinal,0.2,4,0.35,0.4463276836158192,0.44760113250729483
weather_ordinal,0.2,5,0.35,0.45112781954887216,0.4533338305682292
weather_ordinal,0.8,1,0.35,0.39097744360902253,0.3939479881782794
weather_ordinal,0.8,2,0.35,0.45864661654135336,0.46660680210031186
weather_ordinal,0.8,3,0.35,0.46616541353383456,0.4652777791284741
weather_ordinal,0.8,4,0.35,0.49624060150375937,0.4975589015163655
weather_ordinal,0.8,5,0.35,0.4393939393939394,0.43579569697831677
weather_ordinal,0.0,0,0.35,0.4503012048192771,0.4522703664003944
weather_ordinal,0.2,1,0.45,0.559322033898305,0.5593467255029979
weather_ordinal,0.2,2,0.45,0.544256120527307,0.5434846495446527
weather_ordinal,0.2,3,0.45,0.5499058380414312,0.5516902059526774
weather_ordinal,0.2,4,0.45,0.5649717514124294,0.5646602243313329
weather_ordinal,0.2,5,0.45,0.5620300751879699,0.563316167176577
weather_ordinal,0.8,1,0.45,0.5413533834586466,0.542175949562883
weather_ordinal,0.8,2,0.45,0.5714285714285714,0.5779304076224449
weather_ordinal,0.8,3,0.45,0.5413533834586466,0.5386923190328764
weather_ordinal,0.8,4,0.45,0.5413533834586466,0.5428480580046203
weather_ordinal,0.8,5,0.45,0.5151515151515151,0.513616464835977
weather_ordinal,0.0,0,0.45,0.5632530120481928,0.5638238096562377
weather_ordinal,0.2,1,0.55,0.7250470809792844,0.7253413196574107
weather_ordinal,0.2,2,0.55,0.7062146892655368,0.7062628860300967
weather_ordinal,0.2,3,0.55,0.6930320150659134,0.6940724360125973
weather_ordinal,0.2,4,0.55,0.6854990583804144,0.6861460354049183
weather_ordinal,0.2,5,0.55,0.7048872180451128,0.7057103961510623
weather_ordinal,0.8,1,0.55,0.6616541353383458,0.6604255666290499
weather_ordinal,0.8,2,0.55,0.706766917293233,0.7147879610882494
weather_ordinal,0.8,3,0.55,0.7368421052631579,0.7355876728377856
weather_ordinal,0.8,4,0.55,0.7518796992481203,0.752126950636849
weather_ordinal,0.8,5,0.55,0.7121212121212122,0.7117768595041322
weather_ordinal,0.0,0,0.55,0.6957831325301205,0.6962830470363658
weather_ordinal,0.2,1,0.65,0.8436911487758946,0.8436510509287949
weather_ordinal,0.2,2,0.65,0.8229755178907722,0.823225023801254
weather_ordinal,0.2,3,0.65,0.8097928436911488,0.8103319642848404
weather_ordinal,0.2,4,0.65,0.8229755178907722,0.8233544065613366
weather_ordinal,0.2,5,0.65,0.8214285714285714,0.8220419902894598
weather_ordinal,0.8,1,0.65,0.7819548872180451,0.7813824975973769
weather_ordinal,0.8,2,0.65,0.8195488721804511,0.8211842499330086
weather_ordinal,0.8,3,0.65,0.8421052631578947,0.8420919366832537
weather_ordinal,0.8,4,0.65,0.8345864661654135,0.8355072367591528
weather_ordinal,0.8,5,0.65,0.8257575757575758,0.8256734006734007
weather_ordinal,0.0,0,0.65,0.8132530120481928,0.8133210426505122
weather_ordinal,0.2,1,0.75,0.8907721280602636,0.890620294615107
weather_ordinal,0.2,2,0.75,0.8832391713747646,0.8830491182151979
weather_ordinal,0.2,3,0.75,0.8888888888888888,0.8887830050196565
weather_ordinal,0.2,4,0.75,0.879472693032015,0.8794620988488185
weather_ordinal,0.2,5,0.75,0.8853383458646616,0.8855488146025469
weather_ordinal,0.8,1,0.75,0.8721804511278195,0.8724296366746145
weather_ordinal,0.8,2,0.75,0.8345864661654135,0.8358088088519059
weather_ordinal,0.8,3,0.75,0.9172932330827067,0.9170191088093835
weather_ordinal,0.8,4,0.75,0.8872180451127819,0.8874148079820027
weather_ordinal,0.8,5,0.75,0.9015151515151515,0.9013446679846039
weather_ordinal,0.0,0,0.75,0.8930722891566265,0.8929390439918861
weather_ordinal,0.2,1,0.85,0.9397363465160076,0.9397428092448042
weather_ordinal,0.2,2,0.85,0.943502824858757,0.943564253676182
weather_ordinal,0.2,3,0.85,0.9472693032015066,0.9472675555315875
weather_ordinal,0.2,4,0.85,0.935969868173258,0.9359614124405341
weather_ordinal,0.2,5,0.85,0.9511278195488722,0.9512836588493141
weather_ordinal,0.8,1,0.85,0.9699248120300752,0.9699393328346301
weather_ordinal,0.8,2,0.85,0.924812030075188,0.9253424621845673
weather_ordinal,0.8,3,0.85,0.9398496240601504,0.9398496240601504
weather_ordinal,0.8,4,0.85,0.9624060150375939,0.9624381415637528
weather_ordinal,0.8,5,0.85,0.9242424242424242,0.9241020024152554
weather_ordinal,0.0,0,0.85,0.9352409638554217,0.9353132940265221
weather_ordinal,0.2,1,0.95,0.9774011299435028,0.9774099905614221
weather_ordinal,0.2,2,0.95,0.9849340866290018,0.9849371003329654
weather_ordinal,0.2,3,0.95,0.9849340866290018,0.9849567378026776
weather_ordinal,0.2,4,0.95,0.9811676082862524,0.9811738832405436
weather_ordinal,0.2,5,0.95,0.9774436090225563,0.9774837962190673
weather_ordinal,0.8,1,0.95,0.9924812030075187,0.9924799669731619
weather_ordinal,0.8,2,0.95,0.9699248120300752,0.9700192326581307
weather_ordinal,0.8,3,0.95,0.9849624060150376,0.9850346560206317
weather_ordinal,0.8,4,0.95,0.9849624060150376,0.9849492340502475
weather_ordinal,0.8,5,0.95,0.9848484848484849,0.9848484848484849
weather_ordinal,0.0,0,0.95,0.983433734939759,0.9834553124994819
