task,level,fold,accuracy,f1
adult_ordinal,0.1,1,0.7587412587412588,0.7584202496213235
adult_ordinal,0.1,2,0.7762237762237763,0.7747119535345353
adult_ordinal,0.1,3,0.7692307692307693,0.7680438458584768
adult_ordinal,0.1,4,0.7692307692307693,0.767423955848512
adult_ordinal,0.1,5,0.7587412587412588,0.7519297053201042
adult_ordinal,0.1,6,0.7622377622377622,0.752788300213677
adult_ordinal,0.1,7,0.7762237762237763,0.7713692897586564
adult_ordinal,0.1,8,0.7762237762237763,0.7810064157511232
adult_ordinal,0.1,9,0.7700348432055749,0.7656042907744552
adult_ordinal,0.1,10,0.759581881533101,0.7546117374319831
adult_ordinal,0.9,1,0.84375,0.8476033197831978
adult_ordinal,0.9,2,0.625,0.6220238095238095
adult_ordinal,0.9,3,0.78125,0.772790404040404
adult_ordinal,0.9,4,0.84375,0.8417682926829269
adult_ordinal,0.9,5,0.75,0.7542735042735043
adult_ordinal,0.9,6,0.8125,0.8219246031746031
adult_ordinal,0.9,7,0.78125,0.8004192073170731
adult_ordinal,0.9,8,0.71875,0.7087703962703963
adult_ordinal,0.9,9,0.8387096774193549,0.81743679163034
adult_ordinal,0.9,10,0.7419354838709677,0.7473162311871988
adult_ordinal,0.2,1,0.7795275590551181,0.7727667747007435
adult_ordinal,0.2,2,0.7480314960629921,0.745364288550788
adult_ordinal,0.2,3,0.7834645669291339,0.7801160433542997
adult_ordinal,0.2,4,0.7686274509803922,0.7714959554195068
adult_ordinal,0.2,5,0.7490196078431373,0.7452301740299716
adult_ordinal,0.8,1,0.6875,0.6890777625152624
adult_ordinal,0.8,2,0.765625,0.7529180866601752
adult_ordinal,0.8,3,0.734375,0.7363888888888889
adult_ordinal,0.8,4,0.8095238095238095,0.8088023088023087
adult_ordinal,0.8,5,0.8412698412698413,0.8327922889326398
adult_ordinal,0.5,1,0.7672955974842768,0.759404171050565
adult_ordinal,0.5,2,0.7610062893081762,0.762148331349446
adult_ordinal,0.0,1,0.7672955974842768,0.7620818759544805
