task,level,fold,accuracy,f1
waterbird,0.1,1,0.8865979381443299,0.8861573041209295
waterbird,0.1,2,0.8969072164948454,0.8965704587090053
waterbird,0.1,3,0.8865979381443299,0.8864510601365299
waterbird,0.1,4,0.8865979381443299,0.8864510601365299
waterbird,0.1,5,0.8865979381443299,0.8864510601365299
waterbird,0.1,6,0.9175257731958762,0.9177578435310393
waterbird,0.1,7,0.8969072164948454,0.8966630260085066
waterbird,0.1,8,0.9175257731958762,0.9169869607385323
waterbird,0.1,9,0.8877551020408163,0.8876249012733851
waterbird,0.1,10,0.8877551020408163,0.887649021595407
waterbird,0.9,1,0.9090909090909091,0.9106449106449106
waterbird,0.9,2,0.8181818181818182,0.8181818181818182
waterbird,0.9,3,1.0,1.0
waterbird,0.9,4,1.0,1.0
waterbird,0.9,5,1.0,1.0
waterbird,0.9,6,0.6363636363636364,0.6242424242424243
waterbird,0.9,7,0.8181818181818182,0.8181818181818182
waterbird,0.9,8,0.7272727272727273,0.7272727272727272
waterbird,0.9,9,1.0,1.0
waterbird,0.9,10,1.0,1.0
waterbird,0.2,1,0.872093023255814,0.8719356530862039
waterbird,0.2,2,0.9186046511627907,0.9182354351474465
waterbird,0.2,3,0.9069767441860465,0.9069767441860465
waterbird,0.2,4,0.8850574712643678,0.8850574712643678
waterbird,0.2,5,0.896551724137931,0.8959624351665209
waterbird,0.8,1,1.0,1.0
waterbird,0.8,2,0.7727272727272727,0.7741626794258373
waterbird,0.8,3,0.8181818181818182,0.8133116883116883
waterbird,0.8,4,0.9523809523809523,0.9523809523809523
waterbird,0.8,5,0.9047619047619048,0.9047619047619048
waterbird,0.5,1,0.8888888888888888,0.8884259259259258
waterbird,0.5,2,0.9074074074074074,0.9076334793111912
waterbird,0.0,1,0.8981481481481481,0.898032961190856
