task,level,fold,accuracy,f1
adult_ordinal,0.1,1,0.7272727272727273,0.6858261005471227
adult_ordinal,0.1,2,0.7482517482517482,0.709040879629115
adult_ordinal,0.1,3,0.7587412587412588,0.7260631974762538
adult_ordinal,0.1,4,0.7587412587412588,0.7248040017598861
adult_ordinal,0.1,5,0.7517482517482518,0.7163127607375834
adult_ordinal,0.1,6,0.7447552447552448,0.7039785114902485
adult_ordinal,0.1,7,0.7517482517482518,0.7146933027399678
adult_ordinal,0.1,8,0.7517482517482518,0.7176396852284613
adult_ordinal,0.1,9,0.7560975609756098,0.7167970904059157
adult_ordinal,0.1,10,0.7456445993031359,0.705800421916921
adult_ordinal,0.9,1,0.8125,0.7392676767676767
adult_ordinal,0.9,2,0.6875,0.6411401098901099
adult_ordinal,0.9,3,0.75,0.6989364801864802
adult_ordinal,0.9,4,0.6875,0.6423611111111112
adult_ordinal,0.9,5,0.75,0.6943910256410257
adult_ordinal,0.9,6,0.75,0.7383986928104574
adult_ordinal,0.9,7,0.75,0.7317708333333334
adult_ordinal,0.9,8,0.8125,0.7695009689922481
adult_ordinal,0.9,9,0.7096774193548387,0.6870967741935483
adult_ordinal,0.9,10,0.8064516129032258,0.7705842544552222
adult_ordinal,0.2,1,0.7598425196850394,0.7212186738004908
adult_ordinal,0.2,2,0.7401574803149606,0.6947919667755796
adult_ordinal,0.2,3,0.7637795275590551,0.7309380520090192
adult_ordinal,0.2,4,0.7411764705882353,0.7060133670602441
adult_ordinal,0.2,5,0.7450980392156863,0.7138671485538287
adult_ordinal,0.8,1,0.734375,0.7075794912559619
adult_ordinal,0.8,2,0.75,0.7074302306149733
adult_ordinal,0.8,3,0.71875,0.682735106237617
adult_ordinal,0.8,4,0.7619047619047619,0.7005104164012671
adult_ordinal,0.8,5,0.7936507936507936,0.7559125989577119
adult_ordinal,0.5,1,0.7421383647798742,0.7010684277824326
adult_ordinal,0.5,2,0.7610062893081762,0.7321423709563871
adult_ordinal,0.0,1,0.7452830188679245,0.7053456185331957
