task,level,fold,accuracy,f1
face,0.1,1,0.6285714285714286,0.6091602482641479
face,0.1,2,0.6361904761904762,0.6182841339288411
face,0.1,3,0.6361904761904762,0.6160603973476649
face,0.1,4,0.6266666666666667,0.6061484779822309
face,0.1,5,0.6406844106463878,0.6226141408799055
face,0.1,6,0.6482889733840305,0.6288790549107094
face,0.1,7,0.6311787072243346,0.6103056837232217
face,0.1,8,0.6368821292775665,0.6163069249595735
face,0.1,9,0.6311787072243346,0.6115422890820461
face,0.1,10,0.6501901140684411,0.6352533840189923
face,0.9,1,0.711864406779661,0.7050510475408195
face,0.9,2,0.6440677966101694,0.6295070132505196
face,0.9,3,0.6440677966101694,0.6157495891771325
face,0.9,4,0.6949152542372882,0.6797524094383516
face,0.9,5,0.5862068965517241,0.5583317544524441
face,0.9,6,0.5344827586206896,0.5329258447699228
face,0.9,7,0.7241379310344828,0.7177711286604209
face,0.9,8,0.603448275862069,0.567707910750507
face,0.9,9,0.6896551724137931,0.6591355162754757
face,0.9,10,0.5344827586206896,0.5013061650992685
face,0.2,1,0.6509635974304069,0.6374048224346623
face,0.2,2,0.6274089935760171,0.6073940434700352
face,0.2,3,0.6338329764453962,0.6142046986615897
face,0.2,4,0.6274089935760171,0.6024414679354934
face,0.2,5,0.6474358974358975,0.63031032112068
face,0.8,1,0.5982905982905983,0.5634892033004607
face,0.8,2,0.6410256410256411,0.6173615472739378
face,0.8,3,0.6581196581196581,0.6437580581548786
face,0.8,4,0.6581196581196581,0.6465195991418151
face,0.8,5,0.5948275862068966,0.5741138379801359
face,0.5,1,0.6335616438356164,0.6085468226727263
face,0.5,2,0.636986301369863,0.6228561830924302
face,0.0,1,0.6404109589041096,0.6230839189630759
