task,level,fold,accuracy,f1
waterbird,0.1,1,0.7628865979381443,0.753222743670934
waterbird,0.1,2,0.7835051546391752,0.7751259885184884
waterbird,0.1,3,0.7525773195876289,0.7427187200721086
waterbird,0.1,4,0.7525773195876289,0.7427187200721086
waterbird,0.1,5,0.7422680412371134,0.7307581976647414
waterbird,0.1,6,0.7731958762886598,0.7647299159104946
waterbird,0.1,7,0.7731958762886598,0.7649716727036316
waterbird,0.1,8,0.7628865979381443,0.7498006872852233
waterbird,0.1,9,0.7448979591836735,0.7342438478899747
waterbird,0.1,10,0.7448979591836735,0.735199865069995
waterbird,0.9,1,0.7272727272727273,0.7168831168831169
waterbird,0.9,2,0.5454545454545454,0.5221445221445221
waterbird,0.9,3,0.8181818181818182,0.8084415584415584
waterbird,0.9,4,0.8181818181818182,0.8084415584415584
waterbird,0.9,5,0.9090909090909091,0.9075369075369075
waterbird,0.9,6,0.6363636363636364,0.6242424242424243
waterbird,0.9,7,0.6363636363636364,0.5984848484848485
waterbird,0.9,8,0.7272727272727273,0.7272727272727272
waterbird,0.9,9,0.9,0.8967032967032967
waterbird,0.9,10,0.9,0.8933333333333333
waterbird,0.2,1,0.7325581395348837,0.7220604216474679
waterbird,0.2,2,0.7674418604651163,0.7543476778285481
waterbird,0.2,3,0.7674418604651163,0.7594638796920499
waterbird,0.2,4,0.7701149425287356,0.7626044932079414
waterbird,0.2,5,0.7586206896551724,0.7478512995754376
waterbird,0.8,1,0.8636363636363636,0.8570532915360501
waterbird,0.8,2,0.7272727272727273,0.7272727272727273
waterbird,0.8,3,0.7272727272727273,0.7064935064935066
waterbird,0.8,4,0.7142857142857143,0.6936813186813188
waterbird,0.8,5,0.7619047619047619,0.7551820728291316
waterbird,0.5,1,0.7777777777777778,0.77008177008177
waterbird,0.5,2,0.7407407407407407,0.7282651072124757
waterbird,0.0,1,0.7592592592592593,0.7493464052287583
