task,supervision_amt,accuracy,f1
waterbird,0.0,0.8981481481481481,0.898032961190856
waterbird,0.1,0.8981481481481481,0.898032961190856
waterbird,0.2,0.8981481481481481,0.898032961190856
temporal,0.0,0.9437229437229437,0.9492187500000001
temporal,0.1,0.9437229437229437,0.9438029797366873
temporal,0.2,0.9458874458874459,0.9459282933064593
movie,0.0,0.944,0.9450980392156862
movie,0.1,0.952,0.9519892395638181
movie,0.2,0.956,0.955983086680761
face,0.0,0.6472602739726028,0.634594107897159
face,0.1,0.6883561643835616,0.6805050757303803
face,0.2,0.7311643835616438,0.7261870492963277
dog,0.0,0.8451053283767038,0.8435150836511307
dog,0.1,0.8574969021065675,0.8564626223114513
dog,0.2,0.8810408921933085,0.8806686157999409
