task,level,fold,noise_level,accuracy,f1
adult_ordinal,0.2,1,0.35,0.9606299212598425,0.960870613100738
adult_ordinal,0.2,2,0.35,0.9645669291338582,0.964974739827102
adult_ordinal,0.2,3,0.35,0.9606299212598425,0.9609705149061003
adult_ordinal,0.2,4,0.35,0.9568627450980393,0.9571894472537275
adult_ordinal,0.2,5,0.35,0.9686274509803922,0.9688146683420262
adult_ordinal,0.8,1,0.35,0.96875,0.9688873881031834
adult_ordinal,0.8,2,0.35,0.9375,0.9364583333333333
adult_ordinal,0.8,3,0.35,0.953125,0.9518229166666666
adult_ordinal,0.8,4,0.35,0.9841269841269841,0.9843178573337302
adult_ordinal,0.8,5,0.35,0.9523809523809523,0.9530755964357576
adult_ordinal,0.0,1,0.35,0.9622641509433962,0.9625499574226902
adult_ordinal,0.2,1,0.45,0.9724409448818898,0.972508986083294
adult_ordinal,0.2,2,0.45,0.9763779527559056,0.9764470826236896
adult_ordinal,0.2,3,0.45,0.9763779527559056,0.9765321637648152
adult_ordinal,0.2,4,0.45,0.9725490196078431,0.972506183347828
adult_ordinal,0.2,5,0.45,0.9764705882352941,0.9764830787167801
adult_ordinal,0.8,1,0.45,0.96875,0.9688873881031834
adult_ordinal,0.8,2,0.45,0.96875,0.968338034514505
adult_ordinal,0.8,3,0.45,0.96875,0.9688375350140056
adult_ordinal,0.8,4,0.45,0.9841269841269841,0.9847454133168418
adult_ordinal,0.8,5,0.45,0.9682539682539683,0.9679864092638136
adult_ordinal,0.0,1,0.45,0.9748427672955975,0.9748763177582583
adult_ordinal,0.2,1,0.55,0.984251968503937,0.9843652778448001
adult_ordinal,0.2,2,0.55,0.9881889763779528,0.9882527205454065
adult_ordinal,0.2,3,0.55,0.984251968503937,0.984341260094818
adult_ordinal,0.2,4,0.55,0.984313725490196,0.9844037526318732
adult_ordinal,0.2,5,0.55,0.9882352941176471,0.9883082432021183
adult_ordinal,0.8,1,0.55,1.0,1.0
adult_ordinal,0.8,2,0.55,0.96875,0.9691269354392756
adult_ordinal,0.8,3,0.55,0.984375,0.9847916666666666
adult_ordinal,0.8,4,0.55,1.0,1.0
adult_ordinal,0.8,5,0.55,0.9682539682539683,0.9679864092638136
adult_ordinal,0.0,1,0.55,0.9874213836477987,0.9874841969439652
adult_ordinal,0.2,1,0.65,0.9803149606299213,0.9804313473932786
adult_ordinal,0.2,2,0.65,0.9881889763779528,0.9883024320235833
adult_ordinal,0.2,3,0.65,0.9803149606299213,0.980425205599005
adult_ordinal,0.2,4,0.65,0.984313725490196,0.9844553106543916
adult_ordinal,0.2,5,0.65,0.984313725490196,0.9843485162275069
adult_ordinal,0.8,1,0.65,1.0,1.0
adult_ordinal,0.8,2,0.65,0.953125,0.9541812832653627
adult_ordinal,0.8,3,0.65,1.0,1.0
adult_ordinal,0.8,4,0.65,0.9841269841269841,0.9844200244200245
adult_ordinal,0.8,5,0.65,0.9841269841269841,0.9843633304026395
adult_ordinal,0.0,1,0.65,0.9842767295597484,0.9843479857893764
adult_ordinal,0.2,1,0.75,0.9960629921259843,0.9960785017983057
adult_ordinal,0.2,2,0.75,0.9960629921259843,0.996076665084893
adult_ordinal,0.2,3,0.75,0.9960629921259843,0.9960780156879373
adult_ordinal,0.2,4,0.75,1.0,1.0
adult_ordinal,0.2,5,0.75,0.996078431372549,0.9960896337205613
adult_ordinal,0.8,1,0.75,1.0,1.0
adult_ordinal,0.8,2,0.75,1.0,1.0
adult_ordinal,0.8,3,0.75,1.0,1.0
adult_ordinal,0.8,4,0.75,0.9841269841269841,0.9844200244200245
adult_ordinal,0.8,5,0.75,1.0,1.0
adult_ordinal,0.0,1,0.75,0.9968553459119497,0.996863968151909
adult_ordinal,0.2,1,0.85,1.0,1.0
adult_ordinal,0.2,2,0.85,0.9960629921259843,0.9960778594190398
adult_ordinal,0.2,3,0.85,0.9960629921259843,0.9960778594190398
adult_ordinal,0.2,4,0.85,0.996078431372549,0.9960941844024727
adult_ordinal,0.2,5,0.85,0.996078431372549,0.9960932863562857
adult_ordinal,0.8,1,0.85,0.984375,0.9846230158730158
adult_ordinal,0.8,2,0.85,1.0,1.0
adult_ordinal,0.8,3,0.85,1.0,1.0
adult_ordinal,0.8,4,0.85,1.0,1.0
adult_ordinal,0.8,5,0.85,1.0,1.0
adult_ordinal,0.0,1,0.85,0.9968553459119497,0.9968649760406948
adult_ordinal,0.2,1,0.95,1.0,1.0
adult_ordinal,0.2,2,0.95,1.0,1.0
adult_ordinal,0.2,3,0.95,1.0,1.0
adult_ordinal,0.2,4,0.95,1.0,1.0
adult_ordinal,0.2,5,0.95,1.0,1.0
adult_ordinal,0.8,1,0.95,1.0,1.0
adult_ordinal,0.8,2,0.95,1.0,1.0
adult_ordinal,0.8,3,0.95,1.0,1.0
adult_ordinal,0.8,4,0.95,1.0,1.0
adult_ordinal,0.8,5,0.95,1.0,1.0
adult_ordinal,0.0,1,0.95,1.0,1.0
