task,level,fold,noise_level,accuracy,f1
face,0.2,1,0.35,0.5582191780821918,0.5582790141084876
face,0.2,2,0.35,0.5804794520547946,0.5805291955610995
face,0.2,3,0.35,0.5924657534246576,0.5921298161025184
face,0.2,4,0.35,0.5547945205479452,0.5547311574627879
face,0.2,5,0.35,0.5513698630136986,0.5514979741650872
face,0.8,1,0.35,0.8921232876712328,0.8922342518409623
face,0.8,2,0.35,0.8972602739726028,0.8973235830615791
face,0.8,3,0.35,0.875,0.8750538433697128
face,0.8,4,0.35,0.9006849315068494,0.900895963272812
face,0.8,5,0.35,0.9041095890410958,0.9040754348907329
face,0.0,1,0.35,0.4571917808219178,0.4569843293853306
face,0.2,1,0.45,0.7876712328767124,0.7875327462843761
face,0.2,2,0.45,0.7671232876712328,0.7670816105584768
face,0.2,3,0.45,0.7876712328767124,0.7874973290102887
face,0.2,4,0.45,0.7773972602739726,0.7771871601013625
face,0.2,5,0.45,0.7808219178082192,0.7804843664086621
face,0.8,1,0.45,0.9486301369863014,0.9486036674625145
face,0.8,2,0.45,0.9571917808219178,0.957134103204912
face,0.8,3,0.45,0.934931506849315,0.9349177504124072
face,0.8,4,0.45,0.9452054794520548,0.9452039987458095
face,0.8,5,0.45,0.9503424657534246,0.9502766614246608
face,0.0,1,0.45,0.7157534246575342,0.7155522609028803
face,0.2,1,0.55,0.8938356164383562,0.8937407134775555
face,0.2,2,0.55,0.8818493150684932,0.8818295189299582
face,0.2,3,0.55,0.9023972602739726,0.902229015326505
face,0.2,4,0.55,0.8784246575342466,0.8784067532775499
face,0.2,5,0.55,0.8921232876712328,0.892163884844625
face,0.8,1,0.55,0.9726027397260274,0.9725983559046018
face,0.8,2,0.55,0.9811643835616438,0.9811520923910424
face,0.8,3,0.55,0.9606164383561644,0.960514485954799
face,0.8,4,0.55,0.9777397260273972,0.977733398250148
face,0.8,5,0.55,0.9743150684931506,0.9743083464383481
face,0.0,1,0.55,0.8647260273972602,0.8646185312024353
face,0.2,1,0.65,0.940068493150685,0.9400513160740572
face,0.2,2,0.65,0.952054794520548,0.9519738544187251
face,0.2,3,0.65,0.9503424657534246,0.9503679124379948
face,0.2,4,0.65,0.9554794520547946,0.9554776527203667
face,0.2,5,0.65,0.9486301369863014,0.9486373860712372
face,0.8,1,0.65,0.9965753424657534,0.9965811066694719
face,0.8,2,0.65,0.9845890410958904,0.9845830965558781
face,0.8,3,0.65,0.9863013698630136,0.9862652762742453
face,0.8,4,0.65,0.9794520547945206,0.979456757419867
face,0.8,5,0.65,0.988013698630137,0.9880194825069056
face,0.0,1,0.65,0.9366438356164384,0.9366299995770806
face,0.2,1,0.75,0.9948630136986302,0.9948570486602041
face,0.2,2,0.75,0.9931506849315068,0.9931447805573054
face,0.2,3,0.75,0.9931506849315068,0.9931447805573054
face,0.2,4,0.75,0.9965753424657534,0.996575322382848
face,0.2,5,0.75,0.9948630136986302,0.9948629936157247
face,0.8,1,0.75,0.9982876712328768,0.9982876511499713
face,0.8,2,0.75,1.0,1.0
face,0.8,3,0.75,1.0,1.0
face,0.8,4,0.75,0.9965753424657534,0.9965753022999425
face,0.8,5,0.75,0.9982876712328768,0.9982876511499713
face,0.0,1,0.75,0.9931506849315068,0.9931447805573054
face,0.2,1,0.85,1.0,1.0
face,0.2,2,0.85,1.0,1.0
face,0.2,3,0.85,1.0,1.0
face,0.2,4,0.85,1.0,1.0
face,0.2,5,0.85,1.0,1.0
face,0.8,1,0.85,1.0,1.0
face,0.8,2,0.85,1.0,1.0
face,0.8,3,0.85,1.0,1.0
face,0.8,4,0.85,1.0,1.0
face,0.8,5,0.85,1.0,1.0
face,0.0,1,0.85,1.0,1.0
face,0.2,1,0.95,1.0,1.0
face,0.2,2,0.95,1.0,1.0
face,0.2,3,0.95,1.0,1.0
face,0.2,4,0.95,1.0,1.0
face,0.2,5,0.95,1.0,1.0
face,0.8,1,0.95,1.0,1.0
face,0.8,2,0.95,1.0,1.0
face,0.8,3,0.95,1.0,1.0
face,0.8,4,0.95,1.0,1.0
face,0.8,5,0.95,1.0,1.0
face,0.0,1,0.95,1.0,1.0
face,0.2,1,0.35,0.4475374732334047,0.4476859721951072
face,0.2,2,0.35,0.4753747323340471,0.4753514937206292
face,0.2,3,0.35,0.49036402569593146,0.4899274005431296
face,0.2,4,0.35,0.44325481798715205,0.4434983629631199
face,0.2,5,0.35,0.4423076923076923,0.442528927321186
face,0.8,1,0.35,0.46153846153846156,0.4643646363951814
face,0.8,2,0.35,0.48717948717948717,0.4875896183588491
face,0.8,3,0.35,0.37606837606837606,0.37530863956883265
face,0.8,4,0.35,0.5042735042735043,0.5089970863726518
