task,level,fold,noise_level,accuracy,f1
waterbird,0.2,1,0.35,0.011627906976744186,0.012563485699010963
waterbird,0.2,2,0.35,0.0,0.0
waterbird,0.2,3,0.35,0.011627906976744186,0.010425020048115475
waterbird,0.2,4,0.35,0.011494252873563218,0.013061650992685475
waterbird,0.2,5,0.35,0.011494252873563218,0.00992685475444096
waterbird,0.8,1,0.35,0.45454545454545453,0.459090909090909
waterbird,0.8,2,0.35,0.5454545454545454,0.5454545454545455
waterbird,0.8,3,0.35,0.5,0.5031055900621119
waterbird,0.8,4,0.35,0.5714285714285714,0.5512605042016807
waterbird,0.8,5,0.35,0.3333333333333333,0.3333333333333333
waterbird,0.0,1,0.35,0.009259259259259259,0.00815494393476045
waterbird,0.2,1,0.45,0.011627906976744186,0.012563485699010963
waterbird,0.2,2,0.45,0.0,0.0
waterbird,0.2,3,0.45,0.023255813953488372,0.024841437632135307
waterbird,0.2,4,0.45,0.011494252873563218,0.013061650992685475
waterbird,0.2,5,0.45,0.022988505747126436,0.02531318610357742
waterbird,0.8,1,0.45,0.9090909090909091,0.9090909090909091
waterbird,0.8,2,0.45,0.8181818181818182,0.8181818181818182
waterbird,0.8,3,0.45,0.5909090909090909,0.5934928229665072
waterbird,0.8,4,0.45,0.7142857142857143,0.7103174603174603
waterbird,0.8,5,0.45,0.9047619047619048,0.9047619047619048
waterbird,0.0,1,0.45,0.009259259259259259,0.010193679918450561
waterbird,0.2,1,0.55,0.8953488372093024,0.8955618025385469
waterbird,0.2,2,0.55,0.9186046511627907,0.9185045065094025
waterbird,0.2,3,0.55,0.8953488372093024,0.895448545680724
waterbird,0.2,4,0.55,0.896551724137931,0.8971030807048175
waterbird,0.2,5,0.55,0.9425287356321839,0.9424358527806802
waterbird,0.8,1,0.55,0.9090909090909091,0.9090909090909091
waterbird,0.8,2,0.55,0.9545454545454546,0.9548325358851675
waterbird,0.8,3,0.55,0.9545454545454546,0.9548325358851675
waterbird,0.8,4,0.55,0.9047619047619048,0.9043290043290044
waterbird,0.8,5,0.55,0.8571428571428571,0.8571428571428571
waterbird,0.0,1,0.55,0.10185185185185185,0.10455270116753061
waterbird,0.2,1,0.65,1.0,1.0
waterbird,0.2,2,0.65,1.0,1.0
waterbird,0.2,3,0.65,1.0,1.0
waterbird,0.2,4,0.65,1.0,1.0
waterbird,0.2,5,0.65,1.0,1.0
waterbird,0.8,1,0.65,1.0,1.0
waterbird,0.8,2,0.65,1.0,1.0
waterbird,0.8,3,0.65,1.0,1.0
waterbird,0.8,4,0.65,1.0,1.0
waterbird,0.8,5,0.65,1.0,1.0
waterbird,0.0,1,0.65,1.0,1.0
waterbird,0.2,1,0.75,1.0,1.0
waterbird,0.2,2,0.75,1.0,1.0
waterbird,0.2,3,0.75,1.0,1.0
waterbird,0.2,4,0.75,1.0,1.0
waterbird,0.2,5,0.75,1.0,1.0
waterbird,0.8,1,0.75,1.0,1.0
waterbird,0.8,2,0.75,1.0,1.0
waterbird,0.8,3,0.75,1.0,1.0
waterbird,0.8,4,0.75,1.0,1.0
waterbird,0.8,5,0.75,1.0,1.0
waterbird,0.0,1,0.75,1.0,1.0
waterbird,0.2,1,0.85,1.0,1.0
waterbird,0.2,2,0.85,1.0,1.0
waterbird,0.2,3,0.85,1.0,1.0
waterbird,0.2,4,0.85,1.0,1.0
waterbird,0.2,5,0.85,1.0,1.0
waterbird,0.8,1,0.85,1.0,1.0
waterbird,0.8,2,0.85,1.0,1.0
waterbird,0.8,3,0.85,1.0,1.0
waterbird,0.8,4,0.85,1.0,1.0
waterbird,0.8,5,0.85,1.0,1.0
waterbird,0.0,1,0.85,1.0,1.0
waterbird,0.2,1,0.95,1.0,1.0
waterbird,0.2,2,0.95,1.0,1.0
waterbird,0.2,3,0.95,1.0,1.0
waterbird,0.2,4,0.95,1.0,1.0
waterbird,0.2,5,0.95,1.0,1.0
waterbird,0.8,1,0.95,1.0,1.0
waterbird,0.8,2,0.95,1.0,1.0
waterbird,0.8,3,0.95,1.0,1.0
waterbird,0.8,4,0.95,1.0,1.0
waterbird,0.8,5,0.95,1.0,1.0
waterbird,0.0,1,0.95,1.0,1.0
