task,level,fold,accuracy,f1
adult_ordinal,0.0,1,0.7610062893081762,0.7321142379123373
adult_ordinal,0.1,1,0.7517482517482518,0.7252322011700564
adult_ordinal,0.1,2,0.7727272727272727,0.7467170492391173
adult_ordinal,0.1,3,0.7692307692307693,0.7425965227291677
adult_ordinal,0.1,4,0.7622377622377622,0.734006256294454
adult_ordinal,0.1,5,0.7552447552447552,0.7279579308802585
adult_ordinal,0.1,6,0.7587412587412588,0.7228572244177193
adult_ordinal,0.1,7,0.7552447552447552,0.7218002905004026
adult_ordinal,0.1,8,0.7552447552447552,0.7283953909918909
adult_ordinal,0.1,9,0.7665505226480837,0.7362390124850358
adult_ordinal,0.1,10,0.7491289198606271,0.7155752105757551
adult_ordinal,0.9,1,0.8125,0.7430555555555556
adult_ordinal,0.9,2,0.65625,0.617595818815331
adult_ordinal,0.9,3,0.78125,0.740953947368421
adult_ordinal,0.9,4,0.75,0.7286120129870128
adult_ordinal,0.9,5,0.78125,0.7166132478632479
adult_ordinal,0.9,6,0.78125,0.7824463118580766
adult_ordinal,0.9,7,0.71875,0.7005208333333334
adult_ordinal,0.9,8,0.8125,0.7695009689922481
adult_ordinal,0.9,9,0.8387096774193549,0.8387096774193549
adult_ordinal,0.9,10,0.8064516129032258,0.7902282588190908
adult_ordinal,0.2,1,0.7677165354330708,0.7347700410559078
adult_ordinal,0.2,2,0.7637795275590551,0.7356511469921374
adult_ordinal,0.2,3,0.7716535433070866,0.742233612113189
adult_ordinal,0.2,4,0.7647058823529411,0.7369876985961488
adult_ordinal,0.2,5,0.7450980392156863,0.716808469057062
adult_ordinal,0.8,1,0.734375,0.7193650911823931
adult_ordinal,0.8,2,0.75,0.7097503063725491
adult_ordinal,0.8,3,0.71875,0.6908318014705883
adult_ordinal,0.8,4,0.7936507936507936,0.7464799253034547
adult_ordinal,0.8,5,0.8253968253968254,0.8009783494881783
adult_ordinal,0.5,1,1.0,1.0
adult_ordinal,0.5,2,1.0,1.0
