task,level,fold,accuracy,f1
face,0.0,1,0.6438356164383562,0.6246836564684974
face,0.1,1,0.638095238095238,0.6181565943935823
face,0.1,2,0.6457142857142857,0.6259076866968157
face,0.1,3,0.6476190476190476,0.6314366365285419
face,0.1,4,0.64,0.6216454435191977
face,0.1,5,0.655893536121673,0.6385782999357282
face,0.1,6,0.6653992395437263,0.6477247703173751
face,0.1,7,0.6406844106463878,0.621600056984582
face,0.1,8,0.6501901140684411,0.6335596247697494
face,0.1,9,0.6463878326996197,0.6291095277124581
face,0.1,10,0.6634980988593155,0.6499602234522021
face,0.9,1,0.7288135593220338,0.7277282188522153
face,0.9,2,0.6779661016949152,0.6709406412796243
face,0.9,3,0.6271186440677966,0.6001751267935324
face,0.9,4,0.7627118644067796,0.7473832470841444
face,0.9,5,0.603448275862069,0.5909630719870418
face,0.9,6,0.5517241379310345,0.5415882967607106
face,0.9,7,0.7413793103448276,0.7329530723360125
face,0.9,8,0.6724137931034483,0.6553414469235971
face,0.9,9,0.7413793103448276,0.7348127523539818
face,0.9,10,0.5172413793103449,0.49690734918709173
face,0.2,1,0.6659528907922913,0.6535491185617942
face,0.2,2,0.6531049250535332,0.6354965012883628
face,0.2,3,0.6466809421841542,0.6287890153866103
face,0.2,4,0.6445396145610278,0.6232232000192635
face,0.2,5,0.6623931623931624,0.6475348946880222
face,0.8,1,0.6239316239316239,0.5974848405638467
face,0.8,2,0.6752136752136753,0.6644326542955047
face,0.8,3,0.6923076923076923,0.6814033170555197
face,0.8,4,0.6923076923076923,0.6868516153437669
face,0.8,5,0.6379310344827587,0.6180794044407015
face,0.5,1,1.0,1.0
face,0.5,2,1.0,1.0
