task,level,fold,accuracy,f1
waterbird,0.0,1,0.8611111111111112,0.859476835058539
waterbird,0.1,1,0.845360824742268,0.8434685940387974
waterbird,0.1,2,0.8762886597938144,0.8753662506782419
waterbird,0.1,3,0.865979381443299,0.8653684115117478
waterbird,0.1,4,0.845360824742268,0.843216131722733
waterbird,0.1,5,0.845360824742268,0.843216131722733
waterbird,0.1,6,0.8969072164948454,0.8969072164948454
waterbird,0.1,7,0.8762886597938144,0.8755924487883252
waterbird,0.1,8,0.8865979381443299,0.8850251632633377
waterbird,0.1,9,0.8571428571428571,0.8562925170068028
waterbird,0.1,10,0.8469387755102041,0.8452252209125466
waterbird,0.9,1,0.9090909090909091,0.9106449106449106
waterbird,0.9,2,0.7272727272727273,0.7272727272727272
waterbird,0.9,3,0.9090909090909091,0.9075369075369075
waterbird,0.9,4,1.0,1.0
waterbird,0.9,5,1.0,1.0
waterbird,0.9,6,0.6363636363636364,0.6242424242424243
waterbird,0.9,7,0.8181818181818182,0.8181818181818182
waterbird,0.9,8,0.7272727272727273,0.7272727272727272
waterbird,0.9,9,1.0,1.0
waterbird,0.9,10,1.0,1.0
waterbird,0.2,1,0.8255813953488372,0.8230275041916246
waterbird,0.2,2,0.9069767441860465,0.905891472868217
waterbird,0.2,3,0.8837209302325582,0.8834021827825378
waterbird,0.2,4,0.8620689655172413,0.8615055217489297
waterbird,0.2,5,0.8735632183908046,0.8728429763146365
waterbird,0.8,1,1.0,1.0
waterbird,0.8,2,0.7727272727272727,0.7741626794258373
waterbird,0.8,3,0.8181818181818182,0.8133116883116883
waterbird,0.8,4,0.9047619047619048,0.9043290043290044
waterbird,0.8,5,0.8571428571428571,0.8564890487087284
waterbird,0.5,1,1.0,1.0
waterbird,0.5,2,1.0,1.0
