task,supervision_amt,accuracy,f1
face,0.0,0.6438356164383562,0.6246836564684974
face,0.1,0.613013698630137,0.5985939057709098
face,0.2,0.5873287671232876,0.5793217479029846
dog,0.0,0.8302354399008675,0.8288854350764253
dog,0.1,0.8500619578686494,0.8492531320513826
dog,0.2,0.8736059479553904,0.873187533702113
temporal,0.0,0.9415584415584416,0.9339853300733497
temporal,0.1,0.9004329004329005,0.8872549019607844
temporal,0.2,0.8463203463203464,0.8272506082725062
movie,0.0,0.946,0.9469548133595286
movie,0.1,0.91,0.9149338374291115
movie,0.2,0.89,0.8983364140480592
