task,level,fold,accuracy,f1
adult_ordinal,0.0,1,0.7610062893081762,0.7321142379123373
adult_ordinal,0.1,1,0.7692307692307693,0.7395553770553771
adult_ordinal,0.1,2,0.7552447552447552,0.7269204356718759
adult_ordinal,0.1,3,0.7587412587412588,0.7277278383801052
adult_ordinal,0.1,4,0.7622377622377622,0.7342726769683126
adult_ordinal,0.1,5,0.7552447552447552,0.7237659495724013
adult_ordinal,0.1,6,0.7622377622377622,0.7325289537773267
adult_ordinal,0.1,7,0.7692307692307693,0.7418440447259592
adult_ordinal,0.1,8,0.7552447552447552,0.7245758340722623
adult_ordinal,0.1,9,0.7560975609756098,0.7261411493841243
adult_ordinal,0.1,10,0.7630662020905923,0.737405434320495
adult_ordinal,0.9,1,0.71875,0.6696745801033592
adult_ordinal,0.9,2,0.84375,0.8286849222447599
adult_ordinal,0.9,3,0.8125,0.7979132059800664
adult_ordinal,0.9,4,0.71875,0.6867694805194805
adult_ordinal,0.9,5,0.75,0.742376775271512
adult_ordinal,0.9,6,0.78125,0.7559343434343435
adult_ordinal,0.9,7,0.75,0.7190753690753691
adult_ordinal,0.9,8,0.78125,0.7503348214285713
adult_ordinal,0.9,9,0.8387096774193549,0.8282070517629408
adult_ordinal,0.9,10,0.6774193548387096,0.6215578284815105
adult_ordinal,0.2,1,0.7440944881889764,0.7170979897057752
adult_ordinal,0.2,2,0.7519685039370079,0.7162455382482125
adult_ordinal,0.2,3,0.7677165354330708,0.7361259677743773
adult_ordinal,0.2,4,0.7490196078431373,0.7191167209790587
adult_ordinal,0.2,5,0.788235294117647,0.7626488643628743
adult_ordinal,0.8,1,0.828125,0.7986986461251169
adult_ordinal,0.8,2,0.796875,0.7805017672544847
adult_ordinal,0.8,3,0.71875,0.6924479166666667
adult_ordinal,0.8,4,0.8412698412698413,0.8277833277833279
adult_ordinal,0.8,5,0.6507936507936508,0.5993609565038136
adult_ordinal,0.5,1,0.7672955974842768,0.7450587386356153
adult_ordinal,0.5,2,0.7421383647798742,0.7093145215248011
