task,level,fold,accuracy,f1
dog,0.0,1,0.8302354399008675,0.8288854350764253
dog,0.1,1,0.8278236914600551,0.8261748890313687
dog,0.1,2,0.8305785123966942,0.8294579930040815
dog,0.1,3,0.8292011019283747,0.8281477552569373
dog,0.1,4,0.8236914600550964,0.8220299514810703
dog,0.1,5,0.8305785123966942,0.8293377224170558
dog,0.1,6,0.8292011019283747,0.8280775149165698
dog,0.1,7,0.8264462809917356,0.8253357063447135
dog,0.1,8,0.8335625859697386,0.8325085518881878
dog,0.1,9,0.8308115543328748,0.8295352085965008
dog,0.1,10,0.8418156808803301,0.8404719501206586
dog,0.9,1,0.8395061728395061,0.8397555804963213
dog,0.9,2,0.8271604938271605,0.8246913580246913
dog,0.9,3,0.8641975308641975,0.8636437826493976
dog,0.9,4,0.9012345679012346,0.9011934156378602
dog,0.9,5,0.8024691358024691,0.8013958268003498
dog,0.9,6,0.8888888888888888,0.8884190744655861
dog,0.9,7,0.8765432098765432,0.8756394637531589
dog,0.9,8,0.8375,0.8370851114272166
dog,0.9,9,0.825,0.8249927920655058
dog,0.9,10,0.725,0.7259720515742194
dog,0.2,1,0.8403100775193798,0.8391231478755765
dog,0.2,2,0.8263565891472868,0.8250600283287116
dog,0.2,3,0.8390092879256966,0.8377933248776387
dog,0.2,4,0.8343653250773994,0.8334703713859627
dog,0.2,5,0.8188854489164087,0.8173990676988907
dog,0.8,1,0.8209876543209876,0.8203588358300031
dog,0.8,2,0.8518518518518519,0.8513468013468013
dog,0.8,3,0.8136645962732919,0.8125719486879419
dog,0.8,4,0.8322981366459627,0.8299812115817157
dog,0.8,5,0.8757763975155279,0.8755704813570997
dog,0.5,1,0.8168316831683168,0.8159872885901694
dog,0.5,2,0.8486352357320099,0.8482222059726975
