task,level,fold,accuracy,f1
face,0.0,1,0.6438356164383562,0.6246836564684974
face,0.1,1,0.6457142857142857,0.6292867825293446
face,0.1,2,0.6514285714285715,0.633023057089958
face,0.1,3,0.6552380952380953,0.6401280746089552
face,0.1,4,0.6552380952380953,0.63987179014138
face,0.1,5,0.6425855513307985,0.6248072520039756
face,0.1,6,0.6425855513307985,0.6230373016431847
face,0.1,7,0.6539923954372624,0.6358440304759712
face,0.1,8,0.6482889733840305,0.6292382959235668
face,0.1,9,0.6539923954372624,0.6337921137909086
face,0.1,10,0.6463878326996197,0.6279252462281796
face,0.9,1,0.6779661016949152,0.6513912845148323
face,0.9,2,0.6610169491525424,0.6499417092637432
face,0.9,3,0.6101694915254238,0.5893016439403594
face,0.9,4,0.6440677966101694,0.6174707878250485
face,0.9,5,0.7068965517241379,0.6881953759962124
face,0.9,6,0.7068965517241379,0.690949280604453
face,0.9,7,0.6206896551724138,0.6021634415608162
face,0.9,8,0.6551724137931034,0.6489916540437793
face,0.9,9,0.6724137931034483,0.6682385303074958
face,0.9,10,0.6896551724137931,0.6744337390128465
face,0.2,1,0.6381156316916489,0.6190345473078052
face,0.2,2,0.6659528907922913,0.6524225691228286
face,0.2,3,0.6638115631691649,0.6465827633238534
face,0.2,4,0.6381156316916489,0.6196099013661893
face,0.2,5,0.6581196581196581,0.6412881422428969
face,0.8,1,0.6837606837606838,0.6735638536555045
face,0.8,2,0.6068376068376068,0.5730632195819432
face,0.8,3,0.6495726495726496,0.6321937321937322
face,0.8,4,0.7350427350427351,0.7340767391492031
face,0.8,5,0.646551724137931,0.6317706759034603
face,0.5,1,0.6575342465753424,0.6453903931420312
face,0.5,2,0.6643835616438356,0.6487281585994503
