task,level,fold,accuracy,f1
movie,0.0,1,0.946,0.9460019446300603
movie,0.1,1,0.9444444444444444,0.9444463653482132
movie,0.1,2,0.9444444444444444,0.9444469145682963
movie,0.1,3,0.94,0.9400050442359713
movie,0.1,4,0.9466666666666667,0.9466666666666667
movie,0.1,5,0.9466666666666667,0.9466666666666667
movie,0.1,6,0.9466666666666667,0.9466666666666667
movie,0.1,7,0.9488888888888889,0.9488896461241898
movie,0.1,8,0.9466666666666667,0.9466687738290431
movie,0.1,9,0.94,0.9400068326640953
movie,0.1,10,0.9444444444444444,0.9444425235406757
movie,0.9,1,0.96,0.96
movie,0.9,2,0.96,0.96
movie,0.9,3,1.0,1.0
movie,0.9,4,0.9,0.9000400160064026
movie,0.9,5,0.92,0.92
movie,0.9,6,0.94,0.9400722601364913
movie,0.9,7,0.9,0.8997144022847817
movie,0.9,8,0.92,0.9196103896103895
movie,0.9,9,0.98,0.9801115401115402
movie,0.9,10,0.96,0.9600641025641025
movie,0.2,1,0.9525,0.9525038634557751
movie,0.2,2,0.9475,0.9474990156188476
movie,0.2,3,0.945,0.9449917491749176
movie,0.2,4,0.94,0.9399834499360565
movie,0.2,5,0.9425,0.9425017971558057
movie,0.8,1,0.91,0.9100270243218895
movie,0.8,2,0.93,0.9301905434015526
movie,0.8,3,0.95,0.9496694130810701
movie,0.8,4,0.97,0.9698809887091852
movie,0.8,5,0.96,0.96
movie,0.5,1,0.956,0.9560063369125154
movie,0.5,2,0.932,0.9320425470472158
