task,level,fold,accuracy,f1
temporal,0.0,1,0.9415584415584416,0.9416025567709763
temporal,0.1,1,0.9373493975903614,0.9374126453694761
temporal,0.1,2,0.9373493975903614,0.9373840364280387
temporal,0.1,3,0.9350961538461539,0.9351520611760569
temporal,0.1,4,0.9423076923076923,0.9423359840775715
temporal,0.1,5,0.9399038461538461,0.9399512818863697
temporal,0.1,6,0.9423076923076923,0.9424598000869188
temporal,0.1,7,0.9399038461538461,0.9399469786231275
temporal,0.1,8,0.9471153846153846,0.9471851006808634
temporal,0.1,9,0.9495192307692307,0.9495331180259801
temporal,0.1,10,0.9375,0.9375336375336375
temporal,0.9,1,0.9574468085106383,0.9574468085106383
temporal,0.9,2,0.9787234042553191,0.9787821523337674
temporal,0.9,3,0.9782608695652174,0.9782088869482045
temporal,0.9,4,0.8695652173913043,0.8695652173913043
temporal,0.9,5,0.9347826086956522,0.9350034706884583
temporal,0.9,6,0.9347826086956522,0.9352504522487679
temporal,0.9,7,0.9782608695652174,0.9783807344448077
temporal,0.9,8,0.9130434782608695,0.912541806020067
temporal,0.9,9,0.8478260869565217,0.8471530819356906
temporal,0.9,10,0.9565217391304348,0.9567725752508361
temporal,0.2,1,0.9349593495934959,0.9350070019838954
temporal,0.2,2,0.940379403794038,0.9404594099617861
temporal,0.2,3,0.9486486486486486,0.9486338553446451
temporal,0.2,4,0.9378378378378378,0.9379133601206924
temporal,0.2,5,0.9459459459459459,0.9460737899762289
temporal,0.8,1,0.956989247311828,0.956989247311828
temporal,0.8,2,0.946236559139785,0.9462740119024879
temporal,0.8,3,0.9021739130434783,0.9029404827423541
temporal,0.8,4,0.9565217391304348,0.9565217391304348
temporal,0.8,5,0.9347826086956522,0.9346266608446134
temporal,0.5,1,0.9437229437229437,0.9437038440941375
temporal,0.5,2,0.9307359307359307,0.9308345140011549
