task,level,fold,accuracy,f1
waterbird,0.0,1,0.8611111111111112,0.859476835058539
waterbird,0.1,1,0.8865979381443299,0.8863997044515853
waterbird,0.1,2,0.8762886597938144,0.8758845504508064
waterbird,0.1,3,0.8556701030927835,0.8537842594920794
waterbird,0.1,4,0.865979381443299,0.8652765528962956
waterbird,0.1,5,0.8762886597938144,0.8757026026266018
waterbird,0.1,6,0.8556701030927835,0.8535178151564478
waterbird,0.1,7,0.8556701030927835,0.8545939591246156
waterbird,0.1,8,0.8762886597938144,0.8749050461204557
waterbird,0.1,9,0.8469387755102041,0.8449834039896151
waterbird,0.1,10,0.8571428571428571,0.8556757748028607
waterbird,0.9,1,0.7272727272727273,0.7272727272727273
waterbird,0.9,2,0.8181818181818182,0.8151515151515152
waterbird,0.9,3,0.9090909090909091,0.9125541125541126
waterbird,0.9,4,0.9090909090909091,0.9090909090909091
waterbird,0.9,5,0.8181818181818182,0.8181818181818182
waterbird,0.9,6,0.9090909090909091,0.9106449106449106
waterbird,0.9,7,1.0,1.0
waterbird,0.9,8,0.8181818181818182,0.8181818181818182
waterbird,0.9,9,1.0,1.0
waterbird,0.9,10,0.8,0.8
waterbird,0.2,1,0.8488372093023255,0.8477524615429923
waterbird,0.2,2,0.8604651162790697,0.8585890170021497
waterbird,0.2,3,0.8488372093023255,0.8480214698755635
waterbird,0.2,4,0.8735632183908046,0.8730596868033524
waterbird,0.2,5,0.9080459770114943,0.9080459770114943
waterbird,0.8,1,0.9545454545454546,0.9546395633352156
waterbird,0.8,2,0.9090909090909091,0.9090909090909091
waterbird,0.8,3,0.9545454545454546,0.9542583732057417
waterbird,0.8,4,0.8095238095238095,0.8095238095238095
waterbird,0.8,5,0.7619047619047619,0.7507002801120448
waterbird,0.5,1,0.8703703703703703,0.8698602000927583
waterbird,0.5,2,0.8703703703703703,0.8696977849520223
