task,level,fold,accuracy,f1
weather_ordinal,0.0,1,0.9141566265060241,0.9144928572173153
weather_ordinal,0.1,1,0.9229480737018425,0.9232630395354031
weather_ordinal,0.1,2,0.9128978224455612,0.9132214046878904
weather_ordinal,0.1,3,0.9179229480737019,0.9183339331463455
weather_ordinal,0.1,4,0.9212730318257957,0.9215215621627799
weather_ordinal,0.1,5,0.9130434782608695,0.9132992999219394
weather_ordinal,0.1,6,0.9113712374581939,0.9116938549560759
weather_ordinal,0.1,7,0.9130434782608695,0.9134814523083609
weather_ordinal,0.1,8,0.9180602006688964,0.9183454814549091
weather_ordinal,0.1,9,0.9113712374581939,0.9117277456852148
weather_ordinal,0.1,10,0.9063545150501672,0.9067418844046337
weather_ordinal,0.9,1,0.8955223880597015,0.8959996528982992
weather_ordinal,0.9,2,0.9402985074626866,0.9399626865671643
weather_ordinal,0.9,3,0.8955223880597015,0.8952344997121117
weather_ordinal,0.9,4,0.8805970149253731,0.8814738623597556
weather_ordinal,0.9,5,0.9393939393939394,0.9404461279461279
weather_ordinal,0.9,6,0.9090909090909091,0.9096381878990574
weather_ordinal,0.9,7,0.9090909090909091,0.9075640575640576
weather_ordinal,0.9,8,0.9090909090909091,0.9070707070707069
weather_ordinal,0.9,9,0.9393939393939394,0.9397945520957185
weather_ordinal,0.9,10,0.9545454545454546,0.9545454545454546
weather_ordinal,0.2,1,0.9227871939736346,0.9230768616936385
weather_ordinal,0.2,2,0.9227871939736346,0.9230084977695395
weather_ordinal,0.2,3,0.9096045197740112,0.910070127231974
weather_ordinal,0.2,4,0.9209039548022598,0.9210672004029902
weather_ordinal,0.2,5,0.9041353383458647,0.9047506384375191
weather_ordinal,0.8,1,0.8872180451127819,0.8873594178419826
weather_ordinal,0.8,2,0.8947368421052632,0.8955387834463898
weather_ordinal,0.8,3,0.9398496240601504,0.9399724349275648
weather_ordinal,0.8,4,0.9172932330827067,0.9181355713685172
weather_ordinal,0.8,5,0.9545454545454546,0.9545843273084771
weather_ordinal,0.5,1,0.9066265060240963,0.9068544782912618
weather_ordinal,0.5,2,0.9246987951807228,0.9249910618579118
