task,method,trial,mae,rounding
adult_ordinal,MAS,1,0.267296,True
adult_ordinal,BAU,1,0.295597,True
adult_ordinal,SAD,1,0.298742,True
adult_ordinal,ORACLE,1,0.062893,True
adult_ordinal,DEM,1,0.267296,True
adult_ordinal,RANDOM,1,0.424528,True
adult_ordinal,MAS_MERGE,1,0.283019,True
adult_ordinal,BAU_MERGE,1,0.267296,True
adult_ordinal,SAD_MERGE,1,0.295597,True
adult_ordinal,DEM_MERGE,1,0.279874,True
adult_ordinal,ORACLE_MERGE,1,0.172956,True
adult_ordinal,UNIFORM_MERGE,1,0.283019,True
adult_ordinal,MAS,2,0.270440,True
adult_ordinal,BAU,2,0.295597,True
adult_ordinal,SAD,2,0.298742,True
adult_ordinal,ORACLE,2,0.062893,True
adult_ordinal,DEM,2,0.267296,True
adult_ordinal,RANDOM,2,0.377358,True
adult_ordinal,MAS_MERGE,2,0.286164,True
adult_ordinal,BAU_MERGE,2,0.267296,True
adult_ordinal,SAD_MERGE,2,0.295597,True
adult_ordinal,DEM_MERGE,2,0.270440,True
adult_ordinal,ORACLE_MERGE,2,0.172956,True
adult_ordinal,UNIFORM_MERGE,2,0.283019,True
adult_ordinal,MAS,3,0.267296,True
adult_ordinal,BAU,3,0.295597,True
adult_ordinal,SAD,3,0.298742,True
adult_ordinal,ORACLE,3,0.062893,True
adult_ordinal,DEM,3,0.273585,True
adult_ordinal,RANDOM,3,0.455975,True
adult_ordinal,MAS_MERGE,3,0.279874,True
adult_ordinal,BAU_MERGE,3,0.267296,True
adult_ordinal,SAD_MERGE,3,0.295597,True
adult_ordinal,DEM_MERGE,3,0.273585,True
adult_ordinal,ORACLE_MERGE,3,0.172956,True
adult_ordinal,UNIFORM_MERGE,3,0.283019,True
adult_ordinal,MAS,1,0.264151,False
adult_ordinal,BAU,1,0.295597,False
adult_ordinal,SAD,1,0.298742,False
adult_ordinal,ORACLE,1,0.062893,False
adult_ordinal,DEM,1,0.273585,False
adult_ordinal,RANDOM,1,0.430818,False
adult_ordinal,MAS_MERGE,1,0.288340,False
adult_ordinal,BAU_MERGE,1,0.335841,False
adult_ordinal,SAD_MERGE,1,0.314289,False
adult_ordinal,DEM_MERGE,1,0.321763,False
adult_ordinal,ORACLE_MERGE,1,0.239093,False
adult_ordinal,UNIFORM_MERGE,1,0.353305,False
adult_ordinal,MAS,2,0.273585,False
adult_ordinal,BAU,2,0.295597,False
adult_ordinal,SAD,2,0.298742,False
adult_ordinal,ORACLE,2,0.062893,False
adult_ordinal,DEM,2,0.270440,False
adult_ordinal,RANDOM,2,0.389937,False
adult_ordinal,MAS_MERGE,2,0.288798,False
adult_ordinal,BAU_MERGE,2,0.335841,False
adult_ordinal,SAD_MERGE,2,0.314289,False
adult_ordinal,DEM_MERGE,2,0.321552,False
adult_ordinal,ORACLE_MERGE,2,0.239093,False
adult_ordinal,UNIFORM_MERGE,2,0.353305,False
adult_ordinal,MAS,3,0.267296,False
adult_ordinal,BAU,3,0.295597,False
adult_ordinal,SAD,3,0.298742,False
adult_ordinal,ORACLE,3,0.062893,False
adult_ordinal,DEM,3,0.279874,False
adult_ordinal,RANDOM,3,0.484277,False
adult_ordinal,MAS_MERGE,3,0.289283,False
adult_ordinal,BAU_MERGE,3,0.335841,False
adult_ordinal,SAD_MERGE,3,0.314289,False
adult_ordinal,DEM_MERGE,3,0.324855,False
adult_ordinal,ORACLE_MERGE,3,0.239093,False
adult_ordinal,UNIFORM_MERGE,3,0.353305,False
