task,method,trial,mae,rounding
emotion,MAS,1,14.572857,False
emotion,BAU,1,16.050000,False
emotion,SAD,1,13.712857,False
emotion,ORACLE,1,4.665714,False
emotion,DEM,1,14.060000,False
emotion,RANDOM,1,18.198571,False
emotion,MAS_MERGE,1,13.540449,False
emotion,BAU_MERGE,1,11.864562,False
emotion,SAD_MERGE,1,12.173791,False
emotion,DEM_MERGE,1,12.861769,False
emotion,ORACLE_MERGE,1,10.491983,False
emotion,UNIFORM_MERGE,1,12.022000,False
emotion,MAS,2,14.461429,False
emotion,BAU,2,16.050000,False
emotion,SAD,2,13.712857,False
emotion,ORACLE,2,4.665714,False
emotion,DEM,2,13.878571,False
emotion,RANDOM,2,18.212857,False
emotion,MAS_MERGE,2,13.890934,False
emotion,BAU_MERGE,2,11.864562,False
emotion,SAD_MERGE,2,12.173791,False
emotion,DEM_MERGE,2,12.722945,False
emotion,ORACLE_MERGE,2,10.491983,False
emotion,UNIFORM_MERGE,2,12.022000,False
emotion,MAS,3,16.115714,False
emotion,BAU,3,16.050000,False
emotion,SAD,3,13.712857,False
emotion,ORACLE,3,4.665714,False
emotion,DEM,3,13.524286,False
emotion,RANDOM,3,18.194286,False
emotion,MAS_MERGE,3,15.021587,False
emotion,BAU_MERGE,3,11.864562,False
emotion,SAD_MERGE,3,12.173791,False
emotion,DEM_MERGE,3,12.591886,False
emotion,ORACLE_MERGE,3,10.491983,False
emotion,UNIFORM_MERGE,3,12.022000,False
emotion,MAS,1,17.134286,True
emotion,BAU,1,16.050000,True
emotion,SAD,1,13.712857,True
emotion,ORACLE,1,4.665714,True
emotion,DEM,1,13.704286,True
emotion,RANDOM,1,17.561429,True
emotion,MAS_MERGE,1,15.312857,True
emotion,BAU_MERGE,1,11.860000,True
emotion,SAD_MERGE,1,12.187143,True
emotion,DEM_MERGE,1,12.867143,True
emotion,ORACLE_MERGE,1,10.484286,True
emotion,UNIFORM_MERGE,1,12.001429,True
emotion,MAS,2,16.467143,True
emotion,BAU,2,16.050000,True
emotion,SAD,2,13.712857,True
emotion,ORACLE,2,4.665714,True
emotion,DEM,2,13.754286,True
emotion,RANDOM,2,18.325714,True
emotion,MAS_MERGE,2,15.688571,True
emotion,BAU_MERGE,2,11.860000,True
emotion,SAD_MERGE,2,12.187143,True
emotion,DEM_MERGE,2,12.722857,True
emotion,ORACLE_MERGE,2,10.484286,True
emotion,UNIFORM_MERGE,2,12.001429,True
emotion,MAS,3,14.064286,True
emotion,BAU,3,16.050000,True
emotion,SAD,3,13.712857,True
emotion,ORACLE,3,4.665714,True
emotion,DEM,3,14.047143,True
emotion,RANDOM,3,18.970000,True
emotion,MAS_MERGE,3,13.120000,True
emotion,BAU_MERGE,3,11.860000,True
emotion,SAD_MERGE,3,12.187143,True
emotion,DEM_MERGE,3,12.705714,True
emotion,ORACLE_MERGE,3,10.484286,True
emotion,UNIFORM_MERGE,3,12.001429,True

