task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
dog,exact match dist,exact match eval,MAS,0.7100371747211895,0.7097628011808612,0.7101424906965687,0.0,,0.45,var0.15
dog,exact match dist,exact match eval,BAU,0.4944237918215613,0.49357499867898436,0.4951368001335192,0.0,,0.45,var0.15
dog,exact match dist,exact match eval,SAD,0.701363073110285,0.701162772743418,0.701475906333291,0.0,,0.45,var0.15
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.45,var0.15
dog,exact match dist,exact match eval,DEM,0.6864931846344485,0.6861098441841769,0.6867491609772067,0.0,,0.45,var0.15
dog,exact match dist,exact match eval,RANDOM,0.4399008674101611,0.44067245420146295,0.4411894832543438,0.0,,0.45,var0.15
dog,exact match dist,exact match eval,MAS,0.8128872366790583,0.810487151101013,0.8131140614248317,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,BAU,0.530359355638166,0.5275634705549832,0.5314533984844694,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,SAD,0.8228004956629492,0.8210969580956651,0.8230551121936356,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,ORACLE,0.9987608426270136,0.9986990546463763,0.9987604540753559,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,DEM,0.8190830235439901,0.8171073698495976,0.8192895780385748,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,RANDOM,0.5092936802973977,0.5040419336487028,0.5102890190348351,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,MAS,0.8104089219330854,0.8079389746397931,0.8106148276341804,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,BAU,0.530359355638166,0.5275634705549832,0.5314533984844694,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,SAD,0.8228004956629492,0.8210969580956651,0.8230551121936356,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,ORACLE,0.9987608426270136,0.9986990546463763,0.9987604540753559,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,DEM,0.8190830235439901,0.8171073698495976,0.8192895780385748,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,RANDOM,0.4857496902106567,0.4825377495359202,0.4867974204145105,0.0,,0.5,var0.15
dog,exact match dist,exact match eval,MAS,0.8773234200743495,0.8759011568486862,0.8770828302498777,0.0,,0.55,var0.15
dog,exact match dist,exact match eval,BAU,0.6059479553903345,0.6047054254188194,0.60649183813657,0.0,,0.55,var0.15
dog,exact match dist,exact match eval,SAD,0.8674101610904585,0.8661512123172356,0.8672870589446934,0.0,,0.55,var0.15
dog,exact match dist,exact match eval,ORACLE,0.9975216852540273,0.9971951602765556,0.9975216852540273,0.0,,0.55,var0.15
dog,exact match dist,exact match eval,DEM,0.872366790582404,0.8707995755394762,0.8721784349858032,0.0,,0.55,var0.15
dog,exact match dist,exact match eval,RANDOM,0.5563816604708798,0.5549240226041958,0.556901634823944,0.0,,0.55,var0.15
dog,exact match dist,exact match eval,MAS,0.9318463444857497,0.9317207821407252,0.9318054925145668,0.0,,0.6,var0.15
