task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
movie,exact match dist,exact match eval,MAS,0.508,0.5062224006423123,0.5068149337615415,0.0,,0.5,var0.15
movie,exact match dist,exact match eval,BAU,0.492,0.492,0.492,0.0,,0.5,var0.15
movie,exact match dist,exact match eval,SAD,0.494,0.4927318295739348,0.49323909774436087,0.0,,0.5,var0.15
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.5,var0.15
movie,exact match dist,exact match eval,DEM,0.484,0.4813111168296449,0.4820580288214102,0.0,,0.5,var0.15
movie,exact match dist,exact match eval,RANDOM,0.498,0.49766041844286746,0.49792163502527714,0.0,,0.5,var0.15
movie,exact match dist,exact match eval,MAS,0.632,0.6319764464925754,0.6320353302611368,0.0,,0.55,var0.15
movie,exact match dist,exact match eval,BAU,0.642,0.6419298182443759,0.6420300778952673,0.0,,0.55,var0.15
movie,exact match dist,exact match eval,SAD,0.626,0.6259266816295994,0.6260314221587432,0.0,,0.55,var0.15
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.55,var0.15
movie,exact match dist,exact match eval,DEM,0.616,0.6159754224270353,0.616036866359447,0.0,,0.55,var0.15
movie,exact match dist,exact match eval,RANDOM,0.558,0.5573608290371297,0.5576972348070615,0.0,,0.55,var0.15
movie,exact match dist,exact match eval,MAS,0.642,0.6418839704064117,0.6420128921770654,0.0,,0.5,var0.2
movie,exact match dist,exact match eval,BAU,0.656,0.6556473829201102,0.6558677685950413,0.0,,0.5,var0.2
movie,exact match dist,exact match eval,SAD,0.61,0.60996099609961,0.6100390039003901,0.0,,0.5,var0.2
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.5,var0.2
movie,exact match dist,exact match eval,DEM,0.604,0.6039429677873613,0.6040380214750923,0.0,,0.5,var0.2
movie,exact match dist,exact match eval,RANDOM,0.558,0.5579133510167992,0.5577895667550838,0.0,,0.5,var0.2
movie,exact match dist,exact match eval,MAS,0.74,0.7392950538255443,0.7395661869695657,0.0,,0.55,var0.2
movie,exact match dist,exact match eval,BAU,0.856,0.8558131338214325,0.8559169483650813,0.0,,0.55,var0.2
movie,exact match dist,exact match eval,SAD,0.684,0.6831432192648923,0.6834727503168567,0.0,,0.55,var0.2
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.55,var0.2
movie,exact match dist,exact match eval,DEM,0.692,0.6916842847075406,0.6918816067653276,0.0,,0.55,var0.2
movie,exact match dist,exact match eval,RANDOM,0.534,0.5336847709051319,0.5339272548242613,0.0,,0.55,var0.2
movie,exact match dist,exact match eval,MAS,0.342,0.3419763111472013,0.34189734830453894,0.0,,0.5,var0.25
movie,exact match dist,exact match eval,BAU,0.214,0.21399685598742396,0.21402829611318447,0.0,,0.5,var0.25
movie,exact match dist,exact match eval,SAD,0.45,0.44982174224448723,0.4496236780716953,0.0,,0.5,var0.25
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.5,var0.25
movie,exact match dist,exact match eval,DEM,0.442,0.4416225368349004,0.44133218055405454,0.0,,0.5,var0.25
movie,exact match dist,exact match eval,RANDOM,0.49,0.48983470644488813,0.49001836595056797,0.0,,0.5,var0.25
movie,exact match dist,exact match eval,MAS,0.766,0.7658866891575522,0.7659896990143229,0.0,,0.55,var0.25
movie,exact match dist,exact match eval,BAU,0.918,0.9179261335201682,0.9179753778400561,0.0,,0.55,var0.25
movie,exact match dist,exact match eval,SAD,0.678,0.677844076533042,0.6779858251393674,0.0,,0.55,var0.25
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.55,var0.25
movie,exact match dist,exact match eval,DEM,0.686,0.6858982310268527,0.686011307663683,0.0,,0.55,var0.25
movie,exact match dist,exact match eval,RANDOM,0.566,0.5659149193241875,0.5660364631467768,0.0,,0.55,var0.25
movie,exact match dist,exact match eval,MAS,0.92,0.9199538934426228,0.9199923155737704,0.0,,0.6,var0.15
movie,exact match dist,exact match eval,BAU,0.898,0.8979310013569173,0.8979840772362118,0.0,,0.6,var0.15
movie,exact match dist,exact match eval,SAD,0.858,0.8579039430655122,0.8579778330151182,0.0,,0.6,var0.15
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.6,var0.15
movie,exact match dist,exact match eval,DEM,0.852,0.8518482926516753,0.8519431097443783,0.0,,0.6,var0.15
movie,exact match dist,exact match eval,RANDOM,0.624,0.6238495398159263,0.624,0.0,,0.6,var0.15
movie,exact match dist,exact match eval,MAS,0.8,0.7996794871794871,0.7998397435897434,0.0,,0.6,var0.2
movie,exact match dist,exact match eval,BAU,0.856,0.8559976959631355,0.8559861757788125,0.0,,0.6,var0.2
movie,exact match dist,exact match eval,SAD,0.75,0.7495582207013172,0.749768591795928,0.0,,0.6,var0.2
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.6,var0.2
movie,exact match dist,exact match eval,DEM,0.726,0.725418986575594,0.7256716011079445,0.0,,0.6,var0.2
movie,exact match dist,exact match eval,RANDOM,0.54,0.5396390770363966,0.5393812749195369,0.0,,0.6,var0.2
movie,exact match dist,exact match eval,MAS,0.938,0.937969977469095,0.9379972706790086,0.0,,0.6,var0.25
movie,exact match dist,exact match eval,BAU,0.982,0.9819837854068661,0.981994595135622,0.0,,0.6,var0.25
movie,exact match dist,exact match eval,SAD,0.82,0.8198154910628483,0.8199308091485681,0.0,,0.6,var0.25
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.6,var0.25
movie,exact match dist,exact match eval,DEM,0.818,0.8177893645053682,0.8179132677375045,0.0,,0.6,var0.25
movie,exact match dist,exact match eval,RANDOM,0.626,0.6259865355152786,0.6260314171310167,0.0,,0.6,var0.25
movie,exact match dist,exact match eval,MAS,0.952,0.9519930870045286,0.9520046086636476,0.0,,0.65,var0.15
movie,exact match dist,exact match eval,BAU,0.938,0.9379878456177411,0.9380052090209681,0.0,,0.65,var0.15
movie,exact match dist,exact match eval,SAD,0.9,0.8999983999743996,0.8999903998463975,0.0,,0.65,var0.15
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.65,var0.15
movie,exact match dist,exact match eval,DEM,0.886,0.885999543998176,0.8859949839799359,0.0,,0.65,var0.15
movie,exact match dist,exact match eval,RANDOM,0.688,0.6879800307219661,0.6879301075268817,0.0,,0.65,var0.15
movie,exact match dist,exact match eval,MAS,0.99,0.9899980396157646,0.9900008401646722,0.0,,0.65,var0.2
movie,exact match dist,exact match eval,BAU,0.968,0.9679815573770492,0.9679969262295083,0.0,,0.65,var0.2
movie,exact match dist,exact match eval,SAD,0.948,0.9479791916766707,0.948,0.0,,0.65,var0.2
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.65,var0.2
movie,exact match dist,exact match eval,DEM,0.942,0.9419812019094187,0.9420020886767313,0.0,,0.65,var0.2
movie,exact match dist,exact match eval,RANDOM,0.71,0.7099709970997099,0.70991299129913,0.0,,0.65,var0.2
movie,exact match dist,exact match eval,MAS,0.988,0.9879930840163934,0.9879988473360656,0.0,,0.65,var0.25
movie,exact match dist,exact match eval,BAU,0.99,0.9899951576563056,0.9899995597869369,0.0,,0.65,var0.25
movie,exact match dist,exact match eval,SAD,0.876,0.8759027077228547,0.8759722022065298,0.0,,0.65,var0.25
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.65,var0.25
movie,exact match dist,exact match eval,DEM,0.884,0.8838810942405022,0.8839554103401883,0.0,,0.65,var0.25
movie,exact match dist,exact match eval,RANDOM,0.61,0.6099859594945418,0.6100327611794025,0.0,,0.65,var0.25
movie,exact match dist,exact match eval,MAS,0.99,0.9899967589498999,0.9900003601166779,0.0,,0.7,var0.15
movie,exact match dist,exact match eval,BAU,0.932,0.931990206589749,0.9320065289401676,0.0,,0.7,var0.15
movie,exact match dist,exact match eval,SAD,0.956,0.9559936630874846,0.9560042246083436,0.0,,0.7,var0.15
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.7,var0.15
movie,exact match dist,exact match eval,DEM,0.958,0.957995799579958,0.958004200420042,0.0,,0.7,var0.15
movie,exact match dist,exact match eval,RANDOM,0.718,0.7179717971797179,0.718028202820282,0.0,,0.7,var0.15
