task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
dog,exact match dist,exact match eval,MAS,0.5675340768277571,0.5658067527805553,0.5680470044532601,0.0,1,0.35,
dog,exact match dist,exact match eval,BAU,0.6195786864931846,0.6184801600032123,0.6196612731427746,0.0,1,0.35,
dog,exact match dist,exact match eval,SAD,0.49814126394052044,0.4962449642392036,0.49877067003261666,0.0,1,0.35,
dog,exact match dist,exact match eval,ORACLE,0.976456009913259,0.9761126862807413,0.9764485840591239,0.0,1,0.35,
dog,exact match dist,exact match eval,DEM,0.530359355638166,0.5287268502300226,0.5312561303545914,0.0,1,0.35,
dog,exact match dist,exact match eval,RANDOM,0.38413878562577447,0.38405558782768257,0.384817370828947,0.0,1,0.35,
dog,exact match dist,exact match eval,MAS,0.7534076827757125,0.7528444650032684,0.7535361400988975,0.0,1,0.45,
dog,exact match dist,exact match eval,BAU,0.7187112763320942,0.7189131719835241,0.7184194149182955,0.0,1,0.45,
dog,exact match dist,exact match eval,SAD,0.6964064436183395,0.6949789446391942,0.6965796775568497,0.0,1,0.45,
dog,exact match dist,exact match eval,ORACLE,0.9975216852540273,0.997349298323811,0.9975220568154585,0.0,1,0.45,
dog,exact match dist,exact match eval,DEM,0.7001239157372986,0.698727611661444,0.7004630342183784,0.0,1,0.45,
dog,exact match dist,exact match eval,RANDOM,0.42998760842627015,0.4295737331665262,0.429696368203391,0.0,1,0.45,
dog,exact match dist,exact match eval,MAS,0.9690210656753407,0.9684408366355732,0.9690549907829197,0.0,1,0.55,
dog,exact match dist,exact match eval,BAU,0.8785625774473358,0.8778764255566673,0.8787702299842142,0.0,1,0.55,
dog,exact match dist,exact match eval,SAD,0.942998760842627,0.9426102099976231,0.9429902158238753,0.0,1,0.55,
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.55,
dog,exact match dist,exact match eval,DEM,0.9553903345724907,0.9551504677199896,0.9554011711336454,0.0,1,0.55,
dog,exact match dist,exact match eval,RANDOM,0.6195786864931846,0.6183271013140116,0.6200215185122173,0.0,1,0.55,
dog,exact match dist,exact match eval,MAS,0.9789343246592317,0.978798754999331,0.9789181809362492,0.0,1,0.65,
dog,exact match dist,exact match eval,BAU,0.9033457249070632,0.9025982386726953,0.9034121880712492,0.0,1,0.65,
dog,exact match dist,exact match eval,SAD,0.9516728624535316,0.9515075516702414,0.9517075375844088,0.0,1,0.65,
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.65,
dog,exact match dist,exact match eval,DEM,0.966542750929368,0.9661097427663828,0.9665483720307293,0.0,1,0.65,
dog,exact match dist,exact match eval,RANDOM,0.61090458488228,0.6078185974746945,0.6111486321894101,0.0,1,0.65,
dog,exact match dist,exact match eval,MAS,0.9851301115241635,0.9847443928321051,0.9851318314563229,0.0,1,0.75,
dog,exact match dist,exact match eval,BAU,0.9553903345724907,0.9548357237907104,0.9554830453588925,0.0,1,0.75,
dog,exact match dist,exact match eval,SAD,0.9863692688971499,0.9863579695025029,0.9863456157806713,0.0,1,0.75,
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.75,
dog,exact match dist,exact match eval,DEM,0.9690210656753407,0.9691089291445758,0.969022693838999,0.0,1,0.75,
dog,exact match dist,exact match eval,RANDOM,0.6964064436183395,0.6965325438656134,0.6961202208112311,0.0,1,0.75,
dog,exact match dist,exact match eval,MAS,0.9975216852540273,0.9976210288567269,0.997519534616844,0.0,1,0.85,
dog,exact match dist,exact match eval,BAU,0.9950433705080545,0.9949231924360056,0.9950450638545884,0.0,1,0.85,
dog,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.85,
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.85,
dog,exact match dist,exact match eval,DEM,0.9913258983890955,0.9911924258642175,0.9913392558639526,0.0,1,0.85,
dog,exact match dist,exact match eval,RANDOM,0.8376703841387856,0.83642822063689,0.8374054995167389,0.0,1,0.85,
dog,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.95,
dog,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.95,
dog,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.95,
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.95,
dog,exact match dist,exact match eval,DEM,1.0,1.0,1.0,0.0,1,0.95,
dog,exact match dist,exact match eval,RANDOM,0.9107806691449815,0.9098456175175083,0.9107233642387997,0.0,1,0.95,
