task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
face,exact match dist,exact match eval,MAS,0.4589041095890411,0.45903194346100923,0.45903194346100923,0.0,1,0.35,
face,exact match dist,exact match eval,BAU,0.3955479452054795,0.3947974665860763,0.3947974665860763,0.0,1,0.35,
face,exact match dist,exact match eval,SAD,0.4691780821917808,0.46957868414226583,0.46957868414226583,0.0,1,0.35,
face,exact match dist,exact match eval,ORACLE,0.9777397260273972,0.977708534569537,0.977708534569537,0.0,1,0.35,
face,exact match dist,exact match eval,DEM,0.4400684931506849,0.43953626899105624,0.43953626899105624,0.0,1,0.35,
face,exact match dist,exact match eval,RANDOM,0.3578767123287671,0.35710713569231134,0.3571071356923114,0.0,1,0.35,
face,exact match dist,exact match eval,MAS,0.7294520547945206,0.7292944567993924,0.7292944567993924,0.0,1,0.45,
face,exact match dist,exact match eval,BAU,0.5154109589041096,0.5150250874372471,0.5150250874372472,0.0,1,0.45,
face,exact match dist,exact match eval,SAD,0.7277397260273972,0.7274435171911959,0.7274435171911958,0.0,1,0.45,
face,exact match dist,exact match eval,ORACLE,0.9965753424657534,0.996581106669472,0.9965811066694719,0.0,1,0.45,
face,exact match dist,exact match eval,DEM,0.7363013698630136,0.7361710603650743,0.7361710603650743,0.0,1,0.45,
face,exact match dist,exact match eval,RANDOM,0.4571917808219178,0.45675364634710636,0.4567536463471064,0.0,1,0.45,
face,exact match dist,exact match eval,MAS,0.8527397260273972,0.8526553828323367,0.8526553828323366,0.0,1,0.55,
face,exact match dist,exact match eval,BAU,0.601027397260274,0.6008815227296557,0.6008815227296556,0.0,1,0.55,
face,exact match dist,exact match eval,SAD,0.8595890410958904,0.8594266774584507,0.8594266774584507,0.0,1,0.55,
face,exact match dist,exact match eval,ORACLE,0.9982876712328768,0.9982876511499712,0.9982876511499713,0.0,1,0.55,
face,exact match dist,exact match eval,DEM,0.8184931506849316,0.8181105047686995,0.8181105047686995,0.0,1,0.55,
face,exact match dist,exact match eval,RANDOM,0.5821917808219178,0.5821616962734082,0.5821616962734082,0.0,1,0.55,
face,exact match dist,exact match eval,MAS,0.940068493150685,0.9400633510222551,0.9400633510222552,0.0,1,0.65,
face,exact match dist,exact match eval,BAU,0.6917808219178082,0.6916260277760915,0.6916260277760916,0.0,1,0.65,
face,exact match dist,exact match eval,SAD,0.9297945205479452,0.929755401390557,0.929755401390557,0.0,1,0.65,
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.65,
face,exact match dist,exact match eval,DEM,0.9383561643835616,0.9383144683596271,0.9383144683596271,0.0,1,0.65,
face,exact match dist,exact match eval,RANDOM,0.625,0.6251247832332424,0.6251247832332424,0.0,1,0.65,
face,exact match dist,exact match eval,MAS,0.9897260273972602,0.9897260273972603,0.9897260273972602,0.0,1,0.75,
face,exact match dist,exact match eval,BAU,0.8287671232876712,0.8289363102906787,0.8289363102906786,0.0,1,0.75,
face,exact match dist,exact match eval,SAD,0.9931506849315068,0.9931565089740865,0.9931565089740866,0.0,1,0.75,
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.75,
face,exact match dist,exact match eval,DEM,0.9863013698630136,0.9863182410865711,0.986318241086571,0.0,1,0.75,
face,exact match dist,exact match eval,RANDOM,0.738013698630137,0.737679899202483,0.737679899202483,0.0,1,0.75,
face,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.85,
face,exact match dist,exact match eval,BAU,0.9315068493150684,0.9315627002155047,0.9315627002155047,0.0,1,0.85,
face,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.85,
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.85,
face,exact match dist,exact match eval,DEM,1.0,1.0,1.0,0.0,1,0.85,
face,exact match dist,exact match eval,RANDOM,0.8441780821917808,0.8436777481998295,0.8436777481998295,0.0,1,0.85,
face,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.95,
face,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.95,
face,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.95,
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.95,
face,exact match dist,exact match eval,DEM,1.0,1.0,1.0,0.0,1,0.95,
face,exact match dist,exact match eval,RANDOM,0.976027397260274,0.9760372984068314,0.9760372984068314,0.0,1,0.95,
