task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
movie,exact match dist,exact match eval,MAS,0.046,0.045965654763571485,0.04585117064214312,0.0,1,0.35,
movie,exact match dist,exact match eval,BAU,0.154,0.15399661598646397,0.1540304561218245,0.0,1,0.35,
movie,exact match dist,exact match eval,SAD,0.078,0.07799631198524795,0.07803319213276853,0.0,1,0.35,
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.35,
movie,exact match dist,exact match eval,DEM,0.084,0.08386807700308843,0.0840879486646077,0.0,1,0.35,
movie,exact match dist,exact match eval,RANDOM,0.348,0.34773909563825534,0.348,0.0,1,0.35,
movie,exact match dist,exact match eval,MAS,0.274,0.27399709598838395,0.27396805587222345,0.0,1,0.45,
movie,exact match dist,exact match eval,BAU,0.292,0.2918187055886307,0.2915920875744191,0.0,1,0.45,
movie,exact match dist,exact match eval,SAD,0.32,0.31990206589748926,0.31973884239330463,0.0,1,0.45,
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.45,
movie,exact match dist,exact match eval,DEM,0.3,0.30000000000000004,0.30000000000000004,0.0,1,0.45,
movie,exact match dist,exact match eval,RANDOM,0.44,0.4394259721955282,0.4390672048177333,0.0,1,0.45,
movie,exact match dist,exact match eval,MAS,0.72,0.7199955199283188,0.7199731195699131,0.0,1,0.55,
movie,exact match dist,exact match eval,BAU,0.656,0.6559119134498432,0.6560220216375392,0.0,1,0.55,
movie,exact match dist,exact match eval,SAD,0.714,0.7138615089703417,0.7137356080342886,0.0,1,0.55,
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.55,
movie,exact match dist,exact match eval,DEM,0.694,0.6937930040707518,0.6936337764328687,0.0,1,0.55,
movie,exact match dist,exact match eval,RANDOM,0.574,0.573998295993184,0.5740153360613443,0.0,1,0.55,
movie,exact match dist,exact match eval,MAS,0.92,0.919994879672299,0.9200076804915515,0.0,1,0.65,
movie,exact match dist,exact match eval,BAU,0.856,0.8559631265603995,0.8560092183599002,0.0,1,0.65,
movie,exact match dist,exact match eval,SAD,0.884,0.8839832935942775,0.8840111376038149,0.0,1,0.65,
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.65,
movie,exact match dist,exact match eval,DEM,0.894,0.893996183862619,0.8940089043205556,0.0,1,0.65,
movie,exact match dist,exact match eval,RANDOM,0.634,0.633986823525647,0.6340307451068238,0.0,1,0.65,
movie,exact match dist,exact match eval,MAS,0.988,0.9879951980792316,0.988,0.0,1,0.75,
movie,exact match dist,exact match eval,BAU,0.948,0.9479791916766707,0.948,0.0,1,0.75,
movie,exact match dist,exact match eval,SAD,0.988,0.9879905846183408,0.9879973098909545,0.0,1,0.75,
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.75,
movie,exact match dist,exact match eval,DEM,0.98,0.9799843076972347,0.9799955164849241,0.0,1,0.75,
movie,exact match dist,exact match eval,RANDOM,0.744,0.742810756940091,0.7431605343106523,0.0,1,0.75,
movie,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.85,
movie,exact match dist,exact match eval,BAU,0.996,0.9959976946721312,0.9959996157786887,0.0,1,0.85,
movie,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.85,
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.85,
movie,exact match dist,exact match eval,DEM,1.0,1.0,1.0,0.0,1,0.85,
movie,exact match dist,exact match eval,RANDOM,0.86,0.8599641508226106,0.8600089622943473,0.0,1,0.85,
movie,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.95,
movie,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.95,
movie,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.95,
movie,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.95,
movie,exact match dist,exact match eval,DEM,1.0,1.0,1.0,0.0,1,0.95,
movie,exact match dist,exact match eval,RANDOM,0.926,0.925992599259926,0.926007400740074,0.0,1,0.95,
