task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
temporal,exact match dist,exact match eval,MAS,0.09956709956709957,0.09941520467836257,0.10083289030657451,0.0,1,0.35,
temporal,exact match dist,exact match eval,BAU,0.1341991341991342,0.13393945074514949,0.1357572349230424,0.0,1,0.35,
temporal,exact match dist,exact match eval,SAD,0.15800865800865802,0.1562654047126097,0.16091408016873854,0.0,1,0.35,
temporal,exact match dist,exact match eval,ORACLE,0.9978354978354979,0.9978020409619639,0.9978349108728042,0.0,1,0.35,
temporal,exact match dist,exact match eval,DEM,0.14502164502164502,0.1443441566053218,0.14726256824486808,0.0,1,0.35,
temporal,exact match dist,exact match eval,RANDOM,0.3463203463203463,0.3455353959885171,0.3482827221499192,0.0,1,0.35,
temporal,exact match dist,exact match eval,MAS,0.35714285714285715,0.3564644801823477,0.3589970875015829,0.0,1,0.45,
temporal,exact match dist,exact match eval,BAU,0.3333333333333333,0.3330208489575521,0.33477076146192686,0.0,1,0.45,
temporal,exact match dist,exact match eval,SAD,0.3917748917748918,0.3902637202639551,0.39394309437754,0.0,1,0.45,
temporal,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.45,
temporal,exact match dist,exact match eval,DEM,0.3961038961038961,0.39528512115596637,0.39798226216091154,0.0,1,0.45,
temporal,exact match dist,exact match eval,RANDOM,0.45021645021645024,0.4464716981132075,0.45199028016009146,0.0,1,0.45,
temporal,exact match dist,exact match eval,MAS,0.551948051948052,0.5483913620415275,0.5532492799626341,0.0,1,0.55,
temporal,exact match dist,exact match eval,BAU,0.5670995670995671,0.5661157024793388,0.5686200851490107,0.0,1,0.55,
temporal,exact match dist,exact match eval,SAD,0.5930735930735931,0.5913504968383018,0.5945669431441789,0.0,1,0.55,
temporal,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.55,
temporal,exact match dist,exact match eval,DEM,0.5454545454545454,0.5420214875096769,0.5468277686324929,0.0,1,0.55,
temporal,exact match dist,exact match eval,RANDOM,0.5043290043290043,0.5020872258015935,0.5061368902382064,0.0,1,0.55,
temporal,exact match dist,exact match eval,MAS,0.974025974025974,0.9736927019075639,0.9740516103427748,0.0,1,0.65,
temporal,exact match dist,exact match eval,BAU,0.9696969696969697,0.9693081522254912,0.9697268787332373,0.0,1,0.65,
temporal,exact match dist,exact match eval,SAD,0.9090909090909091,0.9083333333333334,0.9093434343434343,0.0,1,0.65,
temporal,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.65,
temporal,exact match dist,exact match eval,DEM,0.9090909090909091,0.9084042975019354,0.9093655537264985,0.0,1,0.65,
temporal,exact match dist,exact match eval,RANDOM,0.6904761904761905,0.6888888888888889,0.6915824915824915,0.0,1,0.65,
temporal,exact match dist,exact match eval,MAS,0.9199134199134199,0.9190759107155537,0.9200737940151389,0.0,1,0.75,
temporal,exact match dist,exact match eval,BAU,0.8744588744588745,0.8729710254854369,0.874637416335687,0.0,1,0.75,
temporal,exact match dist,exact match eval,SAD,0.8766233766233766,0.8756439982433191,0.8769816857868122,0.0,1,0.75,
temporal,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.75,
temporal,exact match dist,exact match eval,DEM,0.8722943722943723,0.8713778117523818,0.8726938986844709,0.0,1,0.75,
temporal,exact match dist,exact match eval,RANDOM,0.658008658008658,0.6559194524577182,0.6591693277591801,0.0,1,0.75,
temporal,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.85,
temporal,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.85,
temporal,exact match dist,exact match eval,SAD,0.9891774891774892,0.9890219039155209,0.989180318000434,0.0,1,0.85,
temporal,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.85,
temporal,exact match dist,exact match eval,DEM,0.9913419913419913,0.9912220702234382,0.9913464328649007,0.0,1,0.85,
temporal,exact match dist,exact match eval,RANDOM,0.8506493506493507,0.8481732495725438,0.8505234472047672,0.0,1,0.85,
temporal,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.95,
temporal,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.95,
temporal,exact match dist,exact match eval,SAD,0.9956709956709957,0.9956016755521706,0.9956686053220708,0.0,1,0.95,
temporal,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.95,
temporal,exact match dist,exact match eval,DEM,0.9956709956709957,0.9956016755521706,0.9956686053220708,0.0,1,0.95,
temporal,exact match dist,exact match eval,RANDOM,0.8701298701298701,0.8687127024722934,0.8703660647394664,0.0,1,0.95,
