task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
waterbird,exact match dist,exact match eval,MAS,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,1,0.35,
waterbird,exact match dist,exact match eval,BAU,0.07407407407407407,0.07375643224699828,0.07566228320945302,0.0,1,0.35,
waterbird,exact match dist,exact match eval,SAD,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,1,0.35,
waterbird,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.35,
waterbird,exact match dist,exact match eval,DEM,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,1,0.35,
waterbird,exact match dist,exact match eval,RANDOM,0.4166666666666667,0.4154136953346508,0.418420826531489,0.0,1,0.35,
waterbird,exact match dist,exact match eval,MAS,0.09259259259259259,0.09134615384615384,0.0950854700854701,0.0,1,0.45,
waterbird,exact match dist,exact match eval,BAU,0.05555555555555555,0.05555555555555556,0.05555555555555555,0.0,1,0.45,
waterbird,exact match dist,exact match eval,SAD,0.14814814814814814,0.14785591766723843,0.1496093005526968,0.0,1,0.45,
waterbird,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.45,
waterbird,exact match dist,exact match eval,DEM,0.1388888888888889,0.1388150561605076,0.1397010489010832,0.0,1,0.45,
waterbird,exact match dist,exact match eval,RANDOM,0.4444444444444444,0.4375,0.4444444444444444,0.0,1,0.45,
waterbird,exact match dist,exact match eval,MAS,0.49074074074074076,0.48325358851674644,0.4901648059542797,0.0,1,0.55,
waterbird,exact match dist,exact match eval,BAU,0.48148148148148145,0.47699757869249393,0.482378262039279,0.0,1,0.55,
waterbird,exact match dist,exact match eval,SAD,0.49074074074074076,0.48325358851674644,0.4901648059542797,0.0,1,0.55,
waterbird,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.55,
waterbird,exact match dist,exact match eval,DEM,0.49074074074074076,0.48325358851674644,0.4901648059542797,0.0,1,0.55,
waterbird,exact match dist,exact match eval,RANDOM,0.5277777777777778,0.5244755244755245,0.5288785288785289,0.0,1,0.55,
waterbird,exact match dist,exact match eval,MAS,0.9907407407407407,0.9906436801524734,0.9907495644305832,0.0,1,0.65,
waterbird,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.65,
waterbird,exact match dist,exact match eval,SAD,0.9814814814814815,0.98125,0.9814814814814815,0.0,1,0.65,
waterbird,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.65,
waterbird,exact match dist,exact match eval,DEM,0.9814814814814815,0.98125,0.9814814814814815,0.0,1,0.65,
waterbird,exact match dist,exact match eval,RANDOM,0.7129629629629629,0.7117520447696943,0.7138279045295834,0.0,1,0.65,
waterbird,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.75,
waterbird,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.75,
waterbird,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.75,
waterbird,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.75,
waterbird,exact match dist,exact match eval,DEM,1.0,1.0,1.0,0.0,1,0.75,
waterbird,exact match dist,exact match eval,RANDOM,0.8055555555555556,0.8035172832019406,0.8057408530422479,0.0,1,0.75,
waterbird,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.85,
waterbird,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.85,
waterbird,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.85,
waterbird,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.85,
waterbird,exact match dist,exact match eval,DEM,1.0,1.0,1.0,0.0,1,0.85,
waterbird,exact match dist,exact match eval,RANDOM,0.8888888888888888,0.8875,0.8888888888888888,0.0,1,0.85,
waterbird,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,1,0.95,
waterbird,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,1,0.95,
waterbird,exact match dist,exact match eval,SAD,1.0,1.0,1.0,0.0,1,0.95,
waterbird,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,1,0.95,
waterbird,exact match dist,exact match eval,DEM,1.0,1.0,1.0,0.0,1,0.95,
waterbird,exact match dist,exact match eval,RANDOM,0.8333333333333334,0.83125,0.8333333333333334,0.0,1,0.95,
