task,method,accuracy,f1_weighted,f1_macro,dist_fn,eval_fn,supervision_amt,fold,noise
face,MAS,0.5547945205479452,0.5149258032003492,0.5149258032003492,exact match dist,exact match eval,0.0,1,0.0
face,BAU,0.5684931506849316,0.5477385141703766,0.5477385141703766,exact match dist,exact match eval,0.0,1,0.0
face,SAD,0.6455479452054794,0.6286853714537964,0.6286853714537965,exact match dist,exact match eval,0.0,1,0.0
face,ORACLE,0.8921232876712328,0.8899089590042943,0.8899089590042941,exact match dist,exact match eval,0.0,1,0.0
face,DEM,0.6335616438356164,0.6159181404990782,0.6159181404990783,exact match dist,exact match eval,0.0,1,0.0
face,RANDOM,0.5941780821917808,0.5814271674689978,0.5814271674689978,exact match dist,exact match eval,0.0,1,0.0
face,MAS,0.539047619047619,0.4978640321015603,0.4997554451071961,exact match dist,exact match eval,0.1,1,0.0
face,BAU,0.5619047619047619,0.5380335597152368,0.5400689744092912,exact match dist,exact match eval,0.1,1,0.0
face,SAD,0.6171428571428571,0.5956470142118058,0.5970373914519755,exact match dist,exact match eval,0.1,1,0.0
face,ORACLE,0.8895238095238095,0.8876580786576822,0.8881710426814209,exact match dist,exact match eval,0.1,1,0.0
face,DEM,0.6247619047619047,0.6041605115236494,0.6057277788161163,exact match dist,exact match eval,0.1,1,0.0
face,RANDOM,0.5657142857142857,0.5429825177112623,0.544782384699835,exact match dist,exact match eval,0.1,1,0.0
