task,mae,mse
emotion,13.252857142857144,435.32142857142856
similarity,3.838333333333333,19.349596666666663
population,5045.454391891892,1163277548.1055744
similarity,3.8383,19.3496
similarity,3.8383,19.3496
similarity,3.8383,19.3496
similarity,0.9574999999999997,1.3741458333333327
similarity,0.9191666666666664,1.3141458333333327
similarity,0.9241666666666664,1.3191458333333328
similarity,0.9241666666666664,1.3191458333333328
similarity,0.9241666666666664,1.3191458333333328
similarity,0.9241666666666664,1.3191458333333328
