task,mae,mse
emotion,4.6657142857142855,65.36857142857143
similarity,1.6409999999999998,5.693596666666667
population,140.3564189189189,2832644.370777027
similarity,1.641,5.6936
similarity,1.641,5.6936
similarity,1.641,5.6936
similarity,0.5208333333333333,0.5108124999999998
similarity,0.5208333333333333,0.5108124999999998
similarity,0.5208333333333333,0.5108124999999998
similarity,0.5208333333333333,0.5108124999999998
similarity,0.5208333333333333,0.5108124999999998
similarity,0.5208333333333333,0.5108124999999998
