method,mae
MAS,23.764285714285716
BAU,16.05
SAD,13.708571428571428
ORACLE,4.6657142857142855
DEM,12.365714285714287
RANDOM,18.63142857142857
MAS_MERGE,22.67584223179484
BAU_MERGE,11.864562243015685
SAD_MERGE,12.17379069600298
DEM_MERGE,12.018773496314855
ORACLE_MERGE,10.491983027100167
UNIFORM_MERGE,12.022
MAS,22.28142857142857
BAU,16.05
SAD,13.708571428571428
ORACLE,4.6657142857142855
DEM,12.365714285714287
RANDOM,18.591428571428573
MAS_MERGE,20.848694162634768
BAU_MERGE,11.864562243015685
SAD_MERGE,12.17379069600298
DEM_MERGE,12.018773496314855
ORACLE_MERGE,10.491983027100167
UNIFORM_MERGE,12.022
CATD_MERGE,12.135504341418894
GPM,17.57857142857143
GPM_MERGE,12.414614838534678
