method,supervision_amt,fold,acc,f1_weighted,f1_macro
MAS,0.1,1,0.8471074380165289,0.8464727787900752,0.8472276588616436
BAU,0.1,1,0.8099173553719008,0.809101837951326,0.8106279013104534
SAD,0.1,1,0.837465564738292,0.837164121335515,0.8370200530360767
ORACLE,0.1,1,0.9889807162534435,0.9889815178389132,0.989138598783963
DEM,0.1,1,0.837465564738292,0.837111958614679,0.8367004551990929
RANDOM,0.1,1,0.7134986225895317,0.7137447822977905,0.7099350592692116
MAS,0.1,2,0.8278236914600551,0.8267080633997013,0.8267753036002504
BAU,0.1,2,0.7961432506887053,0.7948932970734294,0.7956075920088135
SAD,0.1,2,0.8236914600550964,0.8231918024680394,0.822255138732051
ORACLE,0.1,2,0.9917355371900827,0.9917360721976689,0.9919391461685311
DEM,0.1,2,0.8140495867768595,0.8133588270220142,0.8118000726531827
RANDOM,0.1,2,0.6914600550964187,0.6912022641551006,0.6833803196355607
MAS,0.1,3,0.8168044077134986,0.8154880143659581,0.8161998532454151
BAU,0.1,3,0.7878787878787878,0.7860435250826242,0.7869268462272263
SAD,0.1,3,0.8236914600550964,0.8230861318842942,0.8226846609339796
ORACLE,0.1,3,0.9889807162534435,0.9889818162549983,0.9891503786331286
DEM,0.1,3,0.8126721763085399,0.8117395717809469,0.8109696373155214
RANDOM,0.1,3,0.6639118457300276,0.6639485836959098,0.6630486000211042
MAS,0.1,4,0.8154269972451791,0.8138112853298092,0.8155292989727411
BAU,0.1,4,0.790633608815427,0.7890342070081238,0.7904362718165352
SAD,0.1,4,0.8223140495867769,0.8217496893435553,0.8216689162550522
ORACLE,0.1,4,0.9889807162534435,0.988982208373429,0.9891481263765974
DEM,0.1,4,0.8099173553719008,0.8091862529448366,0.8076162931528079
RANDOM,0.1,4,0.696969696969697,0.6971361118323296,0.6938247108786672
MAS,0.1,5,0.8402203856749312,0.8392336179718867,0.8401673361948785
BAU,0.1,5,0.8085399449035813,0.807396453191368,0.8084348481721
SAD,0.1,5,0.8333333333333334,0.8329907310044439,0.8326127708129576
ORACLE,0.1,5,0.9931129476584022,0.9931132047962797,0.9931777394449403
DEM,0.1,5,0.8292011019283747,0.8288766059151165,0.827023173051723
RANDOM,0.1,5,0.7148760330578512,0.7148068529660276,0.7154667033349158
MAS,0.1,6,0.8264462809917356,0.82534545285555,0.8259437667458365
BAU,0.1,6,0.8057851239669421,0.8046370792870898,0.8053654825299628
SAD,0.1,6,0.8292011019283747,0.8286228915050766,0.8281329780751888
ORACLE,0.1,6,0.9889807162534435,0.988983822423324,0.9891285059320284
DEM,0.1,6,0.8264462809917356,0.8257361591401182,0.8245914074541012
RANDOM,0.1,6,0.6942148760330579,0.6943468241110151,0.6968761198163996
MAS,0.1,7,0.8168044077134986,0.8151968464031852,0.8169479819896311
BAU,0.1,7,0.7947658402203857,0.793214073709917,0.7952750649436059
SAD,0.1,7,0.8250688705234159,0.8245375786442755,0.8248215416007982
ORACLE,0.1,7,0.990358126721763,0.990359971603694,0.990357497230689
DEM,0.1,7,0.8126721763085399,0.8118980528618778,0.8113856605931264
RANDOM,0.1,7,0.6790633608815427,0.679328136630777,0.6780933426457822
MAS,0.1,8,0.8253094910591472,0.8241975011219299,0.8254477504724328
BAU,0.1,8,0.7909215955983494,0.789409644047603,0.7915725601327899
SAD,0.1,8,0.8184319119669876,0.8178899171695008,0.8179251708401558
ORACLE,0.1,8,0.9889958734525447,0.9889975555411324,0.9891543560149437
DEM,0.1,8,0.8060522696011004,0.8054469650490388,0.8038629861630129
RANDOM,0.1,8,0.6822558459422283,0.6825126504212559,0.6781280962755312
MAS,0.1,9,0.8266850068775791,0.8251375641244558,0.8274090420162339
BAU,0.1,9,0.796423658872077,0.7948513508141345,0.7967013364665567
SAD,0.1,9,0.8253094910591472,0.8246965768039769,0.8250576667153602
ORACLE,0.1,9,0.9903713892709766,0.9903728537863871,0.9907216062150408
DEM,0.1,9,0.8225584594222833,0.8217901751666806,0.8215963456607867
RANDOM,0.1,9,0.7152682255845942,0.7153127405509485,0.7150301994888691
MAS,0.1,10,0.828060522696011,0.8263084029737825,0.8281192666316834
BAU,0.1,10,0.8060522696011004,0.804117701804,0.8053520477412617
SAD,0.1,10,0.8266850068775791,0.8259273888946416,0.826510261826092
ORACLE,0.1,10,0.9903713892709766,0.9903727149774595,0.9904000237213891
DEM,0.1,10,0.8170563961485557,0.8160296087292064,0.8155835964944829
RANDOM,0.1,10,0.6836313617606602,0.6837353295337,0.6829820580018998
MAS,0.0,0,0.8277571251548946,0.8264068438845724,0.827717977618188
BAU,0.0,0,0.7980173482032218,0.7966143322569005,0.7977890837377628
SAD,0.0,0,0.8215613382899628,0.8208962145349036,0.8198867451425152
ORACLE,0.0,0,0.990086741016109,0.990088101719231,0.9902346894750917
DEM,0.0,0,0.8215613382899628,0.8210307813613694,0.8201427187681287
RANDOM,0.0,0,0.6914498141263941,0.691811945451952,0.690015916148234
MACE,0.0,0,0.8302354399008675,0.8288854350764253,0.8305053973807459
MACE,0.1,1,0.8443526170798898,0.843571123846728,0.8447171000162611
MACE,0.1,2,0.8264462809917356,0.8253025853233903,0.8258591913307993
MACE,0.1,3,0.8278236914600551,0.8264967510794783,0.8276735851111985
MACE,0.1,4,0.8223140495867769,0.8207806802483788,0.8221210707663077
MACE,0.1,5,0.8360881542699724,0.8350722554797031,0.8361064354287505
MACE,0.1,6,0.8347107438016529,0.8336698052944779,0.8340969784090527
MACE,0.1,7,0.8250688705234159,0.8235857305971706,0.8254937785346934
MACE,0.1,8,0.8239339752407153,0.8226676671564661,0.8243973639753486
MACE,0.1,9,0.828060522696011,0.8266174411621352,0.8292328524349305
MACE,0.1,10,0.8294360385144429,0.8276800907504169,0.8296393680053287
DS,0.1,1,0.8526170798898072,0.8519727959746011,0.854693552656727
MV,0.1,1,0.8347107438016529,0.8341673340060762,0.8336146539398572
DS,0.1,2,0.837465564738292,0.8358648458712885,0.8392312423345372
MV,0.1,2,0.8236914600550964,0.8230844579379504,0.820405105813939
DS,0.1,3,0.8388429752066116,0.837184280778339,0.8400730592669692
MV,0.1,3,0.8071625344352618,0.806417718063985,0.8056652229595438
DS,0.1,4,0.837465564738292,0.8359269893975978,0.8393064756820537
MV,0.1,4,0.8223140495867769,0.8217631497729986,0.8218319431466388
DS,0.1,5,0.849862258953168,0.8487972962823935,0.851128746854654
MV,0.1,5,0.8333333333333334,0.8328939539222587,0.8319497864101295
DS,0.1,6,0.8526170798898072,0.8513558601515352,0.8539384203975295
MV,0.1,6,0.8223140495867769,0.8219461546834657,0.8219286426325765
DS,0.1,7,0.8402203856749312,0.8385338332828463,0.8423883934340586
MV,0.1,7,0.8223140495867769,0.8218058454559771,0.821515479078301
DS,0.1,8,0.8363136176066025,0.8346981515807194,0.8389690093432557
MV,0.1,8,0.8088033012379643,0.808254229645213,0.8080081932911685
DS,0.1,9,0.8376891334250344,0.8359083686322311,0.8399677365442701
MV,0.1,9,0.8156808803301238,0.8149245333878453,0.8142272340599377
DS,0.1,10,0.8459422283356258,0.8439676226677657,0.8475663153917996
MV,0.1,10,0.8156808803301238,0.8148305956176863,0.8149868851703167
DS,0.0,0,0.8451053283767038,0.8435150836511307,0.8470546563557457
MV,0.0,0,0.8178438661710037,0.8174055973023976,0.8171137490653304
