method,supervision_amt,fold,acc,f1_weighted,f1_macro
MAS,0.1,1,0.6133333333333333,0.5909349328700508,0.5924794760171083
BAU,0.1,1,0.5619047619047619,0.5380335597152368,0.5400689744092912
SAD,0.1,1,0.6171428571428571,0.5956470142118058,0.5970373914519755
ORACLE,0.1,1,0.8895238095238095,0.8876580786576822,0.8881710426814209
DEM,0.1,1,0.6247619047619047,0.6044701206815316,0.6060809737501757
RANDOM,0.1,1,0.580952380952381,0.5560693296723616,0.5579715796963404
MAS,0.1,2,0.6304761904761905,0.6099023093680536,0.6119917390694093
BAU,0.1,2,0.5695238095238095,0.5454189811890962,0.5479499108809452
SAD,0.1,2,0.6285714285714286,0.6081707893289728,0.6102531231563619
ORACLE,0.1,2,0.8990476190476191,0.8968120430885189,0.8971478677963562
DEM,0.1,2,0.6342857142857142,0.6122972958701997,0.6143869401007933
RANDOM,0.1,2,0.6019047619047619,0.5892469563387008,0.5912176493425138
MAS,0.1,3,0.6304761904761905,0.611201023642705,0.6113691994071435
BAU,0.1,3,0.5657142857142857,0.545932680878375,0.5460486811952201
SAD,0.1,3,0.6304761904761905,0.6120557858439185,0.6122456579274558
ORACLE,0.1,3,0.8933333333333333,0.89133617469901,0.8913036740135798
DEM,0.1,3,0.6361904761904762,0.6171197789654079,0.6172720811526782
RANDOM,0.1,3,0.580952380952381,0.5664079566117554,0.5665844342974855
MAS,0.1,4,0.6266666666666667,0.6073153768180537,0.6067292901140305
BAU,0.1,4,0.6019047619047619,0.5834497333028112,0.5831425422159102
SAD,0.1,4,0.6247619047619047,0.6055014308430968,0.605076093446694
ORACLE,0.1,4,0.8876190476190476,0.8852860351381187,0.8848436232237412
DEM,0.1,4,0.6304761904761905,0.6092778714665981,0.6087514327802678
RANDOM,0.1,4,0.5828571428571429,0.5691810321361114,0.5685313811582398
MAS,0.1,5,0.6387832699619772,0.6200811041037918,0.6206725076260251
BAU,0.1,5,0.564638783269962,0.5449755233053267,0.5458579045398844
SAD,0.1,5,0.6368821292775665,0.6184970966406277,0.6189541907746072
ORACLE,0.1,5,0.8935361216730038,0.8917962194455896,0.8921545750084106
DEM,0.1,5,0.6444866920152091,0.6253791213406538,0.6260344914275842
RANDOM,0.1,5,0.5950570342205324,0.5805296396013808,0.5811643725374058
MAS,0.1,6,0.6444866920152091,0.6237733366842511,0.6226132323009391
BAU,0.1,6,0.6197718631178707,0.6000496329380947,0.5989382642366814
SAD,0.1,6,0.6425855513307985,0.6226889449958538,0.6216050206758016
ORACLE,0.1,6,0.8935361216730038,0.891476007723102,0.8912069618166981
DEM,0.1,6,0.6520912547528517,0.6337239890680857,0.6326040887559212
RANDOM,0.1,6,0.5950570342205324,0.5807226576462062,0.5797698935839997
MAS,0.1,7,0.623574144486692,0.6044297024821914,0.6070020658269238
BAU,0.1,7,0.55893536121673,0.5394535124333634,0.5425602394106331
SAD,0.1,7,0.623574144486692,0.6037330214268358,0.6061867813972219
ORACLE,0.1,7,0.8859315589353612,0.8838738238510021,0.8845906396094609
DEM,0.1,7,0.6273764258555133,0.6061118696524074,0.6087112895135872
RANDOM,0.1,7,0.5494296577946768,0.5314723938570963,0.5339270181384679
MAS,0.1,8,0.6349809885931559,0.6177831672389232,0.617770641442131
BAU,0.1,8,0.5722433460076045,0.5501781846579769,0.5494328065383186
SAD,0.1,8,0.6330798479087453,0.6151645468174841,0.615288671036323
ORACLE,0.1,8,0.8954372623574145,0.8933856825524875,0.8929685345441549
DEM,0.1,8,0.6387832699619772,0.6199230611682758,0.6197154238345208
RANDOM,0.1,8,0.5779467680608364,0.5615126271451049,0.5611077254900118
MAS,0.1,9,0.6273764258555133,0.6096516364321215,0.610309301457952
BAU,0.1,9,0.564638783269962,0.5439838364455963,0.5452667399621038
SAD,0.1,9,0.623574144486692,0.6045948644230639,0.6051561218413276
ORACLE,0.1,9,0.8840304182509505,0.8818932912502472,0.8825178347213638
DEM,0.1,9,0.6311787072243346,0.6129183356716347,0.6136754095577625
RANDOM,0.1,9,0.6102661596958175,0.5999907092965703,0.6004025484318494
MAS,0.1,10,0.6387832699619772,0.6226315401193732,0.6158393024778525
BAU,0.1,10,0.5817490494296578,0.5642806728963179,0.5561995661714363
SAD,0.1,10,0.6406844106463878,0.6248156801056408,0.6185409131624334
ORACLE,0.1,10,0.8992395437262357,0.8978463549969747,0.8964453796794458
DEM,0.1,10,0.6463878326996197,0.6288015406047132,0.6223433127201397
RANDOM,0.1,10,0.6064638783269962,0.5909840433938771,0.5841363026155973
MAS,0.0,0,0.6147260273972602,0.5920594507454497,0.5920594507454499
BAU,0.0,0,0.5684931506849316,0.5477385141703766,0.5477385141703766
SAD,0.0,0,0.6455479452054794,0.6286853714537964,0.6286853714537965
ORACLE,0.0,0,0.8921232876712328,0.8899089590042943,0.8899089590042941
DEM,0.0,0,0.6386986301369864,0.6191441757749689,0.6191441757749689
RANDOM,0.0,0,0.5684931506849316,0.5528625309315381,0.5528625309315381
MACE,0.0,0,0.6438356164383562,0.6246836564684974,0.6246836564684974
MACE,0.1,1,0.638095238095238,0.6181565943935823,0.6196603197497111
MACE,0.1,2,0.6457142857142857,0.6259076866968157,0.6278779019602787
MACE,0.1,3,0.6476190476190476,0.6314366365285419,0.631556324042629
MACE,0.1,4,0.64,0.6216454435191977,0.6210406885221896
MACE,0.1,5,0.655893536121673,0.6385782999357282,0.6391728612999092
MACE,0.1,6,0.6653992395437263,0.6477247703173751,0.6466656538927523
MACE,0.1,7,0.6406844106463878,0.621600056984582,0.624097489540734
MACE,0.1,8,0.6501901140684411,0.6335596247697494,0.6332493356019562
MACE,0.1,9,0.6463878326996197,0.6291095277124581,0.629977452013974
MACE,0.1,10,0.6634980988593155,0.6499602234522021,0.6437861496197007
DS,0.1,1,0.6476190476190476,0.6357200923718933,0.6369055044440979
MV,0.1,1,0.6266666666666667,0.606559311482481,0.6079840660892256
DS,0.1,2,0.660952380952381,0.6476718103450869,0.6494465318020498
MV,0.1,2,0.638095238095238,0.616972357626006,0.6190131553107466
DS,0.1,3,0.6647619047619048,0.6573805885787226,0.6575176019432134
MV,0.1,3,0.64,0.6230274045782825,0.6231909808602337
DS,0.1,4,0.6457142857142857,0.6345263266547737,0.6340407212603347
MV,0.1,4,0.6285714285714286,0.6080552600745699,0.6074162383298803
DS,0.1,5,0.6653992395437263,0.6525606723212112,0.6531571695958877
MV,0.1,5,0.6444866920152091,0.6254741588245797,0.6260194680096621
DS,0.1,6,0.6825095057034221,0.6723351072063115,0.6715016402166406
MV,0.1,6,0.6482889733840305,0.6278334206241604,0.6267510394001342
DS,0.1,7,0.6482889733840305,0.6366318386917791,0.6388170187672211
MV,0.1,7,0.6368821292775665,0.618879785850313,0.6213075792930602
DS,0.1,8,0.6634980988593155,0.6538364798069797,0.6534738628620244
MV,0.1,8,0.6368821292775665,0.6178772835954162,0.6177283985348089
DS,0.1,9,0.6463878326996197,0.6350802935430939,0.6356242907349361
MV,0.1,9,0.6273764258555133,0.6097103268029845,0.6103478021361437
DS,0.1,10,0.6806083650190115,0.6741056775684576,0.6689361762415249
MV,0.1,10,0.6482889733840305,0.6318539071438563,0.6256763464360324
DS,0.0,0,0.6472602739726028,0.634594107897159,0.6345941078971589
MV,0.0,0,0.6352739726027398,0.616977291088092,0.616977291088092
MAS,0.0,1,0.6114285714285714,0.5879944882521955,0.5898257581551479
BAU,0.0,1,0.6038095238095238,0.5854551064772132,0.5870948037106823
SAD,0.0,1,0.6361904761904762,0.617061473300942,0.6184385141744545
ORACLE,0.0,1,0.8895238095238095,0.8875928170891192,0.8879917835878666
DEM,0.0,1,0.6285714285714286,0.6072044306152813,0.60872175589202
RANDOM,0.0,1,0.5657142857142857,0.5455900650378501,0.5469814121121718
MAS,0.0,2,0.6361904761904762,0.6172990980539146,0.619343216716391
BAU,0.0,2,0.6057142857142858,0.5879999081204663,0.5902375184144261
SAD,0.0,2,0.6457142857142857,0.6277149887746746,0.6296436926272003
ORACLE,0.0,2,0.8990476190476191,0.8969057979941998,0.8971368544609353
DEM,0.0,2,0.6361904761904762,0.6147994743820363,0.616821722118438
RANDOM,0.0,2,0.5885714285714285,0.5769794471719004,0.5791019413663095
MAS,0.0,3,0.6209523809523809,0.6003938365551804,0.6005609612187961
BAU,0.0,3,0.5657142857142857,0.5473011994139533,0.5473867683933936
SAD,0.0,3,0.6438095238095238,0.6285696942792233,0.6287266183839266
ORACLE,0.0,3,0.8933333333333333,0.8911820802998526,0.8911492855411415
DEM,0.0,3,0.6361904761904762,0.6170522760883008,0.6171993224167137
RANDOM,0.0,3,0.6057142857142858,0.5922616781898301,0.5923995821558413
MAS,0.0,4,0.6133333333333333,0.5909486770644041,0.5903125362787535
BAU,0.0,4,0.6038095238095238,0.5868275013393051,0.5861557694615637
SAD,0.0,4,0.6361904761904762,0.6182021715997079,0.6177236444033757
ORACLE,0.0,4,0.8876190476190476,0.8851966723586958,0.8847163061321108
DEM,0.0,4,0.6342857142857142,0.6145251456938091,0.6139012959042573
RANDOM,0.0,4,0.5923809523809523,0.5791685381692666,0.578765647795307
MAS,0.0,5,0.623574144486692,0.6005874443368844,0.6013416597148717
BAU,0.0,5,0.6159695817490495,0.5966825371317063,0.5971303397251367
SAD,0.0,5,0.6520912547528517,0.6356814329613546,0.6361561371970226
