method,supervision_amt,fold,acc,f1_weighted,f1_macro
MAS,0.1,1,0.9301204819277108,0.9302149642252768,0.9292512447901051
BAU,0.1,1,0.9204819277108434,0.920658260310824,0.919659042244267
SAD,0.1,1,0.9204819277108434,0.9207331417180403,0.9198790140935711
ORACLE,0.1,1,0.9975903614457832,0.9975910713113169,0.9975548681690971
DEM,0.1,1,0.9349397590361446,0.9350574328390142,0.9342000951323925
RANDOM,0.1,1,0.7228915662650602,0.7233260845972908,0.7228336304874294
MAS,0.0,1,0.9253012048192771,0.9254022031373648,0.924372020292871
BAU,0.0,1,0.9204819277108434,0.9206257512476841,0.919577894050702
SAD,0.0,1,0.9228915662650602,0.9231440851123793,0.9223391812865498
ORACLE,0.0,1,0.9975903614457832,0.9975910713113169,0.9975548681690971
DEM,0.0,1,0.9349397590361446,0.9350574328390142,0.9342000951323925
RANDOM,0.0,1,0.7542168674698795,0.7545451492380673,0.7541811846689895
MAS,0.1,2,0.9349397590361446,0.9349901906659458,0.9342000951323925
BAU,0.1,2,0.9253012048192771,0.9253591078016415,0.9244519610779323
SAD,0.1,2,0.9301204819277108,0.9303010333250298,0.9296482705808767
ORACLE,0.1,2,0.9975903614457832,0.9975910130478354,0.997560387751383
DEM,0.1,2,0.9373493975903614,0.9374397675136233,0.9367318697814053
RANDOM,0.1,2,0.7180722891566265,0.7188294324429888,0.7177510768533212
MAS,0.0,2,0.927710843373494,0.9277490691319923,0.9268507638072856
BAU,0.0,2,0.9204819277108434,0.9205435663694894,0.919577894050702
SAD,0.0,2,0.9301204819277108,0.9303164046657479,0.9297025134198982
ORACLE,0.0,2,0.9975903614457832,0.9975910130478354,0.997560387751383
DEM,0.0,2,0.9397590361445783,0.9398578931109052,0.9391941391941392
RANDOM,0.0,2,0.7180722891566265,0.7182196201672227,0.7180657411117111
MAS,0.1,3,0.9350961538461539,0.9352359030466252,0.9344595185995623
BAU,0.1,3,0.9230769230769231,0.9231955982306613,0.9222066386161758
SAD,0.1,3,0.9254807692307693,0.9257084498946415,0.9249495143484004
ORACLE,0.1,3,0.9975961538461539,0.9975968440601033,0.9975623333626322
DEM,0.1,3,0.9399038461538461,0.9400095015435656,0.9392548201884269
RANDOM,0.1,3,0.7572115384615384,0.7578138240023485,0.757041663052592
MAS,0.0,3,0.9278846153846154,0.9279622404622405,0.9269919269919269
BAU,0.0,3,0.9230769230769231,0.9231955982306613,0.9222066386161758
SAD,0.0,3,0.9254807692307693,0.9257238698748551,0.9250088679804845
ORACLE,0.0,3,0.9975961538461539,0.9975968440601033,0.9975623333626322
DEM,0.0,3,0.9375,0.9376225976694766,0.9368563622352474
RANDOM,0.0,3,0.7139423076923077,0.7148711793251115,0.7134637980632875
MAS,0.1,4,0.9375,0.9375874860022397,0.9369167599850691
BAU,0.1,4,0.9278846153846154,0.927985560771815,0.9272116461366182
SAD,0.1,4,0.9326923076923077,0.9328675881410255,0.9322916666666666
ORACLE,0.1,4,1.0,1.0,1.0
DEM,0.1,4,0.9447115384615384,0.9447995307080188,0.9442212959454339
RANDOM,0.1,4,0.7403846153846154,0.741179356357928,0.7395176252319111
MAS,0.0,4,0.9399038461538461,0.9399994899000205,0.9393709738537326
BAU,0.0,4,0.9254807692307693,0.9256253049489432,0.9248865668338313
SAD,0.0,4,0.9302884615384616,0.9304768218358822,0.9298991835904588
ORACLE,0.0,4,1.0,1.0,1.0
DEM,0.0,4,0.9447115384615384,0.9447995307080188,0.9442212959454339
RANDOM,0.0,4,0.7331730769230769,0.7335941220252983,0.7330975047252424
MAS,0.1,5,0.9423076923076923,0.9423359840775715,0.9417135651402284
BAU,0.1,5,0.9278846153846154,0.9279519123094151,0.9272116461366182
SAD,0.1,5,0.9302884615384616,0.9304517071295595,0.9298991835904588
ORACLE,0.1,5,0.9975961538461539,0.997596757591238,0.9975701928075371
DEM,0.1,5,0.9447115384615384,0.9447743900661674,0.9442212959454339
RANDOM,0.1,5,0.6875,0.6883126683384416,0.6860778304077273
MAS,0.0,5,0.9350961538461539,0.9351427369129776,0.9344595185995623
BAU,0.0,5,0.9254807692307693,0.925534253492678,0.9247498176513493
SAD,0.0,5,0.9302884615384616,0.9304645467762793,0.9299480300786808
ORACLE,0.0,5,0.9975961538461539,0.997596757591238,0.9975701928075371
DEM,0.0,5,0.9447115384615384,0.9447743900661674,0.9442212959454339
RANDOM,0.0,5,0.7331730769230769,0.7336589880707526,0.7330481283422459
MAS,0.1,6,0.9399038461538461,0.9399556122000526,0.9390583340658052
BAU,0.1,6,0.9254807692307693,0.9256180166168708,0.9245984646058318
SAD,0.1,6,0.9326923076923077,0.9329009626366456,0.9321259585576767
ORACLE,0.1,6,0.9975961538461539,0.9975968730750051,0.9975594731747381
DEM,0.1,6,0.9447115384615384,0.9448133671673558,0.9440569253527138
RANDOM,0.1,6,0.6971153846153846,0.6982381150959133,0.6964136780650543
MAS,0.0,6,0.9302884615384616,0.9304168542544917,0.929463079792552
BAU,0.0,6,0.9230769230769231,0.9232351566152409,0.9222066386161758
SAD,0.0,6,0.9326923076923077,0.9329180251513739,0.9321844434094084
ORACLE,0.0,6,0.9975961538461539,0.9975968730750051,0.9975594731747381
DEM,0.0,6,0.9471153846153846,0.9472241701729781,0.9465170640486209
RANDOM,0.0,6,0.7307692307692307,0.7310679611650487,0.7307443365695794
MAS,0.1,7,0.9375,0.9376190196308922,0.9364288233219702
BAU,0.1,7,0.9230769230769231,0.9232647694186156,0.9218559218559219
SAD,0.1,7,0.9254807692307693,0.9257748707724152,0.9245984646058317
ORACLE,0.1,7,0.9975961538461539,0.9975969902130893,0.997546808196963
DEM,0.1,7,0.9375,0.9376526251526252,0.9365079365079365
RANDOM,0.1,7,0.7307692307692307,0.7318660968660968,0.7303703703703703
MAS,0.0,7,0.9326923076923077,0.9327810372301898,0.9314500941619586
BAU,0.0,7,0.9254807692307693,0.9256431605481809,0.9242512349703667
